id,which_concept,concept_id,term,level,score
W1972504489,1,C84693403,Ketogenesis,4,0.83786356
W1972504489,2,C134018914,Endocrinology,1,0.8056165
W1972504489,3,C126322002,Internal medicine,1,0.8039461
W1972504489,4,C31532488,Ketone bodies,3,0.77739626
W1972504489,5,C2776731943,Ketosis,3,0.76431227
W1972504489,6,C140985366,Lipolysis,3,0.6777338
W1972504489,7,C20904676,Gluconeogenesis,3,0.6417509
W1972504489,8,C2779306644,Insulin,2,0.61313224
W1972504489,9,C2778563252,Glucagon,3,0.5182669
W1972504489,10,C185592680,Chemistry,0,0.44974568
W1972504489,11,C171089720,Adipose tissue,2,0.42245275
W1972504489,12,C2776659692,Lactation,3,0.42122072
W1972504489,13,C96942376,Catabolism,3,0.4161067
W1972504489,14,C86803240,Biology,0,0.39349133
W1972504489,15,C62231903,Metabolism,2,0.35290664
W1972504489,16,C555293320,Diabetes mellitus,2,0.18033066
W1972504489,17,C71924100,Medicine,0,0.14938334
W1972504489,18,C2779234561,Pregnancy,2,0.1423569
W1972504489,19,C54355233,Genetics,1,0
W2069060963,1,C6929976,Regulator,3,0.90191317
W2069060963,2,C62794011,MYB,4,0.67861426
W2069060963,3,C95444343,Cell biology,1,0.42105332
W2069060963,4,C2994418221,Growth regulator,2,0.41840702
W2069060963,5,C86803240,Biology,0,0.40348077
W2069060963,6,C502942594,Cancer research,1,0.37168527
W2069060963,7,C70721500,Computational biology,1,0.3551094
W2069060963,8,C41008148,Computer science,0,0.32974154
W2069060963,9,C86339819,Transcription factor,3,0.25555208
W2069060963,10,C54355233,Genetics,1,0.17106444
W2069060963,11,C59822182,Botany,1,0.1257954
W2069060963,12,C104317684,Gene,2,0.09788552
W2046435329,1,C45189115,Serology,3,0.81290066
W2046435329,2,C102906071,Provirus,4,0.8031497
W2046435329,3,C159047783,Virology,1,0.776765
W2046435329,4,C80020023,Ouchterlony double immunodiffusion,4,0.7090429
W2046435329,5,C49105822,Polymerase chain reaction,3,0.6852419
