id,which_concept,concept_id,term,level,score
W2045449124,1,C67407626,Amphiphile,4,0.8779155
W2045449124,2,C185592680,Chemistry,0,0.8081838
W2045449124,3,C11268172,Micelle,3,0.78247046
W2045449124,4,C183882617,Cationic polymerization,2,0.6818472
W2045449124,5,C2779149719,PEGylation,3,0.67730373
W2045449124,6,C102747710,Endosome,3,0.63880247
W2045449124,7,C28005876,Endocytosis,3,0.51759255
W2045449124,8,C184651966,Aqueous solution,2,0.48708653
W2045449124,9,C12554922,Biophysics,1,0.44799984
W2045449124,10,C54400483,PEG ratio,2,0.43187618
W2045449124,11,C2776573223,Imine,3,0.4204604
W2045449124,12,C130316041,Vesicle,3,0.41717896
W2045449124,13,C188027245,Polymer chemistry,1,0.3633616
W2045449124,14,C15920480,Copolymer,3,0.30935293
W2045449124,15,C41625074,Membrane,2,0.29623854
W2045449124,16,C178790620,Organic chemistry,1,0.29096395
W2045449124,17,C521977710,Polymer,2,0.24588275
W2045449124,18,C55493867,Biochemistry,1,0.19170484
W2045449124,19,C2776964284,Polyethylene glycol,2,0.124623865
W2045449124,20,C1491633281,Cell,2,0.07173064
W2045449124,21,C10138342,Finance,1,0
W2045449124,22,C86803240,Biology,0,0
W2045449124,23,C162324750,Economics,0,0
W2045449124,24,C161790260,Catalysis,2,0
W2045828520,1,C2778821405,Biochanin A,4,0.97524166
W2045828520,2,C2778298627,Genistein,2,0.9592566
W2045828520,3,C2778270713,Phytoestrogens,3,0.8936428
W2045828520,4,C2780955279,Daidzein,3,0.8531562
W2045828520,5,C2778609962,Apigenin,4,0.65984344
W2045828520,6,C185592680,Chemistry,0,0.64463526
W2045828520,7,C2779705811,Isoflavones,2,0.63609487
W2045828520,8,C2780644575,Glycitein,4,0.62425953
W2045828520,9,C1292079,Transactivation,4,0.6058065
W2045828520,10,C2776292868,Flavones,2,0.5900045
W2045828520,11,C2779054382,Flavonoid,3,0.5497532
W2045828520,12,C2778355148,Coumestrol,4,0.5340914
W2045828520,13,C2778559982,Wogonin,5,0.4313795
W2045828520,14,C55493867,Biochemistry,1,0.3159903
W2045828520,15,C126322002,Internal medicine,1,0.20788118
W2045828520,16,C43617362,Chromatography,1,0.1881522
W2045828520,17,C2777164284,Estrogen,2,0.18742532
W2045828520,18,C71924100,Medicine,0,0.16608807
W2045828520,19,C86339819,Transcription factor,3,0.11028314
W2045828520,20,C104317684,Gene,2,0
W2045828520,21,C2778004101,Antioxidant,2,0
W2045828520,22,C2778153525,Scutellaria baicalensis,4,0
W2045828520,23,C204787440,Alternative medicine,2,0
W2045828520,24,C188947578,Traditional Chinese medicine,3,0
W2045828520,25,C142724271,Pathology,1,0
W1990868851,1,C168258287,GABAA receptor,3,0.9002943
W1990868851,2,C2777845490,Valerian,2,0.88449657
W1990868851,3,C98274493,Pharmacology,1,0.57244873
W1990868851,4,C185592680,Chemistry,0,0.54959834
W1990868851,5,C170493617,Receptor,2,0.537655
W1990868851,6,C9224880,GABAA-rho receptor,4,0.5193256
W1990868851,7,C2779858419,Ethyl acetate,2,0.49536622
W1990868851,8,C55493867,Biochemistry,1,0.42524695
W1990868851,9,C86803240,Biology,0,0.24116218
W1999224976,1,C2780387249,Radiosurgery,3,0.85634446
W1999224976,2,C71924100,Medicine,0,0.81654483
W1999224976,3,C503630168,Necrosis,2,0.75672626
W1999224976,4,C2781156865,Lesion,2,0.535695
W1999224976,5,C143409427,Magnetic resonance imaging,2,0.52176315
W1999224976,6,C509974204,Radiation therapy,2,0.5037536
W1999224976,7,C2780886150,Edema,2,0.5011358
W1999224976,8,C12770488,Neurosurgery,2,0.48256674
W1999224976,9,C16568411,Neurology,2,0.47460312
W1999224976,10,C2779130545,Brain tumor,2,0.45958322
W1999224976,11,C126838900,Radiology,1,0.44589686
W1999224976,12,C142724271,Pathology,1,0.40369016
W1999224976,13,C2989005,Nuclear medicine,1,0.36506644
W1999224976,14,C141071460,Surgery,1,0.14400512
