id,which_mesh,term,is_major_topic,qualifier_name
W1964372920,1,Bile,TRUE,
W1964372920,2,Liver Diseases,TRUE,blood
W1964372920,3,Humans,FALSE,
W1964372920,4,Liver Diseases,FALSE,
W2027486478,1,Amino Acids,TRUE,metabolism
W2027486478,2,Biochemical Phenomena,TRUE,
W2027486478,3,Formaldehyde,TRUE,metabolism
W2027486478,4,Hydroxylamine,TRUE,
W2027486478,5,Hydroxylamines,TRUE,metabolism
W2027486478,6,Amino Acids,FALSE,
W2027486478,7,Formaldehyde,FALSE,
W2027486478,8,Hydroxylamines,FALSE,
W2094689804,1,Erythrocytes,TRUE,
W2094689804,2,Kidney,TRUE,physiology
W2094689804,3,Kidney,FALSE,
W1522540487,1,Aldosterone,TRUE,
W1522540487,2,"Diagnosis, Differential",TRUE,
W1522540487,3,Hyperaldosteronism,TRUE,
W1522540487,4,Humans,FALSE,
W2070076649,1,Amino Acids,TRUE,chemistry
W2070076649,2,Antifibrinolytic Agents,TRUE,
W2070076649,3,Biophysical Phenomena,TRUE,
W2070076649,4,Nucleosides,TRUE,chemistry
W2070076649,5,Nucleotides,TRUE,chemistry
W2070076649,6,RNA,TRUE,chemistry
W2070076649,7,Amino Acids,FALSE,
W2070076649,8,Nucleosides,FALSE,
W2070076649,9,Nucleotides,FALSE,
W2070076649,10,RNA,FALSE,
W2149126250,1,Antibodies,TRUE,
W2149126250,2,Inclusion Bodies,TRUE,
W2149126250,3,Trypanosoma,TRUE,immunology
W2149126250,4,Trypanosoma lewisi,TRUE,
W2149126250,5,Humans,FALSE,
W2149126250,6,Trypanosoma,FALSE,
W2060127078,1,Calcium Sulfate,TRUE,
W2060127078,2,Dental Materials,TRUE,
W2060127078,3,Investments,TRUE,
W2060127078,4,Humans,FALSE,
W2409683882,1,Aldosterone,TRUE,
W2409683882,2,Hypertension,TRUE,physiology
W2409683882,3,Sodium Chloride,TRUE,pharmacology
W2409683882,4,"Sodium Chloride, Dietary",TRUE,
W2409683882,5,Essential Hypertension,FALSE,
W2409683882,6,Humans,FALSE,
W2409683882,7,Hypertension,FALSE,
W2409683882,8,Sodium Chloride,FALSE,
W2065853065,1,Diaphragm,TRUE,metabolism
W2065853065,2,Muscles,TRUE,metabolism
W2065853065,3,Thyroxine,TRUE,metabolism
W2065853065,4,Animals,FALSE,
W2065853065,5,Diaphragm,FALSE,
W2065853065,6,Muscles,FALSE,
W2065853065,7,Rats,FALSE,
W2065853065,8,Thyroxine,FALSE,
W2011147882,1,Epilepsy,TRUE,rehabilitation
W2011147882,2,Medicine,TRUE,
W2011147882,3,Occupational Therapy,TRUE,
W2011147882,4,Work,TRUE,
W2011147882,5,Epilepsy,FALSE,
W2011147882,6,Humans,FALSE,
W2017514104,1,Blood Vessels,TRUE,physiology
W2017514104,2,Cardiovascular System,TRUE,
W2017514104,3,Semantics,TRUE,
W2017514104,4,"Stress, Physiological",TRUE,
W2017514104,5,Blood Vessels,FALSE,
W2017514104,6,Humans,FALSE,
W2411741296,1,Glutamic Acid,TRUE,
W2411741296,2,Hypnotics and Sedatives,TRUE,pharmacology
W2411741296,3,Imides,TRUE,
W2411741296,4,Humans,FALSE,
W2411741296,5,Hypnotics and Sedatives,FALSE,
W2412954899,1,Antineoplastic Agents,TRUE,pharmacology
W2412954899,2,Carbamates,TRUE,
W2412954899,3,Cell Division,TRUE,pharmacology
W2412954899,4,Esters,TRUE,
W2412954899,5,Mitosis,TRUE,
W2412954899,6,Antineoplastic Agents,FALSE,
W2412954899,7,Cell Division,FALSE,
W1589764921,1,Anesthesia,TRUE,
W1589764921,2,"Anesthesia, Obstetrical",TRUE,
W1589764921,3,Anesthesiology,TRUE,
W1589764921,4,Obstetrics,TRUE,
W1589764921,5,Promethazine,TRUE,therapy
W1589764921,6,Promethazine,FALSE,
W2273352678,1,Brain,TRUE,
W2273352678,2,Brain Concussion,TRUE,
W2273352678,3,Brain Injuries,TRUE,
W2273352678,4,Connective Tissue,TRUE,
W2273352678,5,Massage,TRUE,
W2273352678,6,Humans,FALSE,
W2408982249,1,Medicine,TRUE,
W2408982249,2,Mental Disorders,TRUE,
W2408982249,3,Psychotic Disorders,TRUE,
W2408982249,4,Rehabilitation,TRUE,
W2408982249,5,Humans,FALSE,
W2414282010,1,"Adjuvants, Immunologic",TRUE,
W2414282010,2,"Adjuvants, Pharmaceutic",TRUE,
W2414282010,3,Alcoholism,TRUE,therapy
W2414282010,4,Biochemical Phenomena,TRUE,
W2414282010,5,Oxidoreductases,TRUE,antagonists & inhibitors
W2414282010,6,Alcoholism,FALSE,
W2414282010,7,Humans,FALSE,
W2414282010,8,Isoniazid,FALSE,
W2414282010,9,Isoniazid,FALSE,analogs & derivatives
W2414282010,10,Oxidoreductases,FALSE,
W2439013901,1,"Administration, Cutaneous",TRUE,
W2439013901,2,Cheek,TRUE,
W2439013901,3,Lip,TRUE,innervation
W2439013901,4,Skin,TRUE,innervation
W2439013901,5,Lip,FALSE,
W2439013901,6,Skin,FALSE,
W2465665145,1,Action Potentials,TRUE,
W2465665145,2,"Administration, Cutaneous",TRUE,
W2465665145,3,Mechanoreceptors,TRUE,
W2465665145,4,Nerve Endings,TRUE,physiology
W2465665145,5,Nerve Fibers,TRUE,
W2465665145,6,Skin,TRUE,innervation
W2465665145,7,Humans,FALSE,
W2465665145,8,Nerve Endings,FALSE,
W2465665145,9,Skin,FALSE,
W2056776689,1,"Accommodation, Ocular",TRUE,
W2056776689,2,Housing,TRUE,
W2056776689,3,Sanitary Engineering,TRUE,
W2056776689,4,Humans,FALSE,
W2268918151,1,"Administration, Oral",TRUE,
W2268918151,2,Glucose,TRUE,pharmacology
W2268918151,3,Lactates,TRUE,blood
