id,abstract_len,doi,jrnl,title,pub_date,retracted,cite_count,pub_type,pub_type_crossref,pmid,which_athr,athr_id,athr_pos,athr_name,raw_affl,inst,inst_id,which_affl
W1994426412,124,https://doi.org/10.1016/0024-3205(77)90155-2,Life sciences,"Brain neurotransmitter receptors after long-term haloperidol: Dopamine, acetylcholine, serotonin, α-noradrenergic and naloxone receptors",1977-12-01,FALSE,292,article,journal-article,203807,1,A5023183109,first,Pavel Muller,,University of Toronto,I185261750,1
W1994426412,124,https://doi.org/10.1016/0024-3205(77)90155-2,Life sciences,"Brain neurotransmitter receptors after long-term haloperidol: Dopamine, acetylcholine, serotonin, α-noradrenergic and naloxone receptors",1977-12-01,FALSE,292,article,journal-article,203807,2,A5005802064,last,Philip Seeman,,University of Toronto,I185261750,1
W1976362125,96,https://doi.org/10.1016/0024-3205(77)90157-6,Life sciences,Human plasma immunoreactive β-lipotropin: Correlation with basal and stimulated plasma ACTH concentrations,1977-12-01,FALSE,76,article,journal-article,203808,1,A5006909386,first,Dorothy T. Krieger,,Mount Sinai Medical Center,I4210095266,1
W1976362125,96,https://doi.org/10.1016/0024-3205(77)90157-6,Life sciences,Human plasma immunoreactive β-lipotropin: Correlation with basal and stimulated plasma ACTH concentrations,1977-12-01,FALSE,76,article,journal-article,203808,2,A5059183205,middle,Anthony S. Liotta,,Mount Sinai Medical Center,I4210095266,1
W1976362125,96,https://doi.org/10.1016/0024-3205(77)90157-6,Life sciences,Human plasma immunoreactive β-lipotropin: Correlation with basal and stimulated plasma ACTH concentrations,1977-12-01,FALSE,76,article,journal-article,203808,3,A5006576384,last,Choh Hao Li,,"University of California, San Francisco",I180670191,1
W2081415734,59,https://doi.org/10.1016/0022-2836(77)90137-1,Journal of Molecular Biology/Journal of molecular biology,Fine structure of polyoma virus DNA,1977-12-01,FALSE,52,article,journal-article,203697,1,A5012824329,first,Beverly E. Griffin,,The Honourable Society of Lincoln's Inn,I1292966370,1
W2440243711,99,,PubMed,The regulatory GTPase cycle of turkey erythrocyte adenylate cyclase.,1977-12-01,FALSE,46,article,journal-article,203612,1,A5013975297,first,Dan Cassel,,,,1
W2440243711,99,,PubMed,The regulatory GTPase cycle of turkey erythrocyte adenylate cyclase.,1977-12-01,FALSE,46,article,journal-article,203612,2,A5034887108,middle,H Levkovitz,,,,1
W2440243711,99,,PubMed,The regulatory GTPase cycle of turkey erythrocyte adenylate cyclase.,1977-12-01,FALSE,46,article,journal-article,203612,3,A5021610204,last,Zvi Selinger,,,,1
W2046475537,0,https://doi.org/10.1007/bf00455117,MGG. Molecular and general genetics/MGG. Molecular & general genetics,The mapping of mutations in tRNA and cytochrome oxidase genes located in the cap-par segment of the mitochondrial genome of S. cerevisiae,1977-01-01,FALSE,31,article,journal-article,203841,1,A5009242678,first,Trembath Mk,,,,1
W2046475537,0,https://doi.org/10.1007/bf00455117,MGG. Molecular and general genetics/MGG. Molecular & general genetics,The mapping of mutations in tRNA and cytochrome oxidase genes located in the cap-par segment of the mitochondrial genome of S. cerevisiae,1977-01-01,FALSE,31,article,journal-article,203841,2,A5065784099,middle,Giuseppe Macino,,,,1
W2046475537,0,https://doi.org/10.1007/bf00455117,MGG. Molecular and general genetics/MGG. Molecular & general genetics,The mapping of mutations in tRNA and cytochrome oxidase genes located in the cap-par segment of the mitochondrial genome of S. cerevisiae,1977-01-01,FALSE,31,article,journal-article,203841,3,A5067604299,last,Alexander Tzagoloff,,,,1
W2417954054,80,,PubMed,Adrenergic desensitization in leukocytes of normal and asthmatic subjects.,1977-12-01,FALSE,30,article,journal-article,203616,1,A5026298932,first,Helen Morris,,,,1
W2417954054,80,,PubMed,Adrenergic desensitization in leukocytes of normal and asthmatic subjects.,1977-12-01,FALSE,30,article,journal-article,203616,2,A5012750191,middle,Stuart A. Rusnak,,,,1
W2417954054,80,,PubMed,Adrenergic desensitization in leukocytes of normal and asthmatic subjects.,1977-12-01,FALSE,30,article,journal-article,203616,3,A5057007126,middle,John C. Selner,,,,1
W2417954054,80,,PubMed,Adrenergic desensitization in leukocytes of normal and asthmatic subjects.,1977-12-01,FALSE,30,article,journal-article,203616,4,A5047075409,middle,Kathy Barzens,,,,1
W2417954054,80,,PubMed,Adrenergic desensitization in leukocytes of normal and asthmatic subjects.,1977-12-01,FALSE,30,article,journal-article,203616,5,A5039679065,last,John S. Barnes,,,,1
