id,which_concept,concept_id,term,level,score
W2050597360,1,C2778979269,Catalase,3,0.8716737
W2050597360,2,C540031477,Oxygen,2,0.8142859
W2050597360,3,C533411734,Hydrogen peroxide,2,0.70471394
W2050597360,4,C2993207723,Oxygen tension,3,0.6695902
W2050597360,5,C86803240,Biology,0,0.6466363
W2050597360,6,C55493867,Biochemistry,1,0.54235864
W2050597360,7,C62231903,Metabolism,2,0.5417555
W2050597360,8,C89169090,Limiting oxygen concentration,3,0.45965403
W2050597360,9,C12554922,Biophysics,1,0.37046647
W2050597360,10,C2776151105,Oxidative stress,2,0.28494895
W2050597360,11,C185592680,Chemistry,0,0.21107295
W2050597360,12,C178790620,Organic chemistry,1,0
W2085068117,1,C71924100,Medicine,0,0.9320732
W2085068117,2,C2779134260,Disease,2,0.55365944
W2085068117,3,C16005928,Dermatology,1,0.37323022
W2085068117,4,C142724271,Pathology,1,0.2939968
W2068033558,1,C2775999725,Hydroxylamine,2,0.72432613
W2068033558,2,C49105822,Polymerase chain reaction,3,0.70761704
W2068033558,3,C8185291,Amplicon,4,0.65347487
W2068033558,4,C2778271344,Agarose gel electrophoresis,3,0.6339885
W2068033558,5,C153911025,Molecular biology,1,0.54649043
W2068033558,6,C2911042016,Hydroxylamine Hydrochloride,2,0.5286727
W2068033558,7,C552990157,DNA,2,0.5234044
W2068033558,8,C2778476535,Agarose,2,0.50697136
W2068033558,9,C185592680,Chemistry,0,0.49223104
W2068033558,10,C24107716,Nucleic acid,2,0.4900967
W2068033558,11,C2776907736,Ethidium bromide,3,0.4284653
W2068033558,12,C86803240,Biology,0,0.4129608
W2068033558,13,C104317684,Gene,2,0.3458346
W2068033558,14,C55493867,Biochemistry,1,0.27807242
W2068033558,15,C178790620,Organic chemistry,1,0.05801043
W1998792816,1,C24107716,Nucleic acid,2,0.72022223
W1998792816,2,C2776151397,Foot-and-mouth disease virus,3,0.6344991
W1998792816,3,C102931765,Dissociation (chemistry),2,0.6050921
W1998792816,4,C2779070877,Foot-and-mouth disease,3,0.5494999
W1998792816,5,C185592680,Chemistry,0,0.5135882
W1998792816,6,C159047783,Virology,1,0.40273985
W1998792816,7,C55493867,Biochemistry,1,0.3560294
W1998792816,8,C2522874641,Virus,2,0.3187856
W1998792816,9,C86803240,Biology,0,0.29923278
W1998792816,10,C178790620,Organic chemistry,1,0.1292673
W2162210200,1,C77265313,Rest (music),2,0.85318244
W2162210200,2,C2778805511,Citation,2,0.6253038
W2162210200,3,C47798520,Transmitter,3,0.45476443
W2162210200,4,C41008148,Computer science,0,0.44361362
W2162210200,5,C161191863,Library science,1,0.37061706
W2162210200,6,C15744967,Psychology,0,0.3309149
W2162210200,7,C71924100,Medicine,0,0.27213544
W2162210200,8,C76155785,Telecommunications,1,0.24136469
W2162210200,9,C126322002,Internal medicine,1,0.16399765
W2162210200,10,C127162648,Channel (broadcasting),2,0
W4230869231,1,C71924100,Medicine,0,0.9754142
W4230869231,2,C2779526319,Anesthesiology,2,0.7858429
W4230869231,3,C61434518,General surgery,1,0.50138664
W4230869231,4,C194828623,Emergency medicine,1,0.33238068
W4230869231,5,C42219234,Anesthesia,1,0.1740483
W2052930684,1,C71924100,Medicine,0,0.9162004
W2052930684,2,C2780479503,Ulcerative colitis,3,0.8945224
W2052930684,3,C523026621,Colorectal surgery,3,0.74587536
W2052930684,4,C2780140570,Surgical oncology,2,0.7224188
W2052930684,5,C61434518,General surgery,1,0.5024836
W2052930684,6,C2775862500,Colitis,2,0.45271456
W2052930684,7,C90924648,Gastroenterology,1,0.44101062
W2052930684,8,C126322002,Internal medicine,1,0.42984793
W2052930684,9,C16005928,Dermatology,1,0.35511267
W2052930684,10,C2780120127,Abdominal surgery,2,0.27354786
W2052930684,11,C2779134260,Disease,2,0.078733355
W2063868740,1,C2778022156,Strain (injury),2,0.64681363
W2063868740,2,C3020527817,Mouse strain,3,0.64621645
W2063868740,3,C147583825,Body weight,2,0.5786523
W2063868740,4,C537181965,Sodium,2,0.5782151
W2063868740,5,C76725341,Inbred strain,3,0.5060219
W2063868740,6,C86803240,Biology,0,0.46854958
W2063868740,7,C140793950,Animal science,1,0.46507666
W2063868740,8,C42407357,Physiology,1,0.40992558
W2063868740,9,C42972112,Veterinary medicine,1,0.34937125
W2063868740,10,C33070731,Toxicology,1,0.3247189
W2063868740,11,C71924100,Medicine,0,0.27755657
W2063868740,12,C134018914,Endocrinology,1,0.2589783
W2063868740,13,C185592680,Chemistry,0,0.23648351
W2063868740,14,C54355233,Genetics,1,0.14959058
W2063868740,15,C105702510,Anatomy,1,0.08728221
W2063868740,16,C178790620,Organic chemistry,1,0
W2063868740,17,C104317684,Gene,2,0
W2087163861,1,C71924100,Medicine,0,0.9333086
W2087163861,2,C2779767645,Mandible (arthropod mouthpart),3,0.6205064
