id,which_mesh,term,is_major_topic,qualifier_name
W2411561471,1,Phosphatidylethanolamines,TRUE,metabolism
W2411561471,2,Alzheimer Disease,FALSE,metabolism
W2411561471,3,Alzheimer Disease,FALSE,
W2411561471,4,Animals,FALSE,
W2411561471,5,Autophagy,FALSE,
W2411561471,6,Candida,FALSE,
W2411561471,7,Carboxy-Lyases,FALSE,metabolism
W2411561471,8,Carboxy-Lyases,FALSE,
W2411561471,9,Cell Membrane,FALSE,
W2411561471,10,Cell Membrane,FALSE,metabolism
W2411561471,11,Cytidine Diphosphate,FALSE,
W2411561471,12,Cytidine Diphosphate,FALSE,analogs & derivatives
W2411561471,13,Cytidine Diphosphate,FALSE,metabolism
W2411561471,14,Ethanolamines,FALSE,metabolism
W2411561471,15,Ethanolamines,FALSE,
W2411561471,16,Humans,FALSE,
W2411561471,17,Lipid Metabolism,FALSE,
W2411561471,18,Methylation,FALSE,
W2411561471,19,Mitochondria,FALSE,
W2411561471,20,Mitochondria,FALSE,metabolism
W2411561471,21,Non-alcoholic Fatty Liver Disease,FALSE,
W2411561471,22,Non-alcoholic Fatty Liver Disease,FALSE,metabolism
W2411561471,23,Oxidative Phosphorylation,FALSE,
W2411561471,24,Parkinson Disease,FALSE,
W2411561471,25,Parkinson Disease,FALSE,metabolism
W2411561471,26,Phosphatidylcholines,FALSE,
W2411561471,27,Phosphatidylcholines,FALSE,metabolism
W2411561471,28,Phosphatidylethanolamines,FALSE,
W2411561471,29,Phospholipids,FALSE,
W2411561471,30,Phospholipids,FALSE,metabolism
W2411561471,31,Prions,FALSE,metabolism
W2411561471,32,Prions,FALSE,
W2411561471,33,"Protein Processing, Post-Translational",FALSE,
W2411561471,34,Virulence,FALSE,
W2175607782,1,Attitude to Health,TRUE,
W2175607782,2,Fertility Preservation,TRUE,psychology
W2175607782,3,Infertility,TRUE,psychology
W2175607782,4,Neoplasms,TRUE,therapy
W2175607782,5,Survivors,TRUE,psychology
W2175607782,6,Adolescent,FALSE,
W2175607782,7,Emotions,FALSE,
W2175607782,8,Female,FALSE,
W2175607782,9,Fertility Preservation,FALSE,
W2175607782,10,Fertility Preservation,FALSE,methods
W2175607782,11,Focus Groups,FALSE,
W2175607782,12,Humans,FALSE,
W2175607782,13,Infertility,FALSE,etiology
W2175607782,14,Infertility,FALSE,
W2175607782,15,Interpersonal Relations,FALSE,
W2175607782,16,Male,FALSE,
W2175607782,17,Neoplasms,FALSE,
W2175607782,18,Neoplasms,FALSE,psychology
W2175607782,19,Semen Preservation,FALSE,
W2175607782,20,Semen Preservation,FALSE,psychology
W2175607782,21,"Stress, Psychological",FALSE,
W2175607782,22,"Stress, Psychological",FALSE,etiology
W2175607782,23,Survivors,FALSE,
W2175607782,24,United States,FALSE,
W2175607782,25,Young Adult,FALSE,
W2411730198,1,Cell Membrane,TRUE,metabolism
W2411730198,2,Lipid Metabolism,TRUE,
W2411730198,3,Lipids,TRUE,chemistry
W2411730198,4,"Receptors, Steroid",TRUE,metabolism
W2411730198,5,Amino Acid Sequence,FALSE,
W2411730198,6,Animals,FALSE,
W2411730198,7,Biological Transport,FALSE,
W2411730198,8,Cell Membrane,FALSE,
W2411730198,9,Cholesterol,FALSE,chemistry
W2411730198,10,Cholesterol,FALSE,
W2411730198,11,Endoplasmic Reticulum,FALSE,metabolism
W2411730198,12,Endoplasmic Reticulum,FALSE,
W2411730198,13,Glycerophospholipids,FALSE,
W2411730198,14,Glycerophospholipids,FALSE,chemistry
W2411730198,15,Humans,FALSE,
W2411730198,16,Hydrolysis,FALSE,
W2411730198,17,Ligands,FALSE,
W2411730198,18,Lipids,FALSE,
W2411730198,19,Molecular Sequence Data,FALSE,
W2411730198,20,Phosphatidylinositol Phosphates,FALSE,metabolism
W2411730198,21,Phosphatidylinositol Phosphates,FALSE,
W2411730198,22,"Protein Structure, Tertiary",FALSE,
W2411730198,23,"Receptors, Steroid",FALSE,
W2411730198,24,Signal Transduction,FALSE,
W2411730198,25,Sterols,FALSE,chemistry
W2411730198,26,Sterols,FALSE,
W2138870166,1,Adolescent Behavior,TRUE,psychology
W2138870166,2,Fertility,TRUE,
W2138870166,3,Neoplasms,TRUE,psychology
W2138870166,4,Sexual Behavior,TRUE,psychology
W2138870166,5,Sexual Partners,TRUE,psychology
W2138870166,6,Adolescent,FALSE,
W2138870166,7,Adolescent Behavior,FALSE,
W2138870166,8,Attitude to Health,FALSE,
W2138870166,9,Child,FALSE,
W2138870166,10,Courtship,FALSE,psychology
W2138870166,11,Courtship,FALSE,
W2138870166,12,Female,FALSE,
W2138870166,13,Fertility Preservation,FALSE,psychology
W2138870166,14,Fertility Preservation,FALSE,
W2138870166,15,Humans,FALSE,
W2138870166,16,Interpersonal Relations,FALSE,
