id,which_concept,concept_id,term,level,score
W3164758053,1,C27415008,Psychological intervention,2,0.7306267
W3164758053,2,C3008058167,Coronavirus disease 2019 (COVID-19),4,0.6890597
W3164758053,3,C89623803,Pandemic,5,0.5746673
W3164758053,4,C3007834351,Severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2),5,0.5498354
W3164758053,5,C3017689999,Epidemic control,5,0.5393941
W3164758053,6,C71924100,Medicine,0,0.49945116
W3164758053,7,C3006700255,2019-20 coronavirus outbreak,3,0.48970678
W3164758053,8,C46578552,Global health,3,0.415528
W3164758053,9,C149923435,Demography,1,0.3964693
W3164758053,10,C99454951,Environmental health,1,0.3876186
W3164758053,11,C205649164,Geography,0,0.35764202
W3164758053,12,C138816342,Public health,2,0.26722234
W3164758053,13,C159047783,Virology,1,0.25373045
W3164758053,14,C116675565,Outbreak,2,0.117097914
W3164758053,15,C524204448,Infectious disease (medical specialty),3,0.11397746
W3164758053,16,C159110408,Nursing,1,0.08617246
W3164758053,17,C144024400,Sociology,0,0.083489954
W3164758053,18,C2779134260,Disease,2,0
W3164758053,19,C142724271,Pathology,1,0
W3164910760,1,C2777391703,Insulin resistance,3,0.8624207
W3164910760,2,C555293320,Diabetes mellitus,2,0.7513306
W3164910760,3,C145059251,microRNA,3,0.7198185
W3164910760,4,C53673613,MiR-122,4,0.671733
W3164910760,5,C2910068830,Type 2 Diabetes Mellitus,3,0.64700973
W3164910760,6,C2780221984,Body mass index,2,0.64223397
W3164910760,7,C126322002,Internal medicine,1,0.628231
W3164910760,8,C2777180221,Type 2 diabetes,3,0.6277486
W3164910760,9,C71924100,Medicine,0,0.57732105
W3164910760,10,C134018914,Endocrinology,1,0.54609406
W3164910760,11,C2780942790,Pathogenesis,2,0.51677
W3164910760,12,C2776914184,Inflammation,2,0.49740937
W3164910760,13,C146304588,Case-control study,2,0.46889964
W3164910760,14,C63645605,Homeostasis,2,0.4323393
W3164910760,15,C2779306644,Insulin,2,0.4258097
W3164910760,16,C48023723,Real-time polymerase chain reaction,3,0.42319706
W3164910760,17,C86803240,Biology,0,0.28004572
W3164910760,18,C104317684,Gene,2,0.13254961
W3164910760,19,C54355233,Genetics,1,0.07525909
W3165176743,1,C2780723003,Licking,2,0.9236239
W3165176743,2,C169760540,Neuroscience,1,0.8041657
W3165176743,3,C94487597,Sensory system,2,0.64124227
W3165176743,4,C50738837,Optogenetics,2,0.59550107
W3165176743,5,C2778373776,Motor cortex,3,0.5722728
W3165176743,6,C172497186,Somatosensory system,2,0.5165357
W3165176743,7,C2779918689,Stimulus (psychology),2,0.5098385
W3165176743,8,C15744967,Psychology,0,0.46545202
W3165176743,9,C185263204,Electrophysiology,2,0.44064415
W3165176743,10,C74254510,Premovement neuronal activity,2,0.42929083
W3165176743,11,C2781347215,Barrel cortex,3,0.42187512
W3165176743,12,C2777348757,Cortex (anatomy),2,0.41145447
W3165176743,13,C86803240,Biology,0,0.21090978
W3165176743,14,C24998067,Stimulation,2,0.104085654
W3165176743,15,C98274493,Pharmacology,1,0
W3165176743,16,C542102704,Psychotherapist,1,0
W3164163021,1,C33923547,Mathematics,0,0.6089436
W3164163021,2,C22679943,Standard deviation,2,0.48789594
W3164163021,3,C139945424,Mean squared error,2,0.46620926
W3164163021,4,C28826006,Applied mathematics,1,0.46296477
W3164163021,5,C2777027219,Constant (computer programming),2,0.45940012
W3164163021,6,C16910744,Test data,2,0.45125967
W3164163021,7,C11413529,Algorithm,1,0.369274
W3164163021,8,C105795698,Statistics,1,0.3401908
W3164163021,9,C134306372,Mathematical analysis,1,0.33806774
W3164163021,10,C41008148,Computer science,0,0.23544127
