id,which_concept,concept_id,term,level,score
W2079046187,1,C71924100,Medicine,0,0.85900253
W2079046187,2,C126322002,Internal medicine,1,0.71318996
W2079046187,3,C90924648,Gastroenterology,1,0.7115869
W2079046187,4,C82789193,Relative risk,3,0.6758968
W2079046187,5,C2779280984,Crohn's disease,3,0.6758795
W2079046187,6,C526805850,Colorectal cancer,3,0.64986295
W2079046187,7,C2779134260,Disease,2,0.5867733
W2079046187,8,C2777378192,Terminal ileum,3,0.5805271
W2079046187,9,C50440223,Risk factor,2,0.54551435
W2079046187,10,C121608353,Cancer,2,0.50660264
W2079046187,11,C72563966,Cohort,2,0.49734858
W2079046187,12,C2993216161,Colonic cancer,4,0.48070246
W2079046187,13,C2777226302,Ileum,2,0.46465367
W2079046187,14,C2778260677,Inflammatory bowel disease,3,0.4641185
W2079046187,15,C201903717,Cohort study,2,0.4374379
W2079046187,16,C44249647,Confidence interval,2,0.049659193
W2156412357,1,C2777600422,Debrisoquine,5,0.8909667
W2156412357,2,C31467283,Genotyping,4,0.8889672
W2156412357,3,C180754005,Allele,3,0.64256936
W2156412357,4,C49105822,Polymerase chain reaction,3,0.62837195
W2156412357,5,C86803240,Biology,0,0.6002737
W2156412357,6,C54355233,Genetics,1,0.5530183
W2156412357,7,C33935397,Variants of PCR,4,0.52712876
W2156412357,8,C168007829,Restriction fragment length polymorphism,4,0.46497914
W2156412357,9,C153911025,Molecular biology,1,0.40015954
W2156412357,10,C135763542,Genotype,3,0.39329034
W2156412357,11,C104317684,Gene,2,0.36373252
W2156412357,12,C33664856,CYP2D6,4,0.30615014
W2052968750,1,C71924100,Medicine,0,0.9148672
W2052968750,2,C24040308,Anti-neutrophil cytoplasmic antibody,4,0.8736727
W2052968750,3,C2776715498,Prednisolone,2,0.8122462
W2052968750,4,C2776755627,Cyclophosphamide,3,0.81150126
W2052968750,5,C126322002,Internal medicine,1,0.5514395
W2052968750,6,C2775934546,Biopsy,2,0.48075816
W2052968750,7,C90924648,Gastroenterology,1,0.4743187
W2052968750,8,C2776015282,Vasculitis,3,0.47422573
W2052968750,9,C141071460,Surgery,1,0.4408357
W2052968750,10,C32611913,Titer,3,0.41845182
W2052968750,11,C159654299,Antibody,2,0.3431388
W2052968750,12,C2776694085,Chemotherapy,2,0.3250653
W2052968750,13,C2779134260,Disease,2,0.20981559
W2052968750,14,C203014093,Immunology,1,0.16986087
W2054382909,1,C2779349466,Glutamine,3,0.95270944
W2054382909,2,C160448771,Phagocytosis,2,0.8572266
W2054382909,3,C2780252810,Immunosuppression,2,0.7124264
W2054382909,4,C202751555,In vitro,2,0.61536056
W2054382909,5,C24998067,Stimulation,2,0.5830369
W2054382909,6,C8891405,Immune system,2,0.53436786
W2054382909,7,C3018854103,Severe burn,2,0.5004637
W2054382909,8,C203014093,Immunology,1,0.4372999
W2054382909,9,C126322002,Internal medicine,1,0.41199544
W2054382909,10,C185592680,Chemistry,0,0.3995341
W2054382909,11,C86803240,Biology,0,0.36844653
W2054382909,12,C134018914,Endocrinology,1,0.3662831
W2054382909,13,C71924100,Medicine,0,0.3386562
W2054382909,14,C55493867,Biochemistry,1,0.24108177
W2054382909,15,C515207424,Amino acid,2,0.17294434
W2070764028,1,C2994496256,Clostridium difficile,3,0.8795939
W2070764028,2,C2991793726,Pseudomembranous colitis,4,0.7620134
W2070764028,3,C71924100,Medicine,0,0.70949364
W2070764028,4,C2779802037,Diarrhea,2,0.5820315
W2070764028,5,C126322002,Internal medicine,1,0.564513
W2070764028,6,C2775862500,Colitis,2,0.4957124
W2070764028,7,C116675565,Outbreak,2,0.48650402
W2070764028,8,C90924648,Gastroenterology,1,0.40789345
W2070764028,9,C89423630,Microbiology,1,0.36136916
W2070764028,10,C501593827,Antibiotics,2,0.27478462
W2070764028,11,C159047783,Virology,1,0.18389213
W2070764028,12,C86803240,Biology,0,0.12960419
W2160523633,1,C71924100,Medicine,0,0.9253905
W2160523633,2,C131872663,Obstetrics,1,0.73780656
W2160523633,3,C2779234561,Pregnancy,2,0.6274417
W2160523633,4,C168563851,Randomized controlled trial,2,0.5439501
W2160523633,5,C2778376644,Gestational age,3,0.5367969
W2160523633,6,C2778642596,Abortion,3,0.5356986
W2160523633,7,C3020110884,Outpatient clinic,2,0.5035495
W2160523633,8,C2992437641,Perinatal mortality,4,0.4534573
W2160523633,9,C529618451,Ultrasonography,2,0.43207064
W2160523633,10,C46973012,Gestation,3,0.41767618
W2160523633,11,C172680121,Fetus,3,0.4018891
W2160523633,12,C29456083,Gynecology,1,0.36881256
W2160523633,13,C187212893,Pediatrics,1,0.3474158
W2160523633,14,C141071460,Surgery,1,0.11510432
W2160523633,15,C54355233,Genetics,1,0
W2160523633,16,C126322002,Internal medicine,1,0
W2160523633,17,C86803240,Biology,0,0
W2017149875,1,C71924100,Medicine,0,0.8480089
W2017149875,2,C2781253189,Streptococcus pneumoniae,3,0.6693785
W2017149875,3,C2779443120,Bacteremia,3,0.58891636
W2017149875,4,C3013748606,Human immunodeficiency virus (HIV),2,0.5536613
W2017149875,5,C126322002,Internal medicine,1,0.40876186
W2017149875,6,C203014093,Immunology,1,0.4081549
W2017149875,7,C187212893,Pediatrics,1,0.3794372
W2017149875,8,C89423630,Microbiology,1,0.114586234
W2017149875,9,C86803240,Biology,0,0.08573198
W2017149875,10,C501593827,Antibiotics,2,0.06777176
W2022121727,1,C71924100,Medicine,0,0.8166084
W2022121727,2,C165220095,Islet,3,0.8121959
W2022121727,3,C2911091166,Transplantation,2,0.75375986
W2022121727,4,C2779609443,Liver transplantation,3,0.6059341
W2022121727,5,C2779306644,Insulin,2,0.58397555
W2022121727,6,C90924648,Gastroenterology,1,0.5294649
W2022121727,7,C141071460,Surgery,1,0.5012245
W2022121727,8,C555293320,Diabetes mellitus,2,0.48613903
W2022121727,9,C2777411314,Islet cell transplantation,4,0.4587948
W2022121727,10,C126322002,Internal medicine,1,0.4427466
W2022121727,11,C2778875212,C-peptide,3,0.43265182
W2022121727,12,C134018914,Endocrinology,1,0.30771077
W1993977519,1,C176080213,ABO blood group system,2,0.9512658
W1993977519,2,C71924100,Medicine,0,0.8020942
W1993977519,3,C2779609443,Liver transplantation,3,0.6704028
W1993977519,4,C2910652704,ABO incompatibility,3,0.59894896
W1993977519,5,C141071460,Surgery,1,0.44938722
W1993977519,6,C90924648,Gastroenterology,1,0.43464947
W1993977519,7,C2911091166,Transplantation,2,0.38196743
W1993977519,8,C126322002,Internal medicine,1,0.35227796
W2050463570,1,C2993443204,Pneumocystis carinii,4,0.9664537
W2050463570,2,C2777530519,Pentamidine,3,0.95326763
W2050463570,3,C71924100,Medicine,0,0.87835515
W2050463570,4,C2777914695,Pneumonia,2,0.7605661
W2050463570,5,C2779196057,Opportunistic infection,4,0.5102997
W2050463570,6,C3013748606,Human immunodeficiency virus (HIV),2,0.43230164
W2050463570,7,C203014093,Immunology,1,0.38895118
W2050463570,8,C126322002,Internal medicine,1,0.38643688
W2050463570,9,C2780727368,Viral disease,3,0.36271566
W2050463570,10,C159047783,Virology,1,0.3419513
W2050463570,11,C2777559004,Pneumocystis jirovecii,3,0.26510125
W2169464461,1,C2779981540,Facioscapulohumeral muscular dystrophy,3,0.94820046
W2169464461,2,C2993098900,Lod score,5,0.8905431
W2169464461,3,C142870003,Genetic linkage,3,0.73670554
W2169464461,4,C54355233,Genetics,1,0.7006172
W2169464461,5,C2910653347,Recombination Fraction,5,0.6152867
W2169464461,6,C2779030066,Muscular dystrophy,2,0.60687256
W2169464461,7,C104317684,Gene,2,0.55247414
W2169464461,8,C64618202,Genetic heterogeneity,4,0.530617
W2169464461,9,C61320498,Microsatellite,4,0.5299771
W2169464461,10,C86803240,Biology,0,0.4690184
W2169464461,11,C31266012,Linkage (software),3,0.46554574
W2169464461,12,C190789776,Genetic marker,3,0.46444467
W2169464461,13,C30481170,Chromosome,3,0.45363507
W2169464461,14,C122735190,Gene mapping,4,0.38143894
W2169464461,15,C180754005,Allele,3,0.14359221
W2169464461,16,C127716648,Phenotype,3,0.047691703
W2059586894,1,C2780216070,Zidovudine,4,0.8259513
W2059586894,2,C71924100,Medicine,0,0.7599438
W2059586894,3,C29730261,Toxicity,2,0.6935159
W2059586894,4,C2775967933,Pancreatitis,2,0.56315553
W2059586894,5,C2779901536,Peripheral neuropathy,3,0.5107205
W2059586894,6,C2779127605,AIDS-related complex,4,0.45492145
W2059586894,7,C2777447569,Didanosine,5,0.4537036
W2059586894,8,C2780648854,Immunopathology,2,0.4208927
W2059586894,9,C2780727368,Viral disease,3,0.41937995
W2059586894,10,C126322002,Internal medicine,1,0.396695
W2059586894,11,C90924648,Gastroenterology,1,0.39584258
W2059586894,12,C98274493,Pharmacology,1,0.3512417
W2059586894,13,C203014093,Immunology,1,0.34636426
W2059586894,14,C3013748606,Human immunodeficiency virus (HIV),2,0.31718725
W2059586894,15,C555293320,Diabetes mellitus,2,0.12691084
W2059586894,16,C134018914,Endocrinology,1,0.110832036
W2083357369,1,C2779338814,Covert,2,0.6382518
W2083357369,2,C71924100,Medicine,0,0.4997921
W2083357369,3,C70410870,Clinical psychology,1,0.4333191
W2083357369,4,C2778136018,Predictive power,2,0.41423988
W2083357369,5,C118552586,Psychiatry,1,0.4029764
W2083357369,6,C15744967,Psychology,0,0.39232635
W2083357369,7,C512399662,Family medicine,1,0.32885265
W2083357369,8,C138885662,Philosophy,0,0
W2083357369,9,C111472728,Epistemology,1,0
W2083357369,10,C41895202,Linguistics,1,0
W1995849728,1,C149923435,Demography,1,0.5870154
W1995849728,2,C761482,Transmission (telecommunications),2,0.53248066
W1995849728,3,C2908647359,Population,2,0.49961948
W1995849728,4,C129047720,Rural area,2,0.495417
W1995849728,5,C2775922551,Parallels,2,0.4695231
W1995849728,6,C2994082534,Rural population,3,0.46047013999999997
W1995849728,7,C159047783,Virology,1,0.3790816
W1995849728,8,C71924100,Medicine,0,0.34595585
W1995849728,9,C205649164,Geography,0,0.32184434
W1995849728,10,C144024400,Sociology,0,0.089431286
W1995849728,11,C142724271,Pathology,1,0.079295546
W1995849728,12,C78519656,Mechanical engineering,1,0
W1995849728,13,C119599485,Electrical engineering,1,0
W1995849728,14,C127413603,Engineering,0,0
W2057501205,1,C2780216070,Zidovudine,4,0.90253836
W2057501205,2,C156719811,Reverse transcriptase,4,0.75211924
W2057501205,3,C159047783,Virology,1,0.71126854
W2057501205,4,C501734568,Mutation,3,0.5532201
W2057501205,5,C49105822,Polymerase chain reaction,3,0.52733934
W2057501205,6,C71924100,Medicine,0,0.46779877
W2057501205,7,C2780727368,Viral disease,3,0.46716154
W2057501205,8,C2776452011,Sida,4,0.45391446
W2057501205,9,C2522874641,Virus,2,0.43984744
W2057501205,10,C2780035454,Drug,2,0.4302135
W2057501205,11,C3013748606,Human immunodeficiency virus (HIV),2,0.41134942
W2057501205,12,C86803240,Biology,0,0.4061975
W2057501205,13,C54355233,Genetics,1,0.1839365
W2057501205,14,C98274493,Pharmacology,1,0.11496976
W2057501205,15,C104317684,Gene,2,0.10785431
W2155542178,1,C2908647359,Population,2,0.581909
W2155542178,2,C189326681,Poverty,2,0.53973055
W2155542178,3,C37512671,Birth rate,4,0.5241775
W2155542178,4,C204342414,Genocide,2,0.5027776
W2155542178,5,C47768531,Development economics,1,0.46502826
W2155542178,6,C48103436,State (computer science),2,0.44806468
W2155542178,7,C173145845,Refugee,2,0.44566572
W2155542178,8,C47122089,Total fertility rate,5,0.44471383
W2155542178,9,C46299933,Child mortality,3,0.4281106
W2155542178,10,C179755657,Mortality rate,2,0.42410403
W2155542178,11,C112299071,Infant mortality,3,0.41463426
W2155542178,12,C50522688,Economic growth,1,0.39530468
W2155542178,13,C17744445,Political science,0,0.36271787
W2155542178,14,C518429986,Fertility,3,0.3173145
W2155542178,15,C144024400,Sociology,0,0.3069657
W2155542178,16,C199539241,Law,1,0.26278567
W2155542178,17,C162324750,Economics,0,0.25475675
W2155542178,18,C149923435,Demography,1,0.23025244
W2155542178,19,C2779076696,Family planning,4,0.15719473
W2155542178,20,C11413529,Algorithm,1,0
W2155542178,21,C41008148,Computer science,0,0
W2155542178,22,C2986817661,Research methodology,3,0
W2154967325,1,C2778173252,Benzodiazepine,3,0.8551475
W2154967325,2,C2776615572,Oxazepam,4,0.6640482
W2154967325,3,C2780325230,Hepatic encephalopathy,3,0.62654865
W2154967325,4,C126322002,Internal medicine,1,0.62610406
W2154967325,5,C2778621155,Encephalopathy,2,0.6101078
W2154967325,6,C2779651940,Cerebrospinal fluid,2,0.6100613
W2154967325,7,C176685330,Radioimmunoassay,2,0.6033561
W2154967325,8,C134018914,Endocrinology,1,0.5771402
W2154967325,9,C71924100,Medicine,0,0.5298262
W2154967325,10,C168258287,GABAA receptor,3,0.51055706
W2154967325,11,C16613235,Endogeny,2,0.4378315
W2154967325,12,C98274493,Pharmacology,1,0.32513833
W2154967325,13,C170493617,Receptor,2,0.29423678
W2154967325,14,C2777214474,Cirrhosis,2,0.07360852
W2337226613,1,C71924100,Medicine,0,0.9167073
W2337226613,2,C2777910003,Asymptomatic,2,0.90696144
W2337226613,3,C3013748606,Human immunodeficiency virus (HIV),2,0.5959411
W2337226613,4,C2910905871,Immunodeficiency Syndrome,4,0.5493332
W2337226613,5,C61511704,Incidence (geometry),2,0.5298072
W2337226613,6,C137916694,Asymptomatic carrier,3,0.49623138
W2337226613,7,C2777607303,Immunodeficiency,3,0.47495747
W2337226613,8,C203014093,Immunology,1,0.43547502
W2337226613,9,C2780727368,Viral disease,3,0.43393368
W2337226613,10,C2780648854,Immunopathology,2,0.41988233
W2337226613,11,C2776452011,Sida,4,0.4156341
W2337226613,12,C159047783,Virology,1,0.41514474
W2337226613,13,C2522874641,Virus,2,0.412575
W2337226613,14,C187212893,Pediatrics,1,0.36188897
W2337226613,15,C126322002,Internal medicine,1,0.16969416
W2337226613,16,C8891405,Immune system,2,0.042265385
W2337226613,17,C121332964,Physics,0,0
W2337226613,18,C120665830,Optics,1,0
W1990017076,1,C86803240,Biology,0,0.632179
W1990017076,2,C17966761,Subspecies,2,0.60510194
W1990017076,3,C135763542,Genotype,3,0.57213664
W1990017076,4,C2776555147,Leishmaniasis,2,0.570573
W1990017076,5,C2778702967,Cutaneous leishmaniasis,3,0.49806023
W1990017076,6,C2779134260,Disease,2,0.44942048
W1990017076,7,C159047783,Virology,1,0.44009724
W1990017076,8,C2781092759,Leishmania,3,0.43809628
W1990017076,9,C2778022156,Strain (injury),2,0.43034583
W1990017076,10,C203014093,Immunology,1,0.37193385
W1990017076,11,C89423630,Microbiology,1,0.32453912
W1990017076,12,C54355233,Genetics,1,0.28665948
W1990017076,13,C71924100,Medicine,0,0.23989096
W1990017076,14,C142724271,Pathology,1,0.22757241
W1990017076,15,C104317684,Gene,2,0.20971933
W1990017076,16,C71928629,Parasite hosting,2,0.18522117
W1990017076,17,C151730666,Paleontology,1,0
W1990017076,18,C105702510,Anatomy,1,0
W1990017076,19,C136764020,World Wide Web,1,0
W1990017076,20,C41008148,Computer science,0,0
W2009615146,1,C8038842,Air entrainment,2,0.69307363
W2009615146,2,C139992725,Entrainment (biomusicology),3,0.6867887
W2009615146,3,C71924100,Medicine,0,0.61752504
W2009615146,4,C2779345167,Aerosol,2,0.6030934
W2009615146,5,C96618451,Dilution,2,0.6027626
W2009615146,6,C2776954882,Inhalation,2,0.48806107
W2009615146,7,C42219234,Anesthesia,1,0.48476547
W2009615146,8,C39432304,Environmental science,0,0.41754562
W2009615146,9,C187212893,Pediatrics,1,0.39384392
W2009615146,10,C126322002,Internal medicine,1,0.20828366
W2009615146,11,C57879066,Mechanics,1,0.18520662
W2009615146,12,C185592680,Chemistry,0,0.1794936
W2009615146,13,C121332964,Physics,0,0
W2009615146,14,C135343436,Rhythm,2,0
W2009615146,15,C97355855,Thermodynamics,1,0
W2009615146,16,C178790620,Organic chemistry,1,0
W2053351742,1,C205260736,Heat shock protein,3,0.71164715
W2053351742,2,C195616568,Epitope,3,0.6554495
W2053351742,3,C147483822,Antigen,2,0.61202955
W2053351742,4,C159654299,Antibody,2,0.52559066
W2053351742,5,C542903549,Monoclonal antibody,3,0.47621593
W2053351742,6,C2779306644,Insulin,2,0.44325492
W2053351742,7,C86803240,Biology,0,0.3768072
W2053351742,8,C153911025,Molecular biology,1,0.37204322
W2053351742,9,C203014093,Immunology,1,0.35089847
W2053351742,10,C134018914,Endocrinology,1,0.29203564
W2053351742,11,C55493867,Biochemistry,1,0.13933596
W2053351742,12,C104317684,Gene,2,0
W2057816695,1,C71924100,Medicine,0,0.842826
W2057816695,2,C2779399171,Malignancy,2,0.63677585
W2057816695,3,C509974204,Radiation therapy,2,0.6114588
W2057816695,4,C2779282312,Myeloid,2,0.6089084
W2057816695,5,C126322002,Internal medicine,1,0.54065907
W2057816695,6,C2779134260,Disease,2,0.5133823
W2057816695,7,C2779338263,Lymphoma,2,0.49675447
W2057816695,8,C2776694085,Chemotherapy,2,0.48105267
W2057816695,9,C143998085,Oncology,1,0.4738964
W2057816695,10,C61511704,Incidence (geometry),2,0.47142094
W2057816695,11,C88879693,Cumulative incidence,3,0.41512576
W2057816695,12,C90924648,Gastroenterology,1,0.3490613
W2057816695,13,C72563966,Cohort,2,0.108127296
W2057816695,14,C121332964,Physics,0,0
W2057816695,15,C120665830,Optics,1,0
W2105961189,1,C2780561956,Cromakalim,4,0.92636925
W2105961189,2,C27081682,Placebo,3,0.78075576
W2105961189,3,C71924100,Medicine,0,0.7515864
W2105961189,4,C2776042228,Asthma,2,0.6738279
W2105961189,5,C42219234,Anesthesia,1,0.6508581
W2105961189,6,C19720800,Morning,2,0.64834
W2105961189,7,C87813604,Crossover study,4,0.54190725
W2105961189,8,C126322002,Internal medicine,1,0.35074687
W2105961189,9,C204787440,Alternative medicine,2,0
W2105961189,10,C170493617,Receptor,2,0
W2105961189,11,C142724271,Pathology,1,0
W2105961189,12,C2778938600,Agonist,3,0
W2077071189,1,C45189115,Serology,3,0.90303606
W2077071189,2,C71924100,Medicine,0,0.8635751
W2077071189,3,C2781069245,Tuberculosis,2,0.83038735
W2077071189,4,C3020221152,Extrapulmonary tuberculosis,4,0.7722735
W2077071189,5,C2777975735,Mycobacterium tuberculosis,3,0.61780834
W2077071189,6,C159654299,Antibody,2,0.52720624
W2077071189,7,C203014093,Immunology,1,0.4318975
W2077071189,8,C2908628106,Pulmonary tuberculosis,3,0.4292025
W2077071189,9,C147483822,Antigen,2,0.4249605
W2077071189,10,C126322002,Internal medicine,1,0.4114988
W2077071189,11,C142724271,Pathology,1,0.2176212
W2158637482,1,C71924100,Medicine,0,0.9448099
W2158637482,2,C2780216070,Zidovudine,4,0.7957989
W2158637482,3,C2911091166,Transplantation,2,0.5975939
W2158637482,4,C2777910003,Asymptomatic,2,0.5775277
W2158637482,5,C126322002,Internal medicine,1,0.452354
W2158637482,6,C203014093,Immunology,1,0.4004098
W2158637482,7,C141071460,Surgery,1,0.38007787
W2158637482,8,C90924648,Gastroenterology,1,0.33567935
W2158637482,9,C2780727368,Viral disease,3,0.2017802
W2158637482,10,C2522874641,Virus,2,0.15358004
W2062096607,1,C2776279924,Caesarean section,3,0.8486557
W2062096607,2,C199521495,Audit,2,0.82366526
W2062096607,3,C2780109559,Fetal distress,4,0.62837446
W2062096607,4,C71924100,Medicine,0,0.56075776
W2062096607,5,C61511704,Incidence (geometry),2,0.53625906
W2062096607,6,C71043370,Jurisprudence,2,0.5179869
W2062096607,7,C131872663,Obstetrics,1,0.4448356
W2062096607,8,C139265228,Distress,2,0.44374073000000003
W2062096607,9,C545542383,Medical emergency,1,0.39786416
W2062096607,10,C512399662,Family medicine,1,0.3238091
W2062096607,11,C121955636,Accounting,1,0.2914023
W2062096607,12,C2779234561,Pregnancy,2,0.29050162
W2062096607,13,C144133560,Business,0,0.16499496
W2062096607,14,C199539241,Law,1,0.12679982
W2062096607,15,C17744445,Political science,0,0.12380996
W2062096607,16,C172680121,Fetus,3,0.114987314
W2062096607,17,C70410870,Clinical psychology,1,0
W2062096607,18,C54355233,Genetics,1,0
W2062096607,19,C121332964,Physics,0,0
W2062096607,20,C120665830,Optics,1,0
W2062096607,21,C86803240,Biology,0,0
W2042859759,1,C2776002628,Left ventricular hypertrophy,3,0.85764754
W2042859759,2,C164705383,Cardiology,1,0.8081863
W2042859759,3,C126322002,Internal medicine,1,0.75537926
W2042859759,4,C71924100,Medicine,0,0.7451894
W2042859759,5,C57900726,Diastole,3,0.69342995
W2042859759,6,C2780829959,Diastolic function,4,0.6598563
W2042859759,7,C2993376042,Ventricular function,2,0.62042195
W2042859759,8,C2780346441,Doppler echocardiography,4,0.4904134
W2042859759,9,C167414201,Muscle hypertrophy,2,0.47332105
W2042859759,10,C84393581,Blood pressure,2,0.3458277
W2086133857,1,C202751555,In vitro,2,0.7598542
W2086133857,2,C79879829,Intracellular,2,0.71021605
W2086133857,3,C2776178377,Interferon,2,0.5801741
W2086133857,4,C207001950,In vivo,2,0.55448717
W2086133857,5,C2908862229,Carcinoid tumour,2,0.5530567
W2086133857,6,C126322002,Internal medicine,1,0.52517545
W2086133857,7,C181199279,Enzyme,2,0.5050817
W2086133857,8,C159654299,Antibody,2,0.4828125
W2086133857,9,C71924100,Medicine,0,0.45653257
W2086133857,10,C40767141,Recombinant DNA,3,0.4344107
W2086133857,11,C2778690821,Cytokine,2,0.42679912
W2086133857,12,C90924648,Gastroenterology,1,0.38217884
W2086133857,13,C134018914,Endocrinology,1,0.3745619
W2086133857,14,C86803240,Biology,0,0.3615468
W2086133857,15,C203014093,Immunology,1,0.30482018
W2086133857,16,C55493867,Biochemistry,1,0.13927251
W2086133857,17,C150903083,Biotechnology,1,0
W2086133857,18,C104317684,Gene,2,0
W1969861093,1,C187296825,Centimorgan,5,0.9334514
W1969861093,2,C54355233,Genetics,1,0.8069274
