id,which_mesh,term,is_major_topic,qualifier_name
W2050960957,1,Brain,TRUE,physiology
W2050960957,2,Cerebral Cortex,TRUE,
W2050960957,3,Decerebrate State,TRUE,
W2050960957,4,Light,TRUE,
W2050960957,5,Physiology,TRUE,
W2050960957,6,Research,TRUE,
W2050960957,7,Retina,TRUE,
W2050960957,8,"Vision, Ocular",TRUE,
W2050960957,9,Visual Cortex,TRUE,
W2050960957,10,Brain,FALSE,
W2050960957,11,Cats,FALSE,
W2069506889,1,Neisseria meningitidis,TRUE,
W2069506889,2,Streptomycin,TRUE,pharmacology
W2069506889,3,Streptomycin,FALSE,
W2054887921,1,Ammonia,TRUE,
W2054887921,2,Ammonium Compounds,TRUE,
W2054887921,3,Renin,TRUE,
W2054887921,4,Tachyphylaxis,TRUE,
W2054887921,5,Tetraethylammonium,TRUE,
W2007117590,1,Chromosome Structures,TRUE,
W2007117590,2,Chromosomes,TRUE,
W2007117590,3,Electrons,TRUE,
W2007117590,4,Microscopy,TRUE,
W2087763370,1,Anemia,TRUE,
W2087763370,2,"Anemia, Macrocytic",TRUE,
W2087763370,3,Choline,TRUE,pharmacology
W2087763370,4,Animals,FALSE,
W2087763370,5,Choline,FALSE,
W2087763370,6,Dogs,FALSE,
W1483777218,1,Aminocaproates,TRUE,
W1483777218,2,Aminocaproic Acid,TRUE,
W1483777218,3,Caproates,TRUE,
W1483777218,4,Animals,FALSE,
W1483777218,5,Rats,FALSE,
W2077617633,1,Fluorenes,FALSE,
W2171436202,1,Humans,FALSE,
W2053551438,1,Cold Temperature,TRUE,
W2053551438,2,Temperature,TRUE,
W2083369863,1,Liver,TRUE,metabolism
W2083369863,2,Glycine,FALSE,
W2083369863,3,Glycine,FALSE,analogs & derivatives
W2083369863,4,Humans,FALSE,
W2083369863,5,Liver,FALSE,
W2083369863,6,Male,FALSE,
W2020911488,1,Chromosomes,TRUE,
W2020911488,2,Humans,FALSE,
W1968298942,1,Foundations,TRUE,
W1968298942,2,Research,TRUE,
W1968298942,3,Science,TRUE,
W1973907197,1,Forecasting,TRUE,
W1973907197,2,Research,TRUE,
W1973907197,3,Science,TRUE,
W1990154023,1,Biomedical Research,TRUE,
W1990154023,2,Research,TRUE,
W1990154023,3,"Social Control, Formal",TRUE,
W1990154023,4,Freedom,FALSE,
W1990154023,5,Humans,FALSE,
W1990154023,6,Social Change,FALSE,
W2090683005,1,Commitment of Mentally Ill,TRUE,
W2090683005,2,Dissent and Disputes,TRUE,
W2090683005,3,Group Processes,TRUE,
W2090683005,4,Politics,TRUE,
W2090683005,5,Psychiatry,TRUE,
W2090683005,6,Humans,FALSE,
W2090683005,7,Public Policy,FALSE,
W2090683005,8,Social Change,FALSE,
W2090683005,9,USSR,FALSE,
W1975533462,1,Acetylcholine,TRUE,
W1975533462,2,Choline,TRUE,pharmacology
W1975533462,3,Permeability,TRUE,
W1975533462,4,Physostigmine,TRUE,pharmacology
W1975533462,5,Choline,FALSE,
W1975533462,6,Choline,FALSE,analogs & derivatives
W1975533462,7,Physostigmine,FALSE,
W2057522831,1,"2,4-Dichlorophenoxyacetic Acid",TRUE,
W2057522831,2,Intercellular Signaling Peptides and Proteins,TRUE,
W2057522831,3,Physiological Phenomena,TRUE,
W2057522831,4,Humans,FALSE,
W1964715680,1,Photosynthesis,TRUE,
W2064957323,1,Chromatography,TRUE,
W2064957323,2,"Chromatography, Liquid",TRUE,
W2066667424,1,Microscopy,TRUE,
W2066667424,2,Quartz,TRUE,
W2066667424,3,Staining and Labeling,TRUE,
W1988227829,1,Social Behavior,TRUE,
W1988227829,2,Humans,FALSE,
W2045750923,1,Neoplasms,TRUE,
W2045750923,2,Humans,FALSE,
W2017164164,1,Industry,TRUE,
W2017164164,2,Research,TRUE,
W2017164164,3,Science,TRUE,
W2017164164,4,Humans,FALSE,
W2017164164,5,United Kingdom,FALSE,
W2090551358,1,Vitamin A,TRUE,
W2090551358,2,Vitamins,TRUE,
W2087843779,1,Iodine,TRUE,
W2087843779,2,Iodine Compounds,TRUE,
W2087843779,3,Radioactivity,TRUE,
W2087843779,4,Radioisotopes,TRUE,
W2087843779,5,Thyroxine,TRUE,
W1991674584,1,Cooking,TRUE,
W1991674584,2,DDT,TRUE,
W1991674584,3,Meat,TRUE,
W1991674584,4,Animals,FALSE,
W1991674584,5,Cattle,FALSE,
W1991674584,6,Humans,FALSE,
W2024714092,1,Capsicum,TRUE,
W2024714092,2,Color,TRUE,
W2024714092,3,Fluorescence,TRUE,
W2024714092,4,Fruit,TRUE,
W2024714092,5,Streptomycin,TRUE,
W2024714092,6,Humans,FALSE,
W1986020635,1,Cold Temperature,TRUE,
W1986020635,2,Temperature,TRUE,
W2013114525,1,Fluorescence,TRUE,
W2013114525,2,Salts,TRUE,
W2013114525,3,Streptomycin,TRUE,
W1971999776,1,Amoeba,TRUE,
W1971999776,2,Invertebrates,TRUE,
W1971999776,3,Animals,FALSE,
W1971999776,4,Humans,FALSE,
W2033879260,1,Research,TRUE,
W2033879260,2,Alaska,FALSE,
W2033879260,3,Humans,FALSE,
W1990864424,1,Laboratories,TRUE,
W1990864424,2,Research,TRUE,
W1990864424,3,Alaska,FALSE,
W1990864424,4,Arctic Regions,FALSE,
W1990864424,5,Humans,FALSE,
W2040318049,1,Cellulose,TRUE,
W2040318049,2,Diet,TRUE,
W2040318049,3,Dietetics,TRUE,
W2040318049,4,Humans,FALSE,
W2023882513,1,Chickens,TRUE,
W2023882513,2,Estrogens,TRUE,
W2023882513,3,Folic Acid Antagonists,TRUE,
W2023882513,4,Tissues,TRUE,ethnology
W2023882513,5,Urogenital System,TRUE,
W2023882513,6,Vitamin B Complex,TRUE,
W2023882513,7,Vitamins,TRUE,
W2023882513,8,Animals,FALSE,
W2023882513,9,Humans,FALSE,
W2023882513,10,Tissues,FALSE,
W2011572188,1,Cold Temperature,TRUE,
W2011572188,2,Spectrum Analysis,TRUE,
W2011572188,3,Temperature,TRUE,
W2039179013,1,Penicillins,TRUE,
W2039179013,2,Radioactivity,TRUE,
W2039179013,3,Sulfur,TRUE,
W2039179013,4,Sulfur Radioisotopes,TRUE,
W1979935510,1,Chickens,TRUE,
W1979935510,2,Inorganic Chemicals,TRUE,
W1979935510,3,Organic Chemicals,TRUE,
W1979935510,4,Organophosphorus Compounds,TRUE,analysis
W1979935510,5,Phosphorus,TRUE,analysis
W1979935510,6,Phosphorus Compounds,TRUE,
W1979935510,7,Animals,FALSE,
W1979935510,8,Female,FALSE,
W1979935510,9,Organophosphorus Compounds,FALSE,
W1979935510,10,Phosphorus,FALSE,
W2047264817,1,Insulin,TRUE,pharmacology
W2047264817,2,Animals,FALSE,
W2047264817,3,Insulin,FALSE,
W2047264817,4,Mice,FALSE,
W2047264817,5,"Mice, Inbred Strains",FALSE,
W1979408451,1,Diptera,TRUE,
W1979408451,2,Drosophila melanogaster,TRUE,
W1979408451,3,Larva,TRUE,
W1979408451,4,Neoplasms,TRUE,
W1979408451,5,Animals,FALSE,
W2088112123,1,Chlorides,TRUE,
W2088112123,2,Penicillium chrysogenum,TRUE,
W2088112123,3,Tetrazolium Salts,TRUE,
W2088112123,4,Humans,FALSE,
W1981751186,1,Niacin,TRUE,
W1981751186,2,Nicotinic Acids,TRUE,
W1981751186,3,Tryptophan,TRUE,
W1981751186,4,Zea mays,TRUE,
W1981751186,5,Humans,FALSE,
W1964970233,1,Nervous System,TRUE,
W1964970233,2,Nervous System Physiological Phenomena,TRUE,
W1964970233,3,Humans,FALSE,
W2033424782,1,Cysteine,TRUE,
W2033424782,2,Penicillins,TRUE,
W2033424782,3,Salmonella,TRUE,
W1990075888,1,Eggs,TRUE,
W1990075888,2,Food Preservation,TRUE,
W1990075888,3,Freezing,TRUE,
W1990075888,4,Refrigeration,TRUE,
W1990075888,5,Humans,FALSE,
W1986845197,1,Electrocardiography,TRUE,
W1986845197,2,Heart,TRUE,
W1986845197,3,Movement,TRUE,
W1986845197,4,Writing,TRUE,
W1986845197,5,Aged,FALSE,
W1986845197,6,Humans,FALSE,
W2079366059,1,Anura,TRUE,
W2079366059,2,Erythrocytes,TRUE,
W2079366059,3,Malaria,TRUE,blood
W2079366059,4,Rana pipiens,TRUE,
W2079366059,5,Ranidae,TRUE,
W2079366059,6,Animals,FALSE,
W2079366059,7,Malaria,FALSE,
W2079366059,8,Pregnancy,FALSE,
W2079366059,9,Pregnancy,FALSE,diagnosis
W2002534615,1,Genetic Phenomena,TRUE,
W2002534615,2,Heredity,TRUE,
W2002534615,3,Mutation Rate,TRUE,
W2002534615,4,Neurospora,TRUE,
W1985960333,1,Chickens,TRUE,
W1985960333,2,Coccidiosis,TRUE,prevention & control
W1985960333,3,Eimeria,TRUE,
W1985960333,4,Eimeria tenella,TRUE,
W1985960333,5,Meat,TRUE,
W1985960333,6,Sulfaquinoxaline,TRUE,
W1985960333,7,Animals,FALSE,
W1985960333,8,Coccidiosis,FALSE,
W2045903322,1,Anemia,TRUE,
W2045903322,2,"Anemia, Macrocytic",TRUE,
W2045903322,3,Blood,TRUE,
W2045903322,4,Cholinesterases,TRUE,
W2045903322,5,Globulins,TRUE,
W2045903322,6,Humans,FALSE,
W2079463785,1,Chromosome Breakage,TRUE,
W2079463785,2,Chromosomes,TRUE,
W2079463785,3,Inorganic Chemicals,TRUE,
W2079463785,4,Organophosphorus Compounds,TRUE,
W2079463785,5,Phosphorus,TRUE,
W2079463785,6,Phosphorus Compounds,TRUE,
W2079463785,7,Plants,TRUE,
W2079463785,8,Radioactivity,TRUE,
W2079463785,9,Radioisotopes,TRUE,
W1989652103,1,Capillaries,TRUE,
W1989652103,2,Disease Susceptibility,TRUE,
W1989652103,3,Ecchymosis,TRUE,
W1989652103,4,Hemorrhagic Disorders,TRUE,
W1989652103,5,Humans,FALSE,
W2059259681,1,Erythrocyte Count,TRUE,
W2059259681,2,Erythrocytes,TRUE,
W2059259681,3,Hematoma,TRUE,
W2059259681,4,Malaria,TRUE,
W2059259681,5,Skin,TRUE,
W2059259681,6,Humans,FALSE,
W1971894014,1,Anemia,TRUE,
W1971894014,2,Inclusion Bodies,TRUE,
W1971894014,3,Phaseolus,TRUE,
W1971894014,4,Viruses,TRUE,
W1971894014,5,Humans,FALSE,
W1974372777,1,Decontamination,TRUE,
W1974372777,2,Elements,TRUE,
W1974372777,3,Hydrocarbons,TRUE,
W1974372777,4,Laboratories,TRUE,
W1974372777,5,Mustard Plant,TRUE,
W1974372777,6,Humans,FALSE,
W1985098111,1,Ciliophora,TRUE,
W2106059489,1,Weed Control,TRUE,
W2026831539,1,Research,TRUE,
W2056641051,1,Elements,TRUE,
W2056641051,2,Hydrocarbons,TRUE,
W2056641051,3,Mustard Plant,TRUE,
W2056641051,4,Humans,FALSE,
W1994927229,1,Bacillus,TRUE,
W1994927229,2,Gram-Positive Bacteria,TRUE,
W1994927229,3,Insecta,TRUE,
W1994927229,4,Mycobacterium tuberculosis,TRUE,
W1994927229,5,Streptomycin,TRUE,
W1994927229,6,Animals,FALSE,
W1994927229,7,Humans,FALSE,
W2063263118,1,Anticoagulants,TRUE,
W2063263118,2,Blood Coagulation,TRUE,
W2063263118,3,Hemophilia A,TRUE,
W2063263118,4,Medicine,TRUE,
W2063263118,5,Humans,FALSE,
W2036649992,1,Paraffin,TRUE,
W2036649992,2,Temperature,TRUE,
W2036649992,3,Tissues,TRUE,
W2036649992,4,Humans,FALSE,
W4246814788,1,Coloring Agents,TRUE,
W4246814788,2,Cytochromes,TRUE,
W4246814788,3,Electron Transport Complex IV,TRUE,
W4246814788,4,Oxidoreductases,TRUE,
W4246814788,5,Peroxidase,TRUE,
W4246814788,6,Peroxidases,TRUE,
W2060997024,1,"Administration, Intravenous",TRUE,
W2060997024,2,Emulsions,TRUE,
W2060997024,3,Glucose,TRUE,
W2060997024,4,"Injections, Intravenous",TRUE,
W2060997024,5,Humans,FALSE,
W4239917618,1,Biology,TRUE,
W4239917618,2,Neoplasms,TRUE,
W4239917618,3,Humans,FALSE,
W2026891765,1,Fetal Research,TRUE,
W2026891765,2,Fetus,TRUE,
W2026891765,3,Human Experimentation,TRUE,
W2026891765,4,Law Enforcement,TRUE,
W2026891765,5,Research,TRUE,
W2026891765,6,"Social Control, Formal",TRUE,
W2026891765,7,Humans,FALSE,
W2026891765,8,Pharmaceutical Preparations,FALSE,
W2026891765,9,Physician's Role,FALSE,
W1967745409,1,Ascites,TRUE,metabolism
W1967745409,2,Neoplasms,TRUE,
W1967745409,3,"Pigments, Biological",TRUE,
W1967745409,4,Animals,FALSE,
W1967745409,5,Ascites,FALSE,
W1967745409,6,Mice,FALSE,
W2084651303,1,Bacteria,TRUE,metabolism
W2084651303,2,Catalase,TRUE,
W2084651303,3,Cell Respiration,TRUE,
W2084651303,4,Oxidoreductases,TRUE,
W2084651303,5,Respiration,TRUE,
W2084651303,6,Bacteria,FALSE,
W2035516779,1,African Americans,TRUE,
W2035516779,2,Blacks,TRUE,
W2035516779,3,Lymphoid Tissue,TRUE,
W2035516779,4,Thymus Gland,TRUE,radiation effects
W2035516779,5,Animals,FALSE,
W2035516779,6,Humans,FALSE,
W2035516779,7,Mice,FALSE,
W2035516779,8,Thymus Gland,FALSE,
W2035516779,9,X-Rays,FALSE,
W2023616019,1,Perception,TRUE,
W2023616019,2,Psychomotor Performance,TRUE,
W2023616019,3,Work,TRUE,
W2023616019,4,Humans,FALSE,
W2081125553,1,Blood Circulation,TRUE,
W2081125553,2,Perfusion,TRUE,
W2081125553,3,Humans,FALSE,
W2013290769,1,Alkaloids,TRUE,
W2013290769,2,Benzodioxoles,TRUE,
W2013290769,3,Irritants,TRUE,
W2013290769,4,Piperidines,TRUE,
W2013290769,5,Polyunsaturated Alkamides,TRUE,
W2013290769,6,Humans,FALSE,
W2068341231,1,Bacteria,TRUE,
W2068341231,2,Histoplasma,TRUE,
W2068341231,3,Microsporum,TRUE,
W2068341231,4,Soil,TRUE,
W2068341231,5,"Spores, Fungal",TRUE,
W2068341231,6,Water,TRUE,
W2068341231,7,Water Supply,TRUE,
W2049376620,1,Brassica napus,TRUE,
W2049376620,2,Thyroid Gland,TRUE,
W2049376620,3,Humans,FALSE,
W2002759753,1,Barium,TRUE,
W2019201480,1,"2,4-Dichlorophenoxyacetic Acid",TRUE,
W2019201480,2,Plants,TRUE,
W1968836791,1,Radioactivity,TRUE,
W1968836791,2,Silk,TRUE,
W1968836791,3,Animals,FALSE,
W2045077887,1,Blood Group Antigens,TRUE,
W2045077887,2,Blood Transfusion,TRUE,
W2045077887,3,Hemolysis,TRUE,
W2045077887,4,Animals,FALSE,
W2045077887,5,Dogs,FALSE,
W2045077887,6,Humans,FALSE,
W2045077887,7,"Infant, Newborn",FALSE,
W2031526888,1,Dihydro-beta-Erythroidine,TRUE,
W3041728238,1,Science,TRUE,
W3041728238,2,Humans,FALSE,
W2029536601,1,Biological Assay,TRUE,
W2029536601,2,Geology,TRUE,
W2029536601,3,Radioactivity,TRUE,
W2029536601,4,Humans,FALSE,
W2032569401,1,"Vision, Ocular",TRUE,
W2032569401,2,Humans,FALSE,
W4253307145,1,"National Academy of Sciences, U.S.",TRUE,
W4253307145,2,Science,TRUE,
W4253307145,3,Humans,FALSE,
W4253307145,4,United States,FALSE,
W4253307145,5,Washington,FALSE,
W2010663894,1,Hypnosis,TRUE,
W2010663894,2,Learning,TRUE,
W2010663894,3,Humans,FALSE,
W2032877495,1,Body Temperature,TRUE,
W2032877495,2,Hot Temperature,TRUE,
W2032877495,3,Pain,TRUE,
W2032877495,4,Pain Threshold,TRUE,
W2032877495,5,Skin Temperature,TRUE,
W2032877495,6,Humans,FALSE,
W2048319708,1,Porphobilinogen,TRUE,
W2048319708,2,Porphyrins,TRUE,
W2048319708,3,Uroporphyrins,TRUE,
W2008299324,1,Plant Viruses,TRUE,
W2008299324,2,Ultraviolet Rays,TRUE,
W2008299324,3,Virus Diseases,TRUE,
W2083080047,1,Bacteria,TRUE,metabolism
W2083080047,2,Butylene Glycols,TRUE,
W2083080047,3,Fermentation,TRUE,
W2083080047,4,Glucosamine,TRUE,metabolism
W2083080047,5,Glycols,TRUE,
W2083080047,6,Bacteria,FALSE,
W2083080047,7,Glucosamine,FALSE,
W1985812057,1,Biological Phenomena,TRUE,
W1985812057,2,Leukocytes,TRUE,
W1985812057,3,Physiological Phenomena,TRUE,
W2045125835,1,Cactaceae,TRUE,
W2045125835,2,Ethnology,TRUE,
W2045125835,3,Mescaline,TRUE,
W2014645954,1,Anesthetics,TRUE,
W2014645954,2,Barbiturates,TRUE,
W2014645954,3,Mammals,TRUE,
W2014645954,4,Pentobarbital,TRUE,
W2014645954,5,Animals,FALSE,
