id,which_mesh,term,is_major_topic,qualifier_name
W1980358232,1,Humans,FALSE,
W2047868451,1,Citrus,TRUE,
W2047868451,2,Soil,TRUE,
W2047868451,3,Florida,FALSE,
W2031817609,1,Blood Coagulation,TRUE,
W2031817609,2,Chlortetracycline,TRUE,toxicity
W2031817609,3,Chlortetracycline,FALSE,
W2085579346,1,Iodine,TRUE,
W2085579346,2,Radioisotopes,TRUE,
W2085579346,3,Thyroid Gland,TRUE,
W2004722675,1,Chloramphenicol,TRUE,
W2004722675,2,Hydrolysis,FALSE,
W2089507806,1,Anemia,TRUE,therapy
W2089507806,2,Thiourea,TRUE,
W2089507806,3,Thymine,TRUE,
W2089507806,4,Uracil,TRUE,
W2089507806,5,Anemia,FALSE,
W2089507806,6,Humans,FALSE,
W2072599249,1,Bothrops,TRUE,
W2072599249,2,Fibrinogen,TRUE,
W2072599249,3,Venoms,TRUE,pharmacology
W2072599249,4,Animals,FALSE,
W2072599249,5,Humans,FALSE,
W2072599249,6,Venoms,FALSE,
W1970339426,1,Bicarbonates,TRUE,
W1970339426,2,Carbon,TRUE,
W1970339426,3,Carbon Radioisotopes,TRUE,
W1970339426,4,Radioisotopes,TRUE,
W1970339426,5,Sodium,TRUE,
W1970339426,6,Sodium Bicarbonate,TRUE,
W2063088468,1,Carotenoids,TRUE,analysis
W2063088468,2,Nitrogen,TRUE,
W2063088468,3,Temperature,TRUE,
W2063088468,4,beta Carotene,TRUE,
W2063088468,5,Carotenoids,FALSE,
W2092091626,1,Anions,TRUE,
W2092091626,2,Glutamates,TRUE,
W2092091626,3,Glutamic Acid,TRUE,
W2092091626,4,Ions,TRUE,
W2092091626,5,Sodium,TRUE,
W2092091626,6,Sodium Glutamate,TRUE,
W2092091626,7,"Sodium, Dietary",TRUE,
W2005488155,1,Coinfection,TRUE,
W2005488155,2,"Encephalitis Virus, Western Equine",TRUE,
W2005488155,3,Encephalomyelitis,TRUE,
W2005488155,4,"Encephalomyelitis, Equine",TRUE,
W2005488155,5,"Encephalomyelitis, Western Equine",TRUE,
W2005488155,6,Poliomyelitis,TRUE,
W2005488155,7,Poliovirus,TRUE,
W2005488155,8,Animals,FALSE,
W2005488155,9,Horses,FALSE,
W2005488155,10,Mice,FALSE,
W2012009902,1,Amino Acids,TRUE,
W2012009902,2,Oxidation-Reduction,TRUE,
W3163076327,1,Equipment and Supplies,TRUE,
W3163076327,2,Microsurgery,TRUE,
W3163076327,3,Welding,TRUE,
W3163076327,4,Humans,FALSE,
W2054798681,1,Anthropology,TRUE,
W2054798681,2,Social Behavior,TRUE,
W2054798681,3,Humans,FALSE,
W2066249799,1,Arachis,TRUE,
W2066249799,2,Calcium,TRUE,
W2066249799,3,Calcium Compounds,TRUE,
W2066249799,4,Fruit,TRUE,
W2066249799,5,Inorganic Chemicals,TRUE,
W2066249799,6,Radioactivity,TRUE,
W2045123503,1,Life,TRUE,
W2045123503,2,Mammals,TRUE,
W2045123503,3,Population Growth,TRUE,
W2045123503,4,Animals,FALSE,
W2045123503,5,Rats,FALSE,
W2000653162,1,Chromatography,TRUE,
W2000653162,2,Fabaceae,TRUE,
W2000653162,3,Glycine,TRUE,
W2000653162,4,Indicators and Reagents,TRUE,
W1975644864,1,Bone and Bones,TRUE,
W1975644864,2,Radiation,TRUE,
W1975644864,3,Radiation Dosage,TRUE,
