id,which_mesh,term,is_major_topic
W1979426312,1,Biopsy,TRUE
W1979426312,2,"Biopsy, Fine-Needle",TRUE
W1979426312,3,"Biopsy, Needle",TRUE
W1979426312,4,Spine,TRUE
W1979426312,5,Humans,FALSE
W1996771652,1,Hemorrhage,TRUE
W1996771652,2,Meninges,TRUE
W1996771652,3,Subarachnoid Hemorrhage,TRUE
W1996771652,4,Humans,FALSE
W1996771652,5,Prognosis,FALSE
W2020061894,1,"Administration, Intravenous",TRUE
W2020061894,2,Aminophylline,TRUE
W2020061894,3,Humans,FALSE
W2021370090,1,Brucellosis,TRUE
W2021370090,2,Streptomycin,TRUE
W2021370090,3,Sulfadiazine,TRUE
W2083582717,1,Hemoglobins,TRUE
W2083582717,2,Reproducibility of Results,TRUE
W2083582717,3,Hemoglobins,FALSE
W2004516694,1,Neoplasms,TRUE
W2004516694,2,Uterine Neoplasms,TRUE
W2004516694,3,Vaginal Smears,TRUE
W2004516694,4,Female,FALSE
W2004516694,5,Humans,FALSE
W2613055778,1,Arthritis,TRUE
W2613055778,2,Ethnicity,TRUE
W2613055778,3,Language,TRUE
W2613055778,4,Rheumatic Diseases,TRUE
W2613055778,5,Humans,FALSE
W2613055778,6,United States,FALSE
W2032527754,1,Bone Neoplasms,TRUE
W2032527754,2,Bone and Bones,TRUE
W2032527754,3,Joints,TRUE
W2032527754,4,Neoplasms,TRUE
W2032527754,5,Humans,FALSE
W1987067493,1,Angiography,TRUE
W1987067493,2,Cerebral Angiography,TRUE
W1987067493,3,Hemorrhage,TRUE
W1987067493,4,Meninges,TRUE
W1987067493,5,Subarachnoid Hemorrhage,TRUE
W1987067493,6,Humans,FALSE
W2068230161,1,Coitus,TRUE
W2068230161,2,Dyspareunia,TRUE
W2068230161,3,General Practitioners,TRUE
W2068230161,4,Female,FALSE
W2068230161,5,Humans,FALSE
W2094015781,1,Penicillins,TRUE
W2094015781,2,Rheumatic Fever,TRUE
W2094015781,3,Streptococcus,TRUE
W2094015781,4,Humans,FALSE
W2094015781,5,Rheumatic Fever,FALSE
W1838838240,1,Arteries,TRUE
W1838838240,2,Arteritis,TRUE
W1838838240,3,Giant Cell Arteritis,TRUE
W1838838240,4,Inflammation,TRUE
W1838838240,5,Humans,FALSE
W1968342795,1,Biological Phenomena,TRUE
W1968342795,2,Growth and Development,TRUE
W1968342795,3,Margarine,TRUE
W1968342795,4,Physiological Phenomena,TRUE
W1968342795,5,Child,FALSE
W1968342795,6,Child,FALSE
W1968342795,7,Humans,FALSE
W2005673346,1,Cholestanes,TRUE
W2005673346,2,Skin,TRUE
W2005673346,3,"Tuberculosis, Cutaneous",TRUE
W2005673346,4,Vitamin D,TRUE
W2005673346,5,Vitamins,TRUE
W2005673346,6,Humans,FALSE
W2060780000,1,Peptic Ulcer,TRUE
W2060780000,2,Peptic Ulcer,FALSE
W2078174911,1,Poliomyelitis,TRUE
W2078174911,2,Poliomyelitis,TRUE
W2078174911,3,Poliomyelitis,FALSE
W2038292282,1,Headache,TRUE
W2038292282,2,Humans,FALSE
W4244646715,1,"Pregnancy, Ectopic",TRUE
W4244646715,2,Female,FALSE
W4244646715,3,Humans,FALSE
W4244646715,4,Pregnancy,FALSE
W2049664220,1,Blood Pressure,TRUE
W2049664220,2,Blood Pressure Determination,TRUE
W2049664220,3,Hypertension,TRUE
