id,which_mesh,term,is_major_topic,qualifier_name
W2079046187,1,Colorectal Neoplasms,TRUE,etiology
W2079046187,2,Crohn Disease,TRUE,complications
W2079046187,3,Adult,FALSE,
W2079046187,4,Colorectal Neoplasms,FALSE,
W2079046187,5,Colorectal Neoplasms,FALSE,epidemiology
W2079046187,6,Crohn Disease,FALSE,
W2079046187,7,Female,FALSE,
W2079046187,8,Follow-Up Studies,FALSE,
W2079046187,9,Humans,FALSE,
W2079046187,10,Male,FALSE,
W2079046187,11,Middle Aged,FALSE,
W2079046187,12,Retrospective Studies,FALSE,
W2079046187,13,Risk Factors,FALSE,
W2079046187,14,Sweden,FALSE,
W2079046187,15,Sweden,FALSE,epidemiology
W2156412357,1,"Chromosomes, Human, Pair 22",TRUE,
W2156412357,2,Debrisoquin,TRUE,metabolism
W2156412357,3,Isoquinolines,TRUE,metabolism
W2156412357,4,Multigene Family,TRUE,
W2156412357,5,Mutation,TRUE,
W2156412357,6,Base Sequence,FALSE,
W2156412357,7,Debrisoquin,FALSE,
W2156412357,8,Genotype,FALSE,
W2156412357,9,Heterozygote,FALSE,
W2156412357,10,Humans,FALSE,
W2156412357,11,Isoquinolines,FALSE,
W2156412357,12,Molecular Sequence Data,FALSE,
W2156412357,13,Polymerase Chain Reaction,FALSE,
W2156412357,14,"Polymorphism, Restriction Fragment Length",FALSE,
W2052968750,1,"Antibodies, Anti-Idiotypic",TRUE,analysis
W2052968750,2,Autoantibodies,TRUE,analysis
W2052968750,3,Cyclophosphamide,TRUE,therapeutic use
W2052968750,4,Cytoplasmic Granules,TRUE,immunology
W2052968750,5,Granulomatosis with Polyangiitis,TRUE,drug therapy
W2052968750,6,Granulomatosis with Polyangiitis,TRUE,immunology
W2052968750,7,Neutrophils,TRUE,immunology
W2052968750,8,Prednisolone,TRUE,therapeutic use
W2052968750,9,Adult,FALSE,
W2052968750,10,Aged,FALSE,
W2052968750,11,"Antibodies, Anti-Idiotypic",FALSE,
W2052968750,12,Autoantibodies,FALSE,
W2052968750,13,Cyclophosphamide,FALSE,administration & dosage
W2052968750,14,Cyclophosphamide,FALSE,
W2052968750,15,Cytoplasmic Granules,FALSE,
W2052968750,16,Drug Evaluation,FALSE,
W2052968750,17,Female,FALSE,
W2052968750,18,Granulomatosis with Polyangiitis,FALSE,prevention & control
W2052968750,19,Granulomatosis with Polyangiitis,FALSE,
W2052968750,20,Humans,FALSE,
W2052968750,21,Male,FALSE,
W2052968750,22,Middle Aged,FALSE,
W2052968750,23,Neutrophils,FALSE,
W2052968750,24,Prednisolone,FALSE,
W2052968750,25,Prednisolone,FALSE,administration & dosage
W2052968750,26,Prospective Studies,FALSE,
W2052968750,27,Randomized Controlled Trials as Topic,FALSE,
W2052968750,28,Recurrence,FALSE,
W2052968750,29,Time Factors,FALSE,
W2054382909,1,Burns,TRUE,immunology
W2054382909,2,Glutamine,TRUE,blood
W2054382909,3,Immune Tolerance,TRUE,
W2054382909,4,Adult,FALSE,
W2054382909,5,Amino Acids,FALSE,
W2054382909,6,Amino Acids,FALSE,blood
W2054382909,7,Burns,FALSE,
W2054382909,8,Burns,FALSE,blood
W2054382909,9,"Cells, Cultured",FALSE,
W2054382909,10,Glutamine,FALSE,
W2054382909,11,Humans,FALSE,
W2054382909,12,Lymphocyte Activation,FALSE,
W2054382909,13,Lymphocyte Activation,FALSE,physiology
W2054382909,14,Lymphocytes,FALSE,
W2054382909,15,Lymphocytes,FALSE,physiology
W2054382909,16,Macrophages,FALSE,
W2054382909,17,Macrophages,FALSE,physiology
W2054382909,18,Phagocytosis,FALSE,physiology
W2054382909,19,Phagocytosis,FALSE,
W2070764028,1,Clostridium,TRUE,classification
W2070764028,2,Clostridium Infections,TRUE,transmission
W2070764028,3,Cross Infection,TRUE,transmission
W2070764028,4,Diarrhea,TRUE,etiology
W2070764028,5,Disease Outbreaks,TRUE,
W2070764028,6,"Enterocolitis, Pseudomembranous",TRUE,etiology
W2070764028,7,Aged,FALSE,
W2070764028,8,Clostridium,FALSE,
W2070764028,9,Clostridium,FALSE,isolation & purification
W2070764028,10,Clostridium Infections,FALSE,
W2070764028,11,Clostridium Infections,FALSE,epidemiology
W2070764028,12,Clostridium Infections,FALSE,genetics
W2070764028,13,Cross Infection,FALSE,
W2070764028,14,Cross Infection,FALSE,epidemiology
W2070764028,15,Cross Infection,FALSE,genetics
W2070764028,16,DNA Restriction Enzymes,FALSE,
W2070764028,17,Diarrhea,FALSE,epidemiology
W2070764028,18,Diarrhea,FALSE,
W2070764028,19,"Enterocolitis, Pseudomembranous",FALSE,
W2070764028,20,"Enterocolitis, Pseudomembranous",FALSE,epidemiology
W2070764028,21,Evaluation Studies as Topic,FALSE,
W2070764028,22,Humans,FALSE,
W2070764028,23,Length of Stay,FALSE,
W2070764028,24,Middle Aged,FALSE,
W2070764028,25,Minnesota,FALSE,
W2070764028,26,Minnesota,FALSE,epidemiology
W2070764028,27,Prohibitins,FALSE,
W2070764028,28,Prospective Studies,FALSE,
W2070764028,29,Restriction Mapping,FALSE,
W2070764028,30,Risk Factors,FALSE,
W2070764028,31,Serotyping,FALSE,methods
W2070764028,32,Serotyping,FALSE,
W2070764028,33,Time Factors,FALSE,
W2160523633,1,Fetal Death,TRUE,prevention & control
W2160523633,2,Infant Mortality,TRUE,
W2160523633,3,Mass Screening,TRUE,
W2160523633,4,Prenatal Care,TRUE,methods
W2160523633,5,Ultrasonography,TRUE,
W2160523633,6,Evaluation Studies as Topic,FALSE,
W2160523633,7,Female,FALSE,
W2160523633,8,Fetal Death,FALSE,
W2160523633,9,Health Services,FALSE,
W2160523633,10,Health Services,FALSE,statistics & numerical data
W2160523633,11,Humans,FALSE,
W2160523633,12,"Infant, Newborn",FALSE,
W2160523633,13,Pregnancy,FALSE,
W2160523633,14,Pregnancy Outcome,FALSE,
W2160523633,15,Pregnancy Outcome,FALSE,epidemiology
W2160523633,16,Prenatal Care,FALSE,
W2160523633,17,Randomized Controlled Trials as Topic,FALSE,
W2160523633,18,Statistics as Topic,FALSE,
W2017149875,1,Acquired Immunodeficiency Syndrome,TRUE,complications
W2017149875,2,HIV-1,TRUE,
W2017149875,3,Sepsis,TRUE,complications
W2017149875,4,Acquired Immunodeficiency Syndrome,FALSE,
W2017149875,5,Adult,FALSE,
W2017149875,6,Cross-Sectional Studies,FALSE,
W2017149875,7,Enterobacteriaceae,FALSE,
W2017149875,8,Enterobacteriaceae,FALSE,isolation & purification
W2017149875,9,Female,FALSE,
W2017149875,10,Humans,FALSE,
W2017149875,11,Kenya,FALSE,epidemiology
W2017149875,12,Kenya,FALSE,
W2017149875,13,Male,FALSE,
W2017149875,14,Prevalence,FALSE,
W2017149875,15,Prognosis,FALSE,
W2017149875,16,Sepsis,FALSE,epidemiology
W2017149875,17,Sepsis,FALSE,microbiology
W2017149875,18,Sepsis,FALSE,
W2017149875,19,Sepsis,FALSE,mortality
W2022121727,1,Abdomen,TRUE,surgery
