id,title,pub_date,cite_count,pub_type,pmid,which_athr,athr_id,athr_name,raw_affl,inst,inst_id,which_affl
W2048712968,Analgesia from Electrical Stimulation in the Brainstem of the Rat,1971-12-24,708,journal-article,5167502,1,A5030438559,David J. Mayer,"Department of Psychology, University of California, Los Angeles 90024","University of California, Los Angeles",I161318765,1
W2048712968,Analgesia from Electrical Stimulation in the Brainstem of the Rat,1971-12-24,708,journal-article,5167502,2,A5003349844,Thomas L. Wolfle,"Department of Psychology, University of California, Los Angeles 90024","University of California, Los Angeles",I161318765,1
W2048712968,Analgesia from Electrical Stimulation in the Brainstem of the Rat,1971-12-24,708,journal-article,5167502,3,A5007964297,Huda Akil,"Department of Psychology, University of California, Los Angeles 90024","University of California, Los Angeles",I161318765,1
W2048712968,Analgesia from Electrical Stimulation in the Brainstem of the Rat,1971-12-24,708,journal-article,5167502,4,A5061056935,Brooks Carder,"Department of Psychology, University of California, Los Angeles 90024","University of California, Los Angeles",I161318765,1
W2048712968,Analgesia from Electrical Stimulation in the Brainstem of the Rat,1971-12-24,708,journal-article,5167502,5,A5056601538,John C. Liebeskind,"Department of Psychology, University of California, Los Angeles 90024","University of California, Los Angeles",I161318765,1
W2060095161,Sensory Neglect Produced by Lateral Hypothalamic Damage,1971-10-29,391,journal-article,5165007,1,A5010733262,John F. Marshall,"Department of Psychology and Institute of Neurological Sciences, University of Pennsylvania, Philadelphia 19104",University of Pennsylvania,I79576946,1
W2060095161,Sensory Neglect Produced by Lateral Hypothalamic Damage,1971-10-29,391,journal-article,5165007,2,A5027080022,Blair H. Turner,"Department of Psychology and Institute of Neurological Sciences, University of Pennsylvania, Philadelphia 19104",University of Pennsylvania,I79576946,1
W2060095161,Sensory Neglect Produced by Lateral Hypothalamic Damage,1971-10-29,391,journal-article,5165007,3,A5010786722,Philip Teitelbaum,"Department of Psychology and Institute of Neurological Sciences, University of Pennsylvania, Philadelphia 19104",University of Pennsylvania,I79576946,1
W1963819146,"Race, Social Class, and IQ",1971-12-24,304,journal-article,5167501,1,A5040856640,Sandra Scarr-Salapatek,"U. Minnesota, Inst. of Child Development",,,1
W1529401899,Alpha and Beta Globin Messenger Ribonucleic Acid,1971-12-01,292,journal-article,5167019,1,A5076111394,Harvey F. Lodish,"From the Department of Biology, Massachusetts Institute of Technology, Cambridge, Massachusetts 02139",Massachusetts Institute of Technology,I63966007,1
W1601584877,"Specificities of Prostaglandins B1, F1α, and F2α Antigen-Antibody Reactions",1971-11-01,249,journal-article,5166558,1,A5070181938,Lawrence Levine,,,,1
W1601584877,"Specificities of Prostaglandins B1, F1α, and F2α Antigen-Antibody Reactions",1971-11-01,249,journal-article,5166558,2,A5048153240,R.M. Gutierrez Cernosek,,,,1
W1601584877,"Specificities of Prostaglandins B1, F1α, and F2α Antigen-Antibody Reactions",1971-11-01,249,journal-article,5166558,3,A5011476293,Helen Van Vunakis,,,,1
W1968297117,Detection of Inactive Enzyme Molecules in Ageing Organisms,1970-09-01,212,journal-article,5212575,1,A5014033550,Harriet Gershon,"Laboratory of Biochemistry, Department of Chemistry, Israel Institute of Technology, Haifa",,,1
W1968297117,Detection of Inactive Enzyme Molecules in Ageing Organisms,1970-09-01,212,journal-article,5212575,2,A5003634812,David Gershon,"Laboratory of Biochemistry, Department of Chemistry, Israel Institute of Technology, Haifa",,,1
W1669384271,Properties of the Insulin Receptor of Isolated Fat Cell Membranes,1971-12-01,198,journal-article,5167021,1,A5068145395,Pedro Cuatrecasas,"From the Department of Medicine and the Department of Pharmacology and Experimental Therapeutics, The Johns Hopkins University School of Medicine, Baltimore, Maryland 21205",Johns Hopkins Medicine,I2799853436,1
W1669384271,Properties of the Insulin Receptor of Isolated Fat Cell Membranes,1971-12-01,198,journal-article,5167021,1,A5068145395,Pedro Cuatrecasas,"From the Department of Medicine and the Department of Pharmacology and Experimental Therapeutics, The Johns Hopkins University School of Medicine, Baltimore, Maryland 21205",Johns Hopkins University,I145311948,2
W1555658886,"Ternary Coordination Complex between Human Serum Albumin, Copper (II), and l-Histidine",1971-10-01,176,journal-article,5165635,1,A5031567684,Show-Jy Lau,"From The Division of Biochemistry, The Research Institute of the Hospital for Sick Children, Toronto, and The Department of Biochemistry, University of Toronto, Toronto, Ontario, Canada",University of Toronto,I185261750,1
W1555658886,"Ternary Coordination Complex between Human Serum Albumin, Copper (II), and l-Histidine",1971-10-01,176,journal-article,5165635,1,A5031567684,Show-Jy Lau,"From The Division of Biochemistry, The Research Institute of the Hospital for Sick Children, Toronto, and The Department of Biochemistry, University of Toronto, Toronto, Ontario, Canada",Hospital for Sick Children,I2801317318,2
W1555658886,"Ternary Coordination Complex between Human Serum Albumin, Copper (II), and l-Histidine",1971-10-01,176,journal-article,5165635,1,A5031567684,Show-Jy Lau,"From The Division of Biochemistry, The Research Institute of the Hospital for Sick Children, Toronto, and The Department of Biochemistry, University of Toronto, Toronto, Ontario, Canada",SickKids Foundation,I4210141030,3
W1555658886,"Ternary Coordination Complex between Human Serum Albumin, Copper (II), and l-Histidine",1971-10-01,176,journal-article,5165635,2,A5091378879,Bibudhendra Sarkar,"From The Division of Biochemistry, The Research Institute of the Hospital for Sick Children, Toronto, and The Department of Biochemistry, University of Toronto, Toronto, Ontario, Canada",University of Toronto,I185261750,1
W1555658886,"Ternary Coordination Complex between Human Serum Albumin, Copper (II), and l-Histidine",1971-10-01,176,journal-article,5165635,2,A5091378879,Bibudhendra Sarkar,"From The Division of Biochemistry, The Research Institute of the Hospital for Sick Children, Toronto, and The Department of Biochemistry, University of Toronto, Toronto, Ontario, Canada",Hospital for Sick Children,I2801317318,2
W1555658886,"Ternary Coordination Complex between Human Serum Albumin, Copper (II), and l-Histidine",1971-10-01,176,journal-article,5165635,2,A5091378879,Bibudhendra Sarkar,"From The Division of Biochemistry, The Research Institute of the Hospital for Sick Children, Toronto, and The Department of Biochemistry, University of Toronto, Toronto, Ontario, Canada",SickKids Foundation,I4210141030,3
W1556841387,Amino Acid Sequence and Sequence Variability of the Amino-terminal Regions of Lysine-rich Histones,1971-12-01,164,journal-article,5167020,1,A5013208324,S C Rall,"From the Department of Biochemistry, University of California, Berkeley, California 94720","University of California, Berkeley",I95457486,1
W1556841387,Amino Acid Sequence and Sequence Variability of the Amino-terminal Regions of Lysine-rich Histones,1971-12-01,164,journal-article,5167020,2,A5023208717,R D Cole,"From the Department of Biochemistry, University of California, Berkeley, California 94720","University of California, Berkeley",I95457486,1
W1493580233,Proteins Made in the Mammalian Cell Cycle,1971-10-01,80,journal-article,5166692,1,A5037825871,Thomas D. Fox,,,,1
W1493580233,Proteins Made in the Mammalian Cell Cycle,1971-10-01,80,journal-article,5166692,2,A5002769265,Arthur B. Pardee,,,,1
W1528547809,The Autoactivation of Trypsinogen,1971-11-01,80,journal-article,5167250,1,A5001729424,John Kay,"From the Department of Biochemistry, The Medical College of Wisconsin, Milwaukee, Wisconsin 53233",Medical College of Wisconsin,I204308271,1
W1528547809,The Autoactivation of Trypsinogen,1971-11-01,80,journal-article,5167250,2,A5087856327,Beatrice Kassell,"From the Department of Biochemistry, The Medical College of Wisconsin, Milwaukee, Wisconsin 53233",Medical College of Wisconsin,I204308271,1
W2040406193,Virus-like Particles in Penicillin producing Strains of Penicillium chrysogenum,1969-04-01,78,journal-article,5191625,1,A5049387300,G. T. Banks,"Department of Biochemistry, Imperial College of Science and Technology, London",Imperial College London,I47508984,1
W2040406193,Virus-like Particles in Penicillin producing Strains of Penicillium chrysogenum,1969-04-01,78,journal-article,5191625,2,A5083508098,K. W. Buck,"Department of Biochemistry, Imperial College of Science and Technology, London",Imperial College London,I47508984,1
W2040406193,Virus-like Particles in Penicillin producing Strains of Penicillium chrysogenum,1969-04-01,78,journal-article,5191625,3,A5076324924,E. B. Chain,"Department of Biochemistry, Imperial College of Science and Technology, London",Imperial College London,I47508984,1
W2040406193,Virus-like Particles in Penicillin producing Strains of Penicillium chrysogenum,1969-04-01,78,journal-article,5191625,4,A5034913564,Joan E. Darbyshire,"Department of Biochemistry, Imperial College of Science and Technology, London",Imperial College London,I47508984,1
W2040406193,Virus-like Particles in Penicillin producing Strains of Penicillium chrysogenum,1969-04-01,78,journal-article,5191625,5,A5048629459,F. Himmelweit,"Department of Biochemistry, Imperial College of Science and Technology, London",Imperial College London,I47508984,1
W1512444837,Allosteric Properties of Skeletal Muscle Pyruvate Kinase,1971-12-01,75,journal-article,5166752,1,A5029994151,Hector Carminatti,"From the Instituto de Investigaciones Bioquímicas “Fundación Campomar,” and Facultad de Ciencias Exactas y Naturales, Obligado 2490, Buenos Aires (28), Argentina",Fundación Miguel Lillo,I4210137987,1
W1512444837,Allosteric Properties of Skeletal Muscle Pyruvate Kinase,1971-12-01,75,journal-article,5166752,2,A5060801030,Luis Jiménez de Asúa,"From the Instituto de Investigaciones Bioquímicas “Fundación Campomar,” and Facultad de Ciencias Exactas y Naturales, Obligado 2490, Buenos Aires (28), Argentina",Fundación Miguel Lillo,I4210137987,1
W1512444837,Allosteric Properties of Skeletal Muscle Pyruvate Kinase,1971-12-01,75,journal-article,5166752,3,A5083552801,B Leiderman,"From the Instituto de Investigaciones Bioquímicas “Fundación Campomar,” and Facultad de Ciencias Exactas y Naturales, Obligado 2490, Buenos Aires (28), Argentina",Fundación Miguel Lillo,I4210137987,1
W1512444837,Allosteric Properties of Skeletal Muscle Pyruvate Kinase,1971-12-01,75,journal-article,5166752,4,A5077935609,Enrique Rozengurt,"From the Instituto de Investigaciones Bioquímicas “Fundación Campomar,” and Facultad de Ciencias Exactas y Naturales, Obligado 2490, Buenos Aires (28), Argentina",Fundación Miguel Lillo,I4210137987,1
W1543393685,Isolation and Characterization of a Polysaccharide Containing 3-O-Methyl-d-mannose from Mycobacterium phlei,1971-11-01,75,journal-article,5166559,1,A5004525113,Gary R. Gray,"From the Department of Biochemistry, University of California, Berkeley, California 94720","University of California, Berkeley",I95457486,1
