id,abstract_len,title,pub_date,cite_count,pub_type,pmid,which_athr,athr_id,athr_name,raw_affl,inst,inst_id,which_affl
W2032997748,0,Tolerance of locus coeruleus neurones to morphine and suppression of withdrawal response by clonidine,1978-11-01,771,journal-article,216919,1,A5083475801,George K. Aghajanian,"Departments of Psychiatry and Pharmacology, Yale University School of Medicine and Connecticut Mental Health Center, New Haven",Connecticut Mental Health Center,I4210155461,1
W2032997748,0,Tolerance of locus coeruleus neurones to morphine and suppression of withdrawal response by clonidine,1978-11-01,771,journal-article,216919,1,A5083475801,George K. Aghajanian,"Departments of Psychiatry and Pharmacology, Yale University School of Medicine and Connecticut Mental Health Center, New Haven",Yale University,I32971472,2
W1528985492,113,"The fate of cytoplasmic vanadium. Implications on (NA,K)-ATPase inhibition.",1979-03-01,260,journal-article,217870,1,A5057032257,Lewis C. Cantley,,,,1
W1528985492,113,"The fate of cytoplasmic vanadium. Implications on (NA,K)-ATPase inhibition.",1979-03-01,260,journal-article,217870,2,A5027698659,Philip Aisen,,,,1
W2076409756,0,Morphine and β-endorphin influence the secretion of the endocrine pancreas,1978-11-01,225,journal-article,216921,1,A5041935551,Eli Ipp,University of Texas Southwestern Medical Center,The University of Texas Southwestern Medical Center,I867280407,1
W2076409756,0,Morphine and β-endorphin influence the secretion of the endocrine pancreas,1978-11-01,225,journal-article,216921,2,A5032393473,R. E. Dobbs,University of Texas Southwestern Medical Center,The University of Texas Southwestern Medical Center,I867280407,1
W2076409756,0,Morphine and β-endorphin influence the secretion of the endocrine pancreas,1978-11-01,225,journal-article,216921,3,A5065735316,Roger H Unger,"Veterans Administration Medical Center and The University of Texas Southwestern Medical School, Department of Internal Medicine, Dallas",The University of Texas Southwestern Medical Center,I867280407,1
W1559324595,0,Isolation of three thioredoxins from spinach leaves.,1979-03-01,168,journal-article,216700,1,A5033499103,Ricardo A. Wolosiuk,,,,1
W1559324595,0,Isolation of three thioredoxins from spinach leaves.,1979-03-01,168,journal-article,216700,2,A5059102572,Nancy A. Crawford,,,,1
W1559324595,0,Isolation of three thioredoxins from spinach leaves.,1979-03-01,168,journal-article,216700,3,A5088298584,Boihon C. Yee,,,,1
W1559324595,0,Isolation of three thioredoxins from spinach leaves.,1979-03-01,168,journal-article,216700,4,A5040737191,Bob B. Buchanan,,,,1
W2018438796,0,Destruction of inferior olive induces rapid depression in synaptic action of cerebellar Purkinje cells,1979-02-01,112,journal-article,216922,1,A5011594864,Masao Ito,"Department of Physiology, Faculty of Medicine, University of Tokyo, Bunkyo-ku, Tokyo (Japan)",University of Tokyo,I74801974,1
W2018438796,0,Destruction of inferior olive induces rapid depression in synaptic action of cerebellar Purkinje cells,1979-02-01,112,journal-article,216922,2,A5070818872,Naoko Nisimaru,"Department of Physiology, Faculty of Medicine, University of Tokyo, Bunkyo-ku, Tokyo (Japan)",University of Tokyo,I74801974,1
W2018438796,0,Destruction of inferior olive induces rapid depression in synaptic action of cerebellar Purkinje cells,1979-02-01,112,journal-article,216922,3,A5024840673,Katsuei Shibuki,"Department of Physiology, Faculty of Medicine, University of Tokyo, Bunkyo-ku, Tokyo (Japan)",University of Tokyo,I74801974,1
W1593980522,148,Characterization of the apolipoprotein B polypeptide of human plasma low density lipoprotein in detergent and denaturation solutions.,1979-03-01,77,journal-article,216701,1,A5086529445,John C.H. Steele,,,,1
W1593980522,148,Characterization of the apolipoprotein B polypeptide of human plasma low density lipoprotein in detergent and denaturation solutions.,1979-03-01,77,journal-article,216701,2,A5027166465,Jacqueline A. Reynolds,,,,1
W2045424199,0,Insect acetylcholine receptors as a site of insecticide action,1978-11-01,76,journal-article,216920,1,A5047999832,Janice Gepner,"Department of Biology, 16-711, Massachusetts Institute of Technology, Cambridge",Massachusetts Institute of Technology,I63966007,1
W2045424199,0,Insect acetylcholine receptors as a site of insecticide action,1978-11-01,76,journal-article,216920,2,A5005121699,Linda M. Hall,"Department of Biology, 16-711, Massachusetts Institute of Technology, Cambridge",Massachusetts Institute of Technology,I63966007,1
W2045424199,0,Insect acetylcholine receptors as a site of insecticide action,1978-11-01,76,journal-article,216920,3,A5064089548,D. B. Sattelle,"ARC Unit of Invertebrate Chemistry and Physiology, Department of Zoology, Cambridge, UK",,,1
W1584102526,82,Molecular weight and hydrodynamic properties of apolipoprotein B in guanidine hydrochloride and sodium dodecyl sulfate solutions.,1979-03-01,74,journal-article,216702,1,A5086529445,John C.H. Steele,,,,1
W1584102526,82,Molecular weight and hydrodynamic properties of apolipoprotein B in guanidine hydrochloride and sodium dodecyl sulfate solutions.,1979-03-01,74,journal-article,216702,2,A5027166465,Jacqueline A. Reynolds,,,,1
