id,title,pub_date,cite_count,pub_type,pmid,which_athr,athr_id,athr_name,raw_affl,inst,inst_id,which_affl
W1989900621,On the Existence of a Hitherto Unrecognized Dietary Factor Essential for Reproduction,1922-12-08,832,journal-article,17838496,1,A5053558819,Herbert M. Evans,,,,1
W1989900621,On the Existence of a Hitherto Unrecognized Dietary Factor Essential for Reproduction,1922-12-08,832,journal-article,17838496,2,A5017123307,Katharine S. Bishop,,,,1
W2011497284,"The Higher Fullerenes: Isolation and Characterization of C <sub>76</sub> , C <sub>84</sub> , C <sub>90</sub> , C <sub>94</sub> , and C <sub>70</sub> O, an Oxide of D <sub>5h</sub> -C <sub>70</sub>",1991-04-26,617,journal-article,17838488,1,A5064252894,François Diederich,"Department of Chemistry and Biochemistry, University of California, Los Angeles, CA 90024-1569","University of California, Los Angeles",I161318765,1
W2011497284,"The Higher Fullerenes: Isolation and Characterization of C <sub>76</sub> , C <sub>84</sub> , C <sub>90</sub> , C <sub>94</sub> , and C <sub>70</sub> O, an Oxide of D <sub>5h</sub> -C <sub>70</sub>",1991-04-26,617,journal-article,17838488,2,A5009386081,Roland Ettl,"Department of Chemistry and Biochemistry, University of California, Los Angeles, CA 90024-1569","University of California, Los Angeles",I161318765,1
W2011497284,"The Higher Fullerenes: Isolation and Characterization of C <sub>76</sub> , C <sub>84</sub> , C <sub>90</sub> , C <sub>94</sub> , and C <sub>70</sub> O, an Oxide of D <sub>5h</sub> -C <sub>70</sub>",1991-04-26,617,journal-article,17838488,3,A5057931368,Yves Rubin,"Department of Chemistry and Biochemistry, University of California, Los Angeles, CA 90024-1569","University of California, Los Angeles",I161318765,1
W2011497284,"The Higher Fullerenes: Isolation and Characterization of C <sub>76</sub> , C <sub>84</sub> , C <sub>90</sub> , C <sub>94</sub> , and C <sub>70</sub> O, an Oxide of D <sub>5h</sub> -C <sub>70</sub>",1991-04-26,617,journal-article,17838488,4,A5067843597,Robert L. Whetten,"Department of Chemistry and Biochemistry, University of California, Los Angeles, CA 90024-1569","University of California, Los Angeles",I161318765,1
W2011497284,"The Higher Fullerenes: Isolation and Characterization of C <sub>76</sub> , C <sub>84</sub> , C <sub>90</sub> , C <sub>94</sub> , and C <sub>70</sub> O, an Oxide of D <sub>5h</sub> -C <sub>70</sub>",1991-04-26,617,journal-article,17838488,5,A5066077016,R. Beck,"Department of Chemistry and Biochemistry, University of California, Los Angeles, CA 90024-1569","University of California, Los Angeles",I161318765,1
W2011497284,"The Higher Fullerenes: Isolation and Characterization of C <sub>76</sub> , C <sub>84</sub> , C <sub>90</sub> , C <sub>94</sub> , and C <sub>70</sub> O, an Oxide of D <sub>5h</sub> -C <sub>70</sub>",1991-04-26,617,journal-article,17838488,6,A5064030525,Marcos M. Alvarez,"Department of Chemistry and Biochemistry, University of California, Los Angeles, CA 90024-1569","University of California, Los Angeles",I161318765,1
W2011497284,"The Higher Fullerenes: Isolation and Characterization of C <sub>76</sub> , C <sub>84</sub> , C <sub>90</sub> , C <sub>94</sub> , and C <sub>70</sub> O, an Oxide of D <sub>5h</sub> -C <sub>70</sub>",1991-04-26,617,journal-article,17838488,7,A5037733050,Samir J. Anz,"Department of Chemistry and Biochemistry, University of California, Los Angeles, CA 90024-1569","University of California, Los Angeles",I161318765,1
W2011497284,"The Higher Fullerenes: Isolation and Characterization of C <sub>76</sub> , C <sub>84</sub> , C <sub>90</sub> , C <sub>94</sub> , and C <sub>70</sub> O, an Oxide of D <sub>5h</sub> -C <sub>70</sub>",1991-04-26,617,journal-article,17838488,8,A5002614321,Dilip K. Sensharma,"Department of Chemistry and Biochemistry, University of California, Los Angeles, CA 90024-1569","University of California, Los Angeles",I161318765,1
W2011497284,"The Higher Fullerenes: Isolation and Characterization of C <sub>76</sub> , C <sub>84</sub> , C <sub>90</sub> , C <sub>94</sub> , and C <sub>70</sub> O, an Oxide of D <sub>5h</sub> -C <sub>70</sub>",1991-04-26,617,journal-article,17838488,9,A5034310595,Fred Wudl,"Institute for Polymers and Organic Solids, Department of Physics and Chemistry, University of California, Santa Barbara, CA 93106","University of California, Santa Barbara",I154570441,1
W2011497284,"The Higher Fullerenes: Isolation and Characterization of C <sub>76</sub> , C <sub>84</sub> , C <sub>90</sub> , C <sub>94</sub> , and C <sub>70</sub> O, an Oxide of D <sub>5h</sub> -C <sub>70</sub>",1991-04-26,617,journal-article,17838488,10,A5090642134,K. C. Khemani,"Institute for Polymers and Organic Solids, Department of Physics and Chemistry, University of California, Santa Barbara, CA 93106","University of California, Santa Barbara",I154570441,1
W2011497284,"The Higher Fullerenes: Isolation and Characterization of C <sub>76</sub> , C <sub>84</sub> , C <sub>90</sub> , C <sub>94</sub> , and C <sub>70</sub> O, an Oxide of D <sub>5h</sub> -C <sub>70</sub>",1991-04-26,617,journal-article,17838488,11,A5076625976,Andreas Koch,"Institute for Polymers and Organic Solids, Department of Physics and Chemistry, University of California, Santa Barbara, CA 93106","University of California, Santa Barbara",I154570441,1
W2043345540,Ordered Overlayers of C <sub>60</sub> on GaAs(110) Studied with Scanning Tunneling Microscopy,1991-04-26,222,journal-article,17838487,1,A5041485895,Y. Z. Li,"Department of Materials Science and Chemical Engineering, University of Minnesota, Minneapolis, MN 55455",University of Minnesota,I130238516,1
W2043345540,Ordered Overlayers of C <sub>60</sub> on GaAs(110) Studied with Scanning Tunneling Microscopy,1991-04-26,222,journal-article,17838487,2,A5021443069,J. C. Patrin,"Department of Materials Science and Chemical Engineering, University of Minnesota, Minneapolis, MN 55455",University of Minnesota,I130238516,1
