id,title,pub_date,cite_count,pub_type,pmid,which_athr,athr_id,athr_name,raw_affl,inst,inst_id,which_affl
W1981350480,5-HYDROXYTRYPTAMINE DEFICIENCY IN PHENYLKETONURIA,1957-03-01,139,journal-article,13407058,1,A5060103566,C. M. B. Pare,"ROYAL FREE HOSPITAL MEDICAL SCHOOL, LONDON, United Kingdom; ST. THOMAS'S HOSPITAL MEDICAL SCHOOL, LONDON, United Kingdom",The Royal Free Hospital,I2801138448,1
W1981350480,5-HYDROXYTRYPTAMINE DEFICIENCY IN PHENYLKETONURIA,1957-03-01,139,journal-article,13407058,1,A5060103566,C. M. B. Pare,"ROYAL FREE HOSPITAL MEDICAL SCHOOL, LONDON, United Kingdom; ST. THOMAS'S HOSPITAL MEDICAL SCHOOL, LONDON, United Kingdom",St Thomas' Hospital,I1324925910,2
W1981350480,5-HYDROXYTRYPTAMINE DEFICIENCY IN PHENYLKETONURIA,1957-03-01,139,journal-article,13407058,2,A5088462454,M. Sandler,"ROYAL FREE HOSPITAL MEDICAL SCHOOL, LONDON, United Kingdom; ST. THOMAS'S HOSPITAL MEDICAL SCHOOL, LONDON, United Kingdom",The Royal Free Hospital,I2801138448,1
W1981350480,5-HYDROXYTRYPTAMINE DEFICIENCY IN PHENYLKETONURIA,1957-03-01,139,journal-article,13407058,2,A5088462454,M. Sandler,"ROYAL FREE HOSPITAL MEDICAL SCHOOL, LONDON, United Kingdom; ST. THOMAS'S HOSPITAL MEDICAL SCHOOL, LONDON, United Kingdom",St Thomas' Hospital,I1324925910,2
W1981350480,5-HYDROXYTRYPTAMINE DEFICIENCY IN PHENYLKETONURIA,1957-03-01,139,journal-article,13407058,3,A5079408817,R. S. Stacey,"ST. THOMAS'S HOSPITAL MEDICAL SCHOOL, LONDON, United Kingdom",St Thomas' Hospital,I1324925910,1
W1994547034,DEFECTIVE ORGANIC BINDING OF IODINE BY THE THYROID IN HASHIMOTO'S THYROIDITIS,1957-03-01,74,journal-article,13407059,1,A5076952681,M.E. Morgans,"From the Medical Unit, University College Hospital Medical School, London. United Kingdom",University College Hospital,I1289784979,1
W1994547034,DEFECTIVE ORGANIC BINDING OF IODINE BY THE THYROID IN HASHIMOTO'S THYROIDITIS,1957-03-01,74,journal-article,13407059,2,A5071771382,Wilfred Trotter,"From the Medical Unit, University College Hospital Medical School, London. United Kingdom",University College Hospital,I1289784979,1
W1966781707,BLOOD PYRUVIC-ACID AND ALPHA-KETOGLUTARIC-ACID LEVELS IN LIVER DISEASE AND HEPATIC COMA,1957-02-01,48,journal-article,13407022,1,A5046826342,A. M. Dawson,"The Department of Medicine, Postgraduate Medical School of London, United Kingdom",London Postgraduate Medical and Dental Education,I4210103404,1
W1966781707,BLOOD PYRUVIC-ACID AND ALPHA-KETOGLUTARIC-ACID LEVELS IN LIVER DISEASE AND HEPATIC COMA,1957-02-01,48,journal-article,13407022,2,A5057722355,William S. Rosenthal,"The Department of Medicine, Postgraduate Medical School of London, United Kingdom",London Postgraduate Medical and Dental Education,I4210103404,1
W1966781707,BLOOD PYRUVIC-ACID AND ALPHA-KETOGLUTARIC-ACID LEVELS IN LIVER DISEASE AND HEPATIC COMA,1957-02-01,48,journal-article,13407022,3,A5068910750,J. De Groote,"The Department of Medicine, Postgraduate Medical School of London, United Kingdom",London Postgraduate Medical and Dental Education,I4210103404,1
