id,abstract_len,title,pub_date,retracted,cite_count,pub_type,pmid,which_athr,athr_id,athr_name,raw_affl,inst,inst_id,which_affl
W1979426312,98,ASPIRATION BIOPSY IN DIAGNOSIS OF LESIONS OF VERTEBRAL BODIES,1948-02-07,FALSE,110,journal-article,18902756,1,A5054472656,J Valls,,,,1
W1996771652,96,SPONTANEOUS SUBARACHNOID HEMORRHAGE OF ANEURYSMAL ORIGIN,1948-02-21,FALSE,69,journal-article,18902765,1,A5061812316,Wallace B. Hamby,,,,1
W2020061894,94,FATAL REACTIONS TO INTRAVENOUS ADMINISTRATION OF AMINOPHYLLINE,1948-02-07,FALSE,61,journal-article,18902760,1,A5013321300,Elliott Bresnick,,,,1
W2021370090,98,HUMAN BRUCELLOSIS,1948-02-07,FALSE,34,journal-article,18902757,1,A5079730210,Wesley W. Spink,,,,1
W2083582717,0,DETERMINATION OF HÆMOGLOBIN,1948-02-01,FALSE,31,journal-article,18902844,1,A5078832361,Robert Macfarlane,"Postgraduate Medical School of London, United Kingdom",London Postgraduate Medical and Dental Education,I4210103404,1
W2083582717,0,DETERMINATION OF HÆMOGLOBIN,1948-02-01,FALSE,31,journal-article,18902844,2,A5046081941,E. J. King,"Postgraduate Medical School of London, United Kingdom",London Postgraduate Medical and Dental Education,I4210103404,1
W2083582717,0,DETERMINATION OF HÆMOGLOBIN,1948-02-01,FALSE,31,journal-article,18902844,3,A5022243153,I. D. P. Wootton,"Postgraduate Medical School of London, United Kingdom",London Postgraduate Medical and Dental Education,I4210103404,1
W2083582717,0,DETERMINATION OF HÆMOGLOBIN,1948-02-01,FALSE,31,journal-article,18902844,4,A5068456343,Margaret Gilchrist,"Postgraduate Medical School of London, United Kingdom",London Postgraduate Medical and Dental Education,I4210103404,1
W2004516694,99,CERVICAL CYTOLOGY IN DIAGNOSIS OF EARLY CANCER,1948-02-21,FALSE,29,journal-article,18902763,1,A5087402674,Joseph Ayre,,,,1
W2032527754,91,CANCER OF THE BONE AND JOINT,1948-02-21,FALSE,20,journal-article,18902770,1,A5059098259,Dallas B. Phemister,,,,1
W1987067493,98,CEREBRAL ARTERIOGRAPHY IN SUBARACHNOID HEMORRHAGE,1948-02-21,FALSE,18,journal-article,18902764,1,A5075437039,I. S. Wechsler,,,,1
W2068230161,113,DYSPAREUNIA: A PROBLEM FOR THE GENERAL PRACTITIONER,1948-02-07,FALSE,16,journal-article,18902753,1,A5049797741,Robert T. Frank,,,,1
W2094015781,94,ORAL PROPHYLAXIS OF RHEUMATIC FEVER WITH PENICILLIN,1948-02-21,FALSE,16,journal-article,18902767,1,A5011642559,Albert Milzer,,,,1
W2094015781,94,ORAL PROPHYLAXIS OF RHEUMATIC FEVER WITH PENICILLIN,1948-02-21,FALSE,16,journal-article,18902767,2,A5041746440,Kate H. Kohn,,,,1
W2094015781,94,ORAL PROPHYLAXIS OF RHEUMATIC FEVER WITH PENICILLIN,1948-02-21,FALSE,16,journal-article,18902767,3,A5020712571,Helen E. MacLean,,,,1
W1838838240,0,"""Temporal Arteritis""",1948-03-06,FALSE,15,journal-article,18902663,1,A5033238467,Jennings Gh,,,,1
W1968342795,105,MARGARINE AND THE GROWTH OF CHILDREN,1948-02-07,FALSE,14,journal-article,18902758,1,A5085293339,Harry Leichenger,,,,1
W1968342795,105,MARGARINE AND THE GROWTH OF CHILDREN,1948-02-07,FALSE,14,journal-article,18902758,2,A5018893914,George M. Eisenberg,,,,1
W1968342795,105,MARGARINE AND THE GROWTH OF CHILDREN,1948-02-07,FALSE,14,journal-article,18902758,3,A5016907861,A. J. Carlson,,,,1
W2005673346,0,Vitamin D in Treatment of Cutaneous Tuberculosis,1948-03-06,FALSE,14,journal-article,18902659,1,A5061655497,G. B. Dowling,,,,1
W2005673346,0,Vitamin D in Treatment of Cutaneous Tuberculosis,1948-03-06,FALSE,14,journal-article,18902659,2,A5069136969,Suzette Gauvain,,,,1
W2005673346,0,Vitamin D in Treatment of Cutaneous Tuberculosis,1948-03-06,FALSE,14,journal-article,18902659,3,A5027258740,D. E. Macrae,,,,1
W2060780000,96,MODERN MEDICAL AND SURGICAL TREATMENT OF PEPTIC ULCER,1948-02-21,FALSE,12,journal-article,18902766,1,A5089368872,Russell S. Boles,,,,1
W2078174911,0,PROBLEMS IN THE EPIDEMIOLOGY OF POLIOMYELITIS,1948-02-01,FALSE,12,journal-article,18902841,1,A5091246667,Dorothy M. Horstmann,,,,1
W2038292282,107,SURGICAL TREATMENT OF INTRACTABLE UNILATERAL CEPHALALGIA,1948-02-21,FALSE,11,journal-article,18902768,1,A5032416433,Walter G. Haynes,,,,1
W4244646715,0,ECTOPIC PREGNANCY,1948-02-07,FALSE,11,journal-article,18902754,1,A5025503462,Woodard D. Beacham,,,,1
W2049664220,0,Aseptic Necrosis of Pancreas,1948-03-06,FALSE,10,journal-article,18902662,1,A5027704087,Walter Pagel,,,,1
W2049664220,0,Aseptic Necrosis of Pancreas,1948-03-06,FALSE,10,journal-article,18902662,2,A5025678861,Alan Woolf,,,,1
W1987137893,92,PALLIATIVE TREATMENT OF THE PATIENT WITH ADVANCED CANCER,1948-02-07,FALSE,9,journal-article,18902759,1,A5040351159,Ernest M. Daland,,,,1
W1560580036,913,RENAL DISEASES: SOME FACTS AND PROBLEMS,1948-02-01,FALSE,8,journal-article,18902630,1,A5060151411,Louis Leiter,,,,1
W4213247368,0,Chondromalacia Patellae,1948-03-06,FALSE,8,journal-article,18902658,1,A5057336378,C. Gray,,,,1
W2006217212,0,Role of Sympathetic Nerve in Cancerous Pain,1948-03-06,FALSE,7,journal-article,18902661,1,A5031812307,M Dargent,,,,1
W2036208116,100,MEDIASTINITIS DUE TO INGESTION OF GLASS,1948-02-21,FALSE,7,journal-article,18902771,1,A5039431612,John D. Steele,,,,1
W2073713041,105,SURGICAL TREATMENT OF CANCER OF THE RECTUM AND RECTOSIGMOID,1948-02-07,FALSE,6,journal-article,18902755,1,A5056822781,Fred W. Rankin,,,,1
W2077679254,107,HEPARINEMIA IN BLOOD DYSCRASIAS,1948-02-21,FALSE,5,journal-article,18902772,1,A5056235553,Robert Barnard,,,,1
W2038991530,150,Hypertension--Aetiology and Surgical Treatment,1948-03-06,FALSE,4,journal-article,18902660,1,A5074132351,Geoffrey Bourne,,,,1
W2054054596,101,ESTIMATION OF PROTHROMBIN TIME,1948-02-07,FALSE,4,journal-article,18902762,1,A5030405100,Shepard Shapiro,,,,1
W2054054596,101,ESTIMATION OF PROTHROMBIN TIME,1948-02-07,FALSE,4,journal-article,18902762,2,A5052584803,Murray Weiner,,,,1
W2070724369,0,Three Cases of Synovioma,1948-03-06,FALSE,4,journal-article,18902664,1,A5073454910,Victor Harris,,,,1
W2093935635,0,DIPHTHERITIC POLYNEURITIS IN THE FAR EAST,1948-02-01,FALSE,4,journal-article,18902842,1,A5030063236,A.D. Leigh,,,,1
W1989769447,97,NUTRITION AND ENDOCRINOLOGY,1948-02-21,FALSE,3,journal-article,18902769,1,A5083618729,Francisco de P. Miranda,,,,1
W2031737111,0,Intrauterine Rupture of Cord,1948-03-06,FALSE,3,journal-article,18902666,1,A5054995249,G. Bancroft-Livingston,,,,1
W2434640727,0,Balantidial Dysentery,1948-03-06,FALSE,3,journal-article,18902665,1,A5020548768,Miller Aa,,,,1
W2434640727,0,Balantidial Dysentery,1948-03-06,FALSE,3,journal-article,18902665,2,A5078347258,Peck Cr,,,,1
W4212848056,0,Dicoumarol,1948-03-06,FALSE,2,journal-article,18902670,1,A5053536587,Gordon T. James,,,,1
W1971533039,0,CRUSH SYNDROME AND TRAUMATIC URÆMIA,1948-02-01,FALSE,1,journal-article,18902845,1,A5026808163,J. Hicks,,,,1
W1977532116,0,Louse-borne Relapsing Fever in Persia,1948-03-06,FALSE,1,journal-article,18902668,1,A5058319349,Philip H. Willcox,,,,1
W4234081094,0,THE PRESENT STATUS OF FOLIC ACID IN THE THERAPY OF MACROCYTIC ANEMIA,1948-02-01,FALSE,1,journal-article,18902639,1,A5018349489,M. S. S.,,,,1
W2045308976,0,TUBERCULOUS CYSTITIS TRANSPLANTATION OF REMAINING URETER,1948-02-01,FALSE,0,journal-article,18902843,1,A5008815209,F. C. Pybus,"Royal Victoria Infirmary Newcastle upon Tyne, United Kingdom",Royal Victoria Infirmary,I2800516725,1
W2045308976,0,TUBERCULOUS CYSTITIS TRANSPLANTATION OF REMAINING URETER,1948-02-01,FALSE,0,journal-article,18902843,2,A5050219884,J. D. T. Jones,"Royal Victoria Infirmary Newcastle upon Tyne, United Kingdom",Royal Victoria Infirmary,I2800516725,1
W4213273160,0,Pyopericardium,1948-03-06,FALSE,0,journal-article,18902667,1,A5086737921,Alec Wingfield,,,,1
W4236915319,0,Injection Errors,1948-03-06,FALSE,0,journal-article,18902669,1,A5052103893,W. T. Westwood,,,,1
W1987869142,0,Recognition of Toxicogenic Bacterial Strains in Vitro,1948-03-13,FALSE,102,journal-article,18904096,1,A5039172586,S. D. Elek,,,,1
W1985959565,103,A SYRINGE-TRANSMITTED EPIDEMIC OF INFECTIOUS HEPATITIS,1948-03-20,FALSE,47,journal-article,18904200,1,A5028486876,Richard B. Capps,,,,1
W1996223865,0,THE CONNEXIONS OF THE FRONTAL LOBES OF THE BRAIN,1948-03-01,FALSE,47,journal-article,18904273,1,A5003008716,W. E. Le Gros Clark,,,,1
W2086074801,101,CONGENITAL ABSENCE OF THE VAGINA,1948-03-27,FALSE,42,journal-article,18904206,1,A5019221947,Virgil S. Counseller,,,,1
W2033336895,78,Capillary Fragility and Diabetic Retinitis,1948-03-18,FALSE,36,journal-article,18902950,1,A5058490414,R. López Rodríguez,"Formerly, Eli Lilly Fellow, George F. Baker Clinic, New England Deaconess Hospital.",Eli Lilly (United States),I168537998,1
