pmid,query_name
18167358,basic_2007
18167356,basic_2007
18167355,basic_2007
18167353,basic_2007
18167352,basic_2007
18167349,basic_2007
18167348,basic_2007
18167347,basic_2007
18167345,basic_2007
18167344,basic_2007
18167343,basic_2007
18167342,basic_2007
18166528,basic_2007
18165705,basic_2007
18165688,basic_2007
18165687,basic_2007
18165685,basic_2007
18165684,basic_2007
18165683,basic_2007
18165681,basic_2007
18165356,basic_2007
18165241,basic_2007
18165240,basic_2007
18165239,basic_2007
18165238,basic_2007
18165237,basic_2007
18165236,basic_2007
18165234,basic_2007
18165233,basic_2007
18165232,basic_2007
18165231,basic_2007
18165230,basic_2007
18165229,basic_2007
18165228,basic_2007
18165227,basic_2007
18165225,basic_2007
18165224,basic_2007
18165223,basic_2007
18165222,basic_2007
18162489,basic_2007
18162488,basic_2007
18162487,basic_2007
18162472,basic_2007
18162470,basic_2007
18162469,basic_2007
18162468,basic_2007
18162467,basic_2007
18162466,basic_2007
18162465,basic_2007
18162464,basic_2007
18162462,basic_2007
18160406,basic_2007
18160405,basic_2007
18160404,basic_2007
18160403,basic_2007
18160400,basic_2007
18160399,basic_2007
18160398,basic_2007
18160397,basic_2007
18160394,basic_2007
18158287,basic_2007
18158286,basic_2007
18156657,basic_2007
18156631,basic_2007
18156630,basic_2007
18156629,basic_2007
18156628,basic_2007
18156183,basic_2007
18156182,basic_2007
18156181,basic_2007
18156180,basic_2007
18156179,basic_2007
18156178,basic_2007
18156177,basic_2007
18156176,basic_2007
18156175,basic_2007
18156174,basic_2007
18156173,basic_2007
18096816,basic_2007
18096815,basic_2007
18096814,basic_2007
18096813,basic_2007
18096706,basic_2007
18096705,basic_2007
18096703,basic_2007
18096702,basic_2007
18096701,basic_2007
18096700,basic_2007
18096699,basic_2007
18096698,basic_2007
18096697,basic_2007
18093984,basic_2007
18093983,basic_2007
18093982,basic_2007
18093981,basic_2007
18093979,basic_2007
18093978,basic_2007
18093977,basic_2007
18093976,basic_2007
18093975,basic_2007
18093974,basic_2007
18093973,basic_2007
18093972,basic_2007
18093971,basic_2007
18093970,basic_2007
