pmid,query_name
2689449,fundamental_1989
2689448,fundamental_1989
2689447,fundamental_1989
2689446,fundamental_1989
2689445,fundamental_1989
2689444,fundamental_1989
2689443,fundamental_1989
2689442,fundamental_1989
2689441,fundamental_1989
2689440,fundamental_1989
2689439,fundamental_1989
2600093,fundamental_1989
2600092,fundamental_1989
2600091,fundamental_1989
2600090,fundamental_1989
2600089,fundamental_1989
2600088,fundamental_1989
2600087,fundamental_1989
2600086,fundamental_1989
2600085,fundamental_1989
2600084,fundamental_1989
2600083,fundamental_1989
2600082,fundamental_1989
2600081,fundamental_1989
2600080,fundamental_1989
2600079,fundamental_1989
2600078,fundamental_1989
2600077,fundamental_1989
2600076,fundamental_1989
2574722,fundamental_1989
2574721,fundamental_1989
2557347,fundamental_1989
2557345,fundamental_1989
2557344,fundamental_1989
2557343,fundamental_1989
2557342,fundamental_1989
2557341,fundamental_1989
2557340,fundamental_1989
2557339,fundamental_1989
2557338,fundamental_1989
2557337,fundamental_1989
2557336,fundamental_1989
2557335,fundamental_1989
2557334,fundamental_1989
2557333,fundamental_1989
2557332,fundamental_1989
2557331,fundamental_1989
2557330,fundamental_1989
2557329,fundamental_1989
2557328,fundamental_1989
2557327,fundamental_1989
2557326,fundamental_1989
2532214,fundamental_1989
2532213,fundamental_1989
2532212,fundamental_1989
2532210,fundamental_1989
2532209,fundamental_1989
2513327,fundamental_1989
2513326,fundamental_1989
2513325,fundamental_1989
2513324,fundamental_1989
2513323,fundamental_1989
2513322,fundamental_1989
2513321,fundamental_1989
2513320,fundamental_1989
2513319,fundamental_1989
2513318,fundamental_1989
2513317,fundamental_1989
2480960,fundamental_1989
2480959,fundamental_1989
2480958,fundamental_1989
2480957,fundamental_1989
2480956,fundamental_1989
2480955,fundamental_1989
2480954,fundamental_1989
2480953,fundamental_1989
2480952,fundamental_1989
2687280,fundamental_1989
2687279,fundamental_1989
2687278,fundamental_1989
2687277,fundamental_1989
2687276,fundamental_1989
2687275,fundamental_1989
2687274,fundamental_1989
2687273,fundamental_1989
2687272,fundamental_1989
2687271,fundamental_1989
2687270,fundamental_1989
2687269,fundamental_1989
2687268,fundamental_1989
2687267,fundamental_1989
2687266,fundamental_1989
2687265,fundamental_1989
2687263,fundamental_1989
2592384,fundamental_1989
2592383,fundamental_1989
2592382,fundamental_1989
2592381,fundamental_1989
2592380,fundamental_1989
2592378,fundamental_1989
2592377,fundamental_1989
2592376,fundamental_1989
2592375,fundamental_1989
2592374,fundamental_1989
2592373,fundamental_1989
2592372,fundamental_1989
2592371,fundamental_1989
2592370,fundamental_1989
2592369,fundamental_1989
2592368,fundamental_1989
2592367,fundamental_1989
2592366,fundamental_1989
2592364,fundamental_1989
2592363,fundamental_1989
2592362,fundamental_1989
2592361,fundamental_1989
2592358,fundamental_1989
2592357,fundamental_1989
2592356,fundamental_1989
2592355,fundamental_1989
2592354,fundamental_1989
2574176,fundamental_1989
2574175,fundamental_1989
2556401,fundamental_1989
2556400,fundamental_1989
2556399,fundamental_1989
2556398,fundamental_1989
2556397,fundamental_1989
2556396,fundamental_1989
2556395,fundamental_1989
2556394,fundamental_1989
2556393,fundamental_1989
2556392,fundamental_1989
2556391,fundamental_1989
2556390,fundamental_1989
2556389,fundamental_1989
2556388,fundamental_1989
2556387,fundamental_1989
2556386,fundamental_1989
2556385,fundamental_1989
2556384,fundamental_1989
2556383,fundamental_1989
2556382,fundamental_1989
2556381,fundamental_1989
2531747,fundamental_1989
2531746,fundamental_1989
2531745,fundamental_1989
2531744,fundamental_1989
2531743,fundamental_1989
2531742,fundamental_1989
2512294,fundamental_1989
2512293,fundamental_1989
2512291,fundamental_1989
2512290,fundamental_1989
2512289,fundamental_1989
2512288,fundamental_1989
2512287,fundamental_1989
