pmid,query_name
12496287,therapeutics_2002
12460990,therapeutics_2002
12424247,therapeutics_2002
12421806,therapeutics_2002
12145282,therapeutics_2002
12110672,therapeutics_2002
12101183,therapeutics_2002
12082613,therapeutics_2002
12072427,therapeutics_2002
12045201,therapeutics_2002
12021269,therapeutics_2002
12006582,therapeutics_2002
11991956,therapeutics_2002
11937498,therapeutics_2002
11923220,therapeutics_2002
11867642,therapeutics_2002
11867618,therapeutics_2002
11864987,therapeutics_2002
11840340,therapeutics_2002
11748233,therapeutics_2002
11744711,therapeutics_2002
11707435,therapeutics_2002
