pmid,query_name
23195035,therapeutics_2012
23193174,therapeutics_2012
22964302,therapeutics_2012
22893704,therapeutics_2012
22890322,therapeutics_2012
22872642,therapeutics_2012
22810224,therapeutics_2012
22778258,therapeutics_2012
22767608,therapeutics_2012
22740696,therapeutics_2012
22692206,therapeutics_2012
22648414,therapeutics_2012
22584577,therapeutics_2012
22577137,therapeutics_2012
22563099,therapeutics_2012
22371498,therapeutics_2012
22253475,therapeutics_2012
22223750,therapeutics_2012
22134924,therapeutics_2012
22128151,therapeutics_2012
