pmid,query_name
10030676,translational_1998
10030675,translational_1998
10030674,translational_1998
10030673,translational_1998
10030668,translational_1998
9916996,translational_1998
9916992,translational_1998
9916987,translational_1998
9881709,translational_1998
9881708,translational_1998
9881707,translational_1998
9881706,translational_1998
9881705,translational_1998
9881704,translational_1998
9879998,translational_1998
9879997,translational_1998
9879996,translational_1998
9879995,translational_1998
9879994,translational_1998
9879993,translational_1998
9879992,translational_1998
9879990,translational_1998
9872335,translational_1998
9872332,translational_1998
9872329,translational_1998
9872324,translational_1998
9857065,translational_1998
9857064,translational_1998
9857056,translational_1998
9856986,translational_1998
9856984,translational_1998
9852109,translational_1998
9852107,translational_1998
9852074,translational_1998
9852073,translational_1998
9852066,translational_1998
9852054,translational_1998
9852051,translational_1998
9840944,translational_1998
9840943,translational_1998
9840942,translational_1998
9840941,translational_1998
9840936,translational_1998
9840931,translational_1998
9840930,translational_1998
9840929,translational_1998
9840923,translational_1998
9840921,translational_1998
9837954,translational_1998
9837921,translational_1998
9837898,translational_1998
9837892,translational_1998
9837868,translational_1998
9837867,translational_1998
9837865,translational_1998
9837864,translational_1998
9837861,translational_1998
9837860,translational_1998
9837856,translational_1998
9837854,translational_1998
9837852,translational_1998
9837850,translational_1998
9830058,translational_1998
9830038,translational_1998
9830001,translational_1998
9829981,translational_1998
9829974,translational_1998
9824160,translational_1998
9824156,translational_1998
9824152,translational_1998
9822662,translational_1998
9822642,translational_1998
9822639,translational_1998
9822635,translational_1998
9813061,translational_1998
9813060,translational_1998
9813047,translational_1998
9813040,translational_1998
9813039,translational_1998
9813032,translational_1998
9813003,translational_1998
9811473,translational_1998
9811472,translational_1998
9811468,translational_1998
9811465,translational_1998
9811463,translational_1998
9811462,translational_1998
9811455,translational_1998
9811454,translational_1998
9811451,translational_1998
9811450,translational_1998
9806765,translational_1998
9806764,translational_1998
9806758,translational_1998
9806756,translational_1998
9804860,translational_1998
9804832,translational_1998
9804809,translational_1998
9804777,translational_1998
9804773,translational_1998
9804764,translational_1998
9798684,translational_1998
9798682,translational_1998
9798681,translational_1998
9798680,translational_1998
9798678,translational_1998
9798677,translational_1998
9798673,translational_1998
9796706,translational_1998
9796705,translational_1998
9796703,translational_1998
9796701,translational_1998
9796700,translational_1998
9796699,translational_1998
9796697,translational_1998
9796696,translational_1998
9796695,translational_1998
9794240,translational_1998
9794238,translational_1998
9794237,translational_1998
9794233,translational_1998
9794232,translational_1998
9792722,translational_1998
9792685,translational_1998
9792671,translational_1998
9792666,translational_1998
9792655,translational_1998
9792624,translational_1998
9788446,translational_1998
9788445,translational_1998
9788444,translational_1998
9788443,translational_1998
9788442,translational_1998
9788441,translational_1998
9788440,translational_1998
9788438,translational_1998
9788437,translational_1998
9788436,translational_1998
9788435,translational_1998
9786935,translational_1998
9786931,translational_1998
9786926,translational_1998
9786924,translational_1998
9786916,translational_1998
9786905,translational_1998
9786852,translational_1998
9780009,translational_1998
9780007,translational_1998
9780006,translational_1998
9779998,translational_1998
9779997,translational_1998
9779996,translational_1998
9779988,translational_1998
9778050,translational_1998
9778041,translational_1998
9774476,translational_1998
9774464,translational_1998
9774447,translational_1998
9774445,translational_1998
9774442,translational_1998
9774423,translational_1998
9774422,translational_1998
9774399,translational_1998
9774396,translational_1998
9771969,translational_1998
9771967,translational_1998
9765305,translational_1998
9765281,translational_1998
9765240,translational_1998
9765235,translational_1998
9765232,translational_1998
9765216,translational_1998
9764830,translational_1998
9764829,translational_1998
9764827,translational_1998
9764824,translational_1998
9764823,translational_1998
9764822,translational_1998
9764816,translational_1998
9761778,translational_1998
9761773,translational_1998
9761770,translational_1998
9756950,translational_1998
9756922,translational_1998
9756907,translational_1998
9756885,translational_1998
9756870,translational_1998
9756856,translational_1998
9748301,translational_1998
9748288,translational_1998
9748215,translational_1998
9747885,translational_1998
9747881,translational_1998
9747879,translational_1998
9747878,translational_1998
9747876,translational_1998
9737997,translational_1998
9737994,translational_1998
9737727,translational_1998
9737725,translational_1998
9737719,translational_1998
9737717,translational_1998
9737715,translational_1998
9737712,translational_1998
9737710,translational_1998
9733794,translational_1998
9733756,translational_1998
9733752,translational_1998
9727035,translational_1998
9727021,translational_1998
9727013,translational_1998
9727007,translational_1998
9727001,translational_1998
9722583,translational_1998
9722577,translational_1998
9722530,translational_1998
9722528,translational_1998
9715282,translational_1998
9715281,translational_1998
9715278,translational_1998
9715275,translational_1998
9715274,translational_1998
9715273,translational_1998
9715272,translational_1998
9715271,translational_1998
9715268,translational_1998
9712917,translational_1998
9712916,translational_1998
9712872,translational_1998
9712868,translational_1998
9707176,translational_1998
9707170,translational_1998
9707164,translational_1998
9707163,translational_1998
9705354,translational_1998
9705335,translational_1998
9705287,translational_1998
9705268,translational_1998
9704934,translational_1998
9704932,translational_1998
9704931,translational_1998
9704922,translational_1998
9704919,translational_1998
