pmid,query_name
34969973,basic_2021
34969972,basic_2021
34969970,basic_2021
34961794,basic_2021
34949839,basic_2021
34949838,basic_2021
34949837,basic_2021
34949836,basic_2021
34949835,basic_2021
34949778,basic_2021
34937913,basic_2021
34937911,basic_2021
34937909,basic_2021
34937907,basic_2021
34937906,basic_2021
34934192,basic_2021
34934187,basic_2021
34934185,basic_2021
34931066,basic_2021
34931065,basic_2021
34931064,basic_2021
34931062,basic_2021
34916620,basic_2021
34916619,basic_2021
34903892,basic_2021
34903851,basic_2021
34893776,basic_2021
34893774,basic_2021
34887587,basic_2021
34887578,basic_2021
34887556,basic_2021
34887515,basic_2021
34876691,basic_2021
34876690,basic_2021
34876689,basic_2021
34876688,basic_2021
34876687,basic_2021
34876686,basic_2021
34876684,basic_2021
34873327,basic_2021
34873326,basic_2021
34873284,basic_2021
34873283,basic_2021
34873282,basic_2021
34857955,basic_2021
34857954,basic_2021
34857927,basic_2021
34845373,basic_2021
34837083,basic_2021
34811516,basic_2021
34811483,basic_2021
34799735,basic_2021
34799733,basic_2021
34795447,basic_2021
34795433,basic_2021
34782763,basic_2021
34782742,basic_2021
34782740,basic_2021
34782739,basic_2021
34773124,basic_2021
34764491,basic_2021
34764473,basic_2021
34754101,basic_2021
34750583,basic_2021
34750582,basic_2021
34750581,basic_2021
34750580,basic_2021
34750579,basic_2021
34750578,basic_2021
34750577,basic_2021
34750576,basic_2021
34750575,basic_2021
34750574,basic_2021
34741161,basic_2021
34737444,basic_2021
34737443,basic_2021
34737442,basic_2021
34737441,basic_2021
34737428,basic_2021
34737426,basic_2021
34725511,basic_2021
34725510,basic_2021
34725509,basic_2021
34725503,basic_2021
34711989,basic_2021
34711982,basic_2021
34711981,basic_2021
34711980,basic_2021
34675423,basic_2021
34675421,basic_2021
34675420,basic_2021
34675414,basic_2021
34675413,basic_2021
34663942,basic_2021
34663920,basic_2021
34650270,basic_2021
34650269,basic_2021
34650268,basic_2021
34650237,basic_2021
34642488,basic_2021
34635852,basic_2021
34635842,basic_2021
34635838,basic_2021
34635836,basic_2021
34616026,basic_2021
34616025,basic_2021
34616022,basic_2021
34611363,basic_2021
34611362,basic_2021
34608331,basic_2021
34608328,basic_2021
34608327,basic_2021
34608326,basic_2021
34608325,basic_2021
34608295,basic_2021
34608294,basic_2021
34608293,basic_2021
34594041,basic_2021
34556863,basic_2021
34556862,basic_2021
34556861,basic_2021
34556860,basic_2021
34556859,basic_2021
34556858,basic_2021
34552221,basic_2021
34552220,basic_2021
34552219,basic_2021
34518685,basic_2021
34518677,basic_2021
34504322,basic_2021
34497368,basic_2021
34493869,basic_2021
34493868,basic_2021
34493866,basic_2021
34489600,basic_2021
34489574,basic_2021
34489573,basic_2021
34489571,basic_2021
34489570,basic_2021
34475573,basic_2021
34475565,basic_2021
34475564,basic_2021
34475560,basic_2021
34475536,basic_2021
34475535,basic_2021
34475534,basic_2021
34475533,basic_2021
34462605,basic_2021
34462590,basic_2021
34462589,basic_2021
34462588,basic_2021
34462587,basic_2021
34426704,basic_2021
34426703,basic_2021
34413526,basic_2021
34413525,basic_2021
34385691,basic_2021
34385683,basic_2021
34376839,basic_2021
34373642,basic_2021
34363044,basic_2021
34354237,basic_2021
34354236,basic_2021
34354235,basic_2021
34354234,basic_2021
34354233,basic_2021
34345051,basic_2021
34341589,basic_2021
34341588,basic_2021
34341587,basic_2021
34341563,basic_2021
34341557,basic_2021
34341532,basic_2021
34341530,basic_2021
34326551,basic_2021
34326550,basic_2021
34326549,basic_2021
34326548,basic_2021
34326547,basic_2021
34326546,basic_2021
34326544,basic_2021
34326538,basic_2021
34326481,basic_2021
34312563,basic_2021
34312558,basic_2021
34312500,basic_2021
34294917,basic_2021
34294912,basic_2021
34294911,basic_2021
34294896,basic_2021
34282338,basic_2021
34282337,basic_2021
34267373,basic_2021
34267370,basic_2021
34262158,basic_2021
34257406,basic_2021
34253920,basic_2021
34253910,basic_2021
34253909,basic_2021
34253898,basic_2021
34253897,basic_2021
34253896,basic_2021
34253895,basic_2021
34244698,basic_2021
34239137,basic_2021
34239127,basic_2021
34239126,basic_2021
34239088,basic_2021
34239087,basic_2021
34239064,basic_2021
34239063,basic_2021
34239060,basic_2021
34226710,basic_2021
34226706,basic_2021
34211177,basic_2021
34211163,basic_2021
34211162,basic_2021
34183861,basic_2021
34183853,basic_2021
34183801,basic_2021
34172967,basic_2021
34168368,basic_2021
34168367,basic_2021
34168346,basic_2021
34168324,basic_2021
34155407,basic_2021
34155404,basic_2021
34155403,basic_2021
34155402,basic_2021
34155382,basic_2021
34155381,basic_2021
34155380,basic_2021
34140705,basic_2021
34140685,basic_2021
34140682,basic_2021
34140681,basic_2021
34140680,basic_2021
34108663,basic_2021
34108661,basic_2021
34108660,basic_2021
34108658,basic_2021
34108655,basic_2021
34103722,basic_2021
34099928,basic_2021
34099916,basic_2021
34083810,basic_2021
34083791,basic_2021
34083790,basic_2021
34083789,basic_2021
34083788,basic_2021
34083785,basic_2021
34059833,basic_2021
34059812,basic_2021
34045746,basic_2021
34045745,basic_2021
34040165,basic_2021
34035522,basic_2021
34035521,basic_2021
34035520,basic_2021
34035515,basic_2021
34035514,basic_2021
34035513,basic_2021
34031606,basic_2021
34031584,basic_2021
34017136,basic_2021
34012094,basic_2021
34002098,basic_2021
34002095,basic_2021
34002094,basic_2021
33990804,basic_2021
33986546,basic_2021
33986538,basic_2021
33986537,basic_2021
33972799,basic_2021
33972797,basic_2021
33972792,basic_2021
33972734,basic_2021
33972733,basic_2021
33972729,basic_2021
33972728,basic_2021
33958793,basic_2021
33958792,basic_2021
33958791,basic_2021
33958785,basic_2021
33958782,basic_2021
33958781,basic_2021
33958780,basic_2021
33958758,basic_2021
33958757,basic_2021
33948001,basic_2021
33941934,basic_2021
33941928,basic_2021
33941924,basic_2021
33941893,basic_2021
33941892,basic_2021
33927418,basic_2021
33927416,basic_2021
33927415,basic_2021
33927410,basic_2021
33927399,basic_2021
33927398,basic_2021
33927397,basic_2021
33903769,basic_2021
33903736,basic_2021
33888910,basic_2021
33888909,basic_2021
33888908,basic_2021
33875866,basic_2021
33875864,basic_2021
33859417,basic_2021
33859416,basic_2021
33859415,basic_2021
33859413,basic_2021
33859403,basic_2021
33859402,basic_2021
33859401,basic_2021
