pmid,query_name
12496961,diseases_2002
12496959,diseases_2002
12496958,diseases_2002
12496764,diseases_2002
12496759,diseases_2002
12496757,diseases_2002
12483212,diseases_2002
12483207,diseases_2002
12483205,diseases_2002
12479614,diseases_2002
12479613,diseases_2002
12469123,diseases_2002
12469122,diseases_2002
12469121,diseases_2002
12469120,diseases_2002
12461526,diseases_2002
12461524,diseases_2002
12457181,diseases_2002
12457166,diseases_2002
12454650,diseases_2002
12447373,diseases_2002
12447372,diseases_2002
12447357,diseases_2002
12436116,diseases_2002
12434154,diseases_2002
12426577,diseases_2002
12426569,diseases_2002
12426567,diseases_2002
12426566,diseases_2002
12426562,diseases_2002
12426559,diseases_2002
12415288,diseases_2002
12415272,diseases_2002
12415269,diseases_2002
12415268,diseases_2002
12415261,diseases_2002
12411953,diseases_2002
12411952,diseases_2002
12411951,diseases_2002
12411950,diseases_2002
12411949,diseases_2002
12411948,diseases_2002
12411947,diseases_2002
12410230,diseases_2002
12402038,diseases_2002
12389035,diseases_2002
12389029,diseases_2002
12389028,diseases_2002
12379869,diseases_2002
12379868,diseases_2002
12379867,diseases_2002
12379854,diseases_2002
12379849,diseases_2002
12379847,diseases_2002
12368914,diseases_2002
12368912,diseases_2002
12368906,diseases_2002
12368904,diseases_2002
12360295,diseases_2002
12360291,diseases_2002
12360287,diseases_2002
12357247,diseases_2002
12355109,diseases_2002
12355088,diseases_2002
12355086,diseases_2002
12355085,diseases_2002
12355084,diseases_2002
12355068,diseases_2002
12244321,diseases_2002
12244320,diseases_2002
12244319,diseases_2002
12244316,diseases_2002
12244306,diseases_2002
12244305,diseases_2002
12244304,diseases_2002
12244303,diseases_2002
12219091,diseases_2002
12219090,diseases_2002
12219086,diseases_2002
12219084,diseases_2002
12205508,diseases_2002
12205477,diseases_2002
12205444,diseases_2002
12198499,diseases_2002
12195436,diseases_2002
12195425,diseases_2002
12195424,diseases_2002
12195423,diseases_2002
12185367,diseases_2002
12185366,diseases_2002
12185365,diseases_2002
12185364,diseases_2002
12185362,diseases_2002
12172548,diseases_2002
12172547,diseases_2002
12172542,diseases_2002
12172541,diseases_2002
12161751,diseases_2002
12161749,diseases_2002
12161747,diseases_2002
12149612,diseases_2002
12145647,diseases_2002
12145646,diseases_2002
12134161,diseases_2002
12134148,diseases_2002
12134147,diseases_2002
12134146,diseases_2002
12134144,diseases_2002
12134142,diseases_2002
12118255,diseases_2002
12118254,diseases_2002
12118252,diseases_2002
12118251,diseases_2002
12118250,diseases_2002
12118247,diseases_2002
12118246,diseases_2002
12118245,diseases_2002
12118244,diseases_2002
12105419,diseases_2002
12101409,diseases_2002
12101408,diseases_2002
12091911,diseases_2002
12091910,diseases_2002
12091909,diseases_2002
12091906,diseases_2002
12091904,diseases_2002
12091892,diseases_2002
12091884,diseases_2002
12091883,diseases_2002
12091879,diseases_2002
12091877,diseases_2002
12091876,diseases_2002
12089552,diseases_2002
12089545,diseases_2002
12089527,diseases_2002
12089525,diseases_2002
12080349,diseases_2002
12068298,diseases_2002
12068297,diseases_2002
12068296,diseases_2002
12068294,diseases_2002
12068290,diseases_2002
12068289,diseases_2002
12068288,diseases_2002
12068287,diseases_2002
12053177,diseases_2002
12053176,diseases_2002
12053175,diseases_2002
12053174,diseases_2002
12042815,diseases_2002
12042814,diseases_2002
12042811,diseases_2002
12042809,diseases_2002
12042807,diseases_2002
12042802,diseases_2002
12042794,diseases_2002
12032570,diseases_2002
12032568,diseases_2002
12021785,diseases_2002
12021784,diseases_2002
12006977,diseases_2002
11992124,diseases_2002
11992121,diseases_2002
11988758,diseases_2002
11984600,diseases_2002
11984599,diseases_2002
11984598,diseases_2002
11984596,diseases_2002
11984595,diseases_2002
11984594,diseases_2002
11984593,diseases_2002
11984592,diseases_2002
11984590,diseases_2002
11984589,diseases_2002
11984562,diseases_2002
11967539,diseases_2002
11967537,diseases_2002
11967536,diseases_2002
11953745,diseases_2002
11941370,diseases_2002
11941369,diseases_2002
11927948,diseases_2002
11927947,diseases_2002
11927946,diseases_2002
11927945,diseases_2002
11927944,diseases_2002
11927943,diseases_2002
11927942,diseases_2002
11927941,diseases_2002
11927927,diseases_2002
11925569,diseases_2002
11925564,diseases_2002
11923875,diseases_2002
11923847,diseases_2002
11923846,diseases_2002
11919560,diseases_2002
11912494,diseases_2002
11896389,diseases_2002
11889467,diseases_2002
11889465,diseases_2002
11875502,diseases_2002
11875501,diseases_2002
11875497,diseases_2002
11875496,diseases_2002
11875495,diseases_2002
11875492,diseases_2002
11875482,diseases_2002
11875427,diseases_2002
11865300,diseases_2002
11850623,diseases_2002
11850620,diseases_2002
11850618,diseases_2002
11836498,diseases_2002
11821903,diseases_2002
11821901,diseases_2002
11821900,diseases_2002
11821899,diseases_2002
11821898,diseases_2002
11821897,diseases_2002
11821896,diseases_2002
11821866,diseases_2002
11821846,diseases_2002
11818965,diseases_2002
11818964,diseases_2002
11818963,diseases_2002
11813001,diseases_2002
