pmid,query_name
26691985,fundamental_2015
26689789,fundamental_2015
26689788,fundamental_2015
26689677,fundamental_2015
26689544,fundamental_2015
26689543,fundamental_2015
26657143,fundamental_2015
26657141,fundamental_2015
26656847,fundamental_2015
26656846,fundamental_2015
26656845,fundamental_2015
26656091,fundamental_2015
26656090,fundamental_2015
26655834,fundamental_2015
26655833,fundamental_2015
26655498,fundamental_2015
26655496,fundamental_2015
26655495,fundamental_2015
26646498,fundamental_2015
26646497,fundamental_2015
26646496,fundamental_2015
26646493,fundamental_2015
26642242,fundamental_2015
26642241,fundamental_2015
26641934,fundamental_2015
26641933,fundamental_2015
26641932,fundamental_2015
26641719,fundamental_2015
26641718,fundamental_2015
26641717,fundamental_2015
26641716,fundamental_2015
26641715,fundamental_2015
26641532,fundamental_2015
26620110,fundamental_2015
26619250,fundamental_2015
26619249,fundamental_2015
26619148,fundamental_2015
26619147,fundamental_2015
26619012,fundamental_2015
26612574,fundamental_2015
26612573,fundamental_2015
26595768,fundamental_2015
26595462,fundamental_2015
26595461,fundamental_2015
26595382,fundamental_2015
26595381,fundamental_2015
26575240,fundamental_2015
26575239,fundamental_2015
26575238,fundamental_2015
26575237,fundamental_2015
26575236,fundamental_2015
26575227,fundamental_2015
26575226,fundamental_2015
26575225,fundamental_2015
26571351,fundamental_2015
26571212,fundamental_2015
26571211,fundamental_2015
26571101,fundamental_2015
26569381,fundamental_2015
26569125,fundamental_2015
26569124,fundamental_2015
26569123,fundamental_2015
26565989,fundamental_2015
26551396,fundamental_2015
26551395,fundamental_2015
26551274,fundamental_2015
26551273,fundamental_2015
26544145,fundamental_2015
26544144,fundamental_2015
26544143,fundamental_2015
26544141,fundamental_2015
26540383,fundamental_2015
26523777,fundamental_2015
26523774,fundamental_2015
26523365,fundamental_2015
26523364,fundamental_2015
26515017,fundamental_2015
26506900,fundamental_2015
26502339,fundamental_2015
26502156,fundamental_2015
26502057,fundamental_2015
26502056,fundamental_2015
26502055,fundamental_2015
26502054,fundamental_2015
26501955,fundamental_2015
26501954,fundamental_2015
26501952,fundamental_2015
26501951,fundamental_2015
26485070,fundamental_2015
26485069,fundamental_2015
26479442,fundamental_2015
26479441,fundamental_2015
26479439,fundamental_2015
26479320,fundamental_2015
26479319,fundamental_2015
26479317,fundamental_2015
26479191,fundamental_2015
26473199,fundamental_2015
26458247,fundamental_2015
26458246,fundamental_2015
26458245,fundamental_2015
26458176,fundamental_2015
26458175,fundamental_2015
26457757,fundamental_2015
26457372,fundamental_2015
26448090,fundamental_2015
26448087,fundamental_2015
26448084,fundamental_2015
26444636,fundamental_2015
26444635,fundamental_2015
26437366,fundamental_2015
26437365,fundamental_2015
26436840,fundamental_2015
26436690,fundamental_2015
26436575,fundamental_2015
26414446,fundamental_2015
26414444,fundamental_2015
26414404,fundamental_2015
26414403,fundamental_2015
26414402,fundamental_2015
26414351,fundamental_2015
26414350,fundamental_2015
26390241,fundamental_2015
26390058,fundamental_2015
26390057,fundamental_2015
26389737,fundamental_2015
26389736,fundamental_2015
26389665,fundamental_2015
26389664,fundamental_2015
26389663,fundamental_2015
26389662,fundamental_2015
26389575,fundamental_2015
26379024,fundamental_2015
26379023,fundamental_2015
26379022,fundamental_2015
26379021,fundamental_2015
26379012,fundamental_2015
26368590,fundamental_2015
26368311,fundamental_2015
26368050,fundamental_2015
26368049,fundamental_2015
26368048,fundamental_2015
26366711,fundamental_2015
26366554,fundamental_2015
26366553,fundamental_2015
26366552,fundamental_2015
26352647,fundamental_2015
26349902,fundamental_2015
26348962,fundamental_2015
26348961,fundamental_2015
26348954,fundamental_2015
26348953,fundamental_2015
26348949,fundamental_2015
26348945,fundamental_2015
26348940,fundamental_2015
26344696,fundamental_2015
26344695,fundamental_2015
26344567,fundamental_2015
26344566,fundamental_2015
26344404,fundamental_2015
26340118,fundamental_2015
26340117,fundamental_2015
26323060,fundamental_2015
26323059,fundamental_2015
26323058,fundamental_2015
26322826,fundamental_2015
26322825,fundamental_2015
26322680,fundamental_2015
26322679,fundamental_2015
26322678,fundamental_2015
26316455,fundamental_2015
26316454,fundamental_2015
26316453,fundamental_2015
26302480,fundamental_2015
26302479,fundamental_2015
26302408,fundamental_2015
26302406,fundamental_2015
26301691,fundamental_2015
26301690,fundamental_2015
26301496,fundamental_2015
26284674,fundamental_2015
26284673,fundamental_2015
26284672,fundamental_2015
26284671,fundamental_2015
26284670,fundamental_2015
26284669,fundamental_2015
26284668,fundamental_2015
26284661,fundamental_2015
26284660,fundamental_2015
26284659,fundamental_2015
26280901,fundamental_2015
26280656,fundamental_2015
26280538,fundamental_2015
26280537,fundamental_2015
26280535,fundamental_2015
26280413,fundamental_2015
26280412,fundamental_2015
26280122,fundamental_2015
26280121,fundamental_2015
26280120,fundamental_2015
