pmid,query_name
23292651,translational_2012
23263626,translational_2012
23263491,translational_2012
23263488,translational_2012
23263487,translational_2012
23263486,translational_2012
23263278,translational_2012
23242473,translational_2012
23242368,translational_2012
23242215,translational_2012
23223005,translational_2012
23222960,translational_2012
23222959,translational_2012
23222958,translational_2012
23222957,translational_2012
23222956,translational_2012
23202296,translational_2012
23202295,translational_2012
23202293,translational_2012
23202128,translational_2012
23202126,translational_2012
23196843,translational_2012
23178882,translational_2012
23178247,translational_2012
23178246,translational_2012
23160239,translational_2012
23160237,translational_2012
23159879,translational_2012
23143602,translational_2012
23143600,translational_2012
23143599,translational_2012
23143598,translational_2012
23143597,translational_2012
23143595,translational_2012
23143594,translational_2012
23142821,translational_2012
23142820,translational_2012
23142819,translational_2012
23142818,translational_2012
23135524,translational_2012
23135516,translational_2012
23135515,translational_2012
23135512,translational_2012
23135510,translational_2012
23135507,translational_2012
23131919,translational_2012
23104131,translational_2012
23104063,translational_2012
23104009,translational_2012
23104007,translational_2012
23104005,translational_2012
23103940,translational_2012
23086478,translational_2012
23086477,translational_2012
23086397,translational_2012
23086396,translational_2012
23086238,translational_2012
23064464,translational_2012
23064463,translational_2012
23064416,translational_2012
23064415,translational_2012
23064414,translational_2012
23064264,translational_2012
23042350,translational_2012
23042349,translational_2012
23042236,translational_2012
23042116,translational_2012
23041974,translational_2012
23023499,translational_2012
23023498,translational_2012
23023332,translational_2012
23023331,translational_2012
23023330,translational_2012
23023262,translational_2012
23023260,translational_2012
23001183,translational_2012
23001182,translational_2012
23001124,translational_2012
23001123,translational_2012
22983397,translational_2012
22983396,translational_2012
22983302,translational_2012
22965061,translational_2012
22961109,translational_2012
22961108,translational_2012
22961107,translational_2012
22961002,translational_2012
22961001,translational_2012
22961000,translational_2012
22960999,translational_2012
22945257,translational_2012
22941276,translational_2012
22941191,translational_2012
22941190,translational_2012
22941189,translational_2012
22941188,translational_2012
22940906,translational_2012
22932498,translational_2012
22932496,translational_2012
22922874,translational_2012
22922872,translational_2012
22922871,translational_2012
22922757,translational_2012
22922713,translational_2012
22922411,translational_2012
22922410,translational_2012
22922409,translational_2012
22907081,translational_2012
22869198,translational_2012
22869183,translational_2012
22864477,translational_2012
22863787,translational_2012
22863786,translational_2012
22863735,translational_2012
22863733,translational_2012
22863732,translational_2012
22863731,translational_2012
22842477,translational_2012
22842476,translational_2012
22842475,translational_2012
22842232,translational_2012
22842231,translational_2012
22842230,translational_2012
22842229,translational_2012
22842228,translational_2012
22820645,translational_2012
22820644,translational_2012
22797811,translational_2012
22797810,translational_2012
22797809,translational_2012
22797726,translational_2012
22797725,translational_2012
22797665,translational_2012
22781696,translational_2012
22781695,translational_2012
22781692,translational_2012
22781680,translational_2012
22781679,translational_2012
22772566,translational_2012
22772564,translational_2012
22772556,translational_2012
22772555,translational_2012
22772554,translational_2012
22772464,translational_2012
22772371,translational_2012
22772370,translational_2012
22772369,translational_2012
22772368,translational_2012
22772081,translational_2012
22751100,translational_2012
22751098,translational_2012
22743709,translational_2012
22729286,translational_2012
22729224,translational_2012
22729223,translational_2012
22706386,translational_2012
22706385,translational_2012
22706200,translational_2012
22706160,translational_2012
22683780,translational_2012
22683779,translational_2012
22683713,translational_2012
22683711,translational_2012
22683710,translational_2012
22674006,translational_2012
22673998,translational_2012
22673996,translational_2012
22660635,translational_2012
22660634,translational_2012
22653117,translational_2012
22641210,translational_2012
22635005,translational_2012
22634756,translational_2012
22634755,translational_2012
22634754,translational_2012
22634753,translational_2012
22634751,translational_2012
22610280,translational_2012
22610277,translational_2012
22610119,translational_2012
22610116,translational_2012
22609986,translational_2012
22581287,translational_2012
22581230,translational_2012
22581229,translational_2012
22581054,translational_2012
22561837,translational_2012
22561836,translational_2012
22561835,translational_2012
22561834,translational_2012
22561833,translational_2012
22561832,translational_2012
22561831,translational_2012
22561820,translational_2012
22561819,translational_2012
22561816,translational_2012
22561688,translational_2012
22561518,translational_2012
22561517,translational_2012
22561516,translational_2012
22561515,translational_2012
22561347,translational_2012
22544367,translational_2012
22544366,translational_2012
22544365,translational_2012
22544364,translational_2012
22544363,translational_2012
22543263,translational_2012
22538719,translational_2012
22538718,translational_2012
22522421,translational_2012
22522420,translational_2012
22504485,translational_2012
22504483,translational_2012
22504421,translational_2012
22504420,translational_2012
22504419,translational_2012
22484808,translational_2012
22484628,translational_2012
22484541,translational_2012
22481418,translational_2012
22481411,translational_2012
22481410,translational_2012
22466705,translational_2012
22466704,translational_2012
22466703,translational_2012
22466613,translational_2012
22466612,translational_2012
22466611,translational_2012
22466610,translational_2012
22447076,translational_2012
22447075,translational_2012
22447074,translational_2012
22446964,translational_2012
22426421,translational_2012
22426419,translational_2012
22426309,translational_2012
22407364,translational_2012
22406747,translational_2012
22406746,translational_2012
22406644,translational_2012
22406642,translational_2012
22406640,translational_2012
22395709,translational_2012
22388891,translational_2012
22388889,translational_2012
22388091,translational_2012
22388089,translational_2012
22388088,translational_2012
22388000,translational_2012
22387997,translational_2012
22387996,translational_2012
22366952,translational_2012
22366950,translational_2012
22366949,translational_2012
22366859,translational_2012
22366787,translational_2012
22366786,translational_2012
22366785,translational_2012
22366784,translational_2012
22366783,translational_2012
22344298,translational_2012
22344297,translational_2012
22344296,translational_2012
22344294,translational_2012
22344220,translational_2012
22327624,translational_2012
22327623,translational_2012
22327622,translational_2012
22327515,translational_2012
22327514,translational_2012
22327365,translational_2012
22310693,translational_2012
22306654,translational_2012
22306653,translational_2012
22306652,translational_2012
22306650,translational_2012
22286308,translational_2012
22286307,translational_2012
22286305,translational_2012
22286217,translational_2012
22286216,translational_2012
22286214,translational_2012
22286129,translational_2012
22286128,translational_2012
22281806,translational_2012
22270724,translational_2012
22270723,translational_2012
22270721,translational_2012
22267200,translational_2012
22267198,translational_2012
22267197,translational_2012
22267119,translational_2012
22252509,translational_2012
22252508,translational_2012
22246504,translational_2012
22246503,translational_2012
22245782,translational_2012
22245779,translational_2012
22237151,translational_2012
22231556,translational_2012
22227674,translational_2012
22227673,translational_2012
22227672,translational_2012
22227671,translational_2012
22227670,translational_2012
22227665,translational_2012
22227664,translational_2012
22227663,translational_2012
