pmid,query_name
18365029,basic_2008
18365028,basic_2008
18365026,basic_2008
18365025,basic_2008
18365023,basic_2008
18365022,basic_2008
18365021,basic_2008
18365020,basic_2008
18365018,basic_2008
18365017,basic_2008
18365016,basic_2008
18365015,basic_2008
18365013,basic_2008
18365012,basic_2008
18365011,basic_2008
18365009,basic_2008
18365008,basic_2008
18365007,basic_2008
18365004,basic_2008
18365003,basic_2008
18365002,basic_2008
18365001,basic_2008
18365000,basic_2008
18364999,basic_2008
18364997,basic_2008
18364996,basic_2008
18350175,basic_2008
18350173,basic_2008
18350172,basic_2008
18350171,basic_2008
18350170,basic_2008
18350169,basic_2008
18350168,basic_2008
18350167,basic_2008
18350165,basic_2008
18350163,basic_2008
18350161,basic_2008
18350160,basic_2008
18350159,basic_2008
18350158,basic_2008
18350157,basic_2008
18350156,basic_2008
18350155,basic_2008
18350154,basic_2008
18350152,basic_2008
18350151,basic_2008
18350150,basic_2008
18350148,basic_2008
18350146,basic_2008
18350145,basic_2008
18350144,basic_2008
18350143,basic_2008
18350142,basic_2008
18350140,basic_2008
18350139,basic_2008
18350138,basic_2008
18350137,basic_2008
18350136,basic_2008
18347738,basic_2008
18347737,basic_2008
18338032,basic_2008
18335065,basic_2008
18335064,basic_2008
18335063,basic_2008
18335062,basic_2008
18335061,basic_2008
18335059,basic_2008
18335057,basic_2008
18335056,basic_2008
18335055,basic_2008
18335054,basic_2008
18335053,basic_2008
18335051,basic_2008
18335050,basic_2008
18335049,basic_2008
18335047,basic_2008
18335046,basic_2008
18335045,basic_2008
18335044,basic_2008
18335043,basic_2008
18335041,basic_2008
18335040,basic_2008
18335039,basic_2008
18335038,basic_2008
18335037,basic_2008
18335035,basic_2008
18335033,basic_2008
18335032,basic_2008
18335031,basic_2008
18335030,basic_2008
18335028,basic_2008
18335025,basic_2008
18327293,basic_2008
18324310,basic_2008
18324309,basic_2008
18320063,basic_2008
18320062,basic_2008
18320061,basic_2008
18320060,basic_2008
18320058,basic_2008
18320057,basic_2008
18320056,basic_2008
18320055,basic_2008
18320054,basic_2008
18320049,basic_2008
18320048,basic_2008
18320047,basic_2008
18320043,basic_2008
18320040,basic_2008
18320039,basic_2008
18320038,basic_2008
18320037,basic_2008
18320036,basic_2008
18320035,basic_2008
18320033,basic_2008
18320031,basic_2008
18320029,basic_2008
18320025,basic_2008
18305823,basic_2008
18301780,basic_2008
18301779,basic_2008
18301777,basic_2008
18301775,basic_2008
18301771,basic_2008
18301768,basic_2008
18301767,basic_2008
18301766,basic_2008
18301764,basic_2008
18301763,basic_2008
18301761,basic_2008
18301759,basic_2008
18301758,basic_2008
18301757,basic_2008
18301756,basic_2008
18301755,basic_2008
18301753,basic_2008
18301752,basic_2008
18301751,basic_2008
18301750,basic_2008
18301749,basic_2008
18301748,basic_2008
18301747,basic_2008
18301746,basic_2008
18301745,basic_2008
18301741,basic_2008
18301739,basic_2008
18301738,basic_2008
18301737,basic_2008
18301736,basic_2008
18301735,basic_2008
18301734,basic_2008
18297136,basic_2008
18297135,basic_2008
18297130,basic_2008
18286208,basic_2008
18286207,basic_2008
18286206,basic_2008
18286205,basic_2008
18286203,basic_2008
18286202,basic_2008
18286201,basic_2008
18286197,basic_2008
18286194,basic_2008
18286193,basic_2008
18286192,basic_2008
18286191,basic_2008
18286188,basic_2008
18286186,basic_2008
18286185,basic_2008
18286182,basic_2008
18286181,basic_2008
18286180,basic_2008
18286179,basic_2008
18286177,basic_2008
18286176,basic_2008
18286175,basic_2008
18286174,basic_2008
18286170,basic_2008
18286169,basic_2008
18286167,basic_2008
18270593,basic_2008
18270591,basic_2008
18270589,basic_2008
18270587,basic_2008
18270585,basic_2008
18270584,basic_2008
18270582,basic_2008
18270581,basic_2008
18270580,basic_2008
18270578,basic_2008
18270576,basic_2008
18270574,basic_2008
18270573,basic_2008
18270571,basic_2008
18270570,basic_2008
18270566,basic_2008
18270565,basic_2008
18270564,basic_2008
18270563,basic_2008
18270562,basic_2008
18270559,basic_2008
18253509,basic_2008
18253507,basic_2008
18253506,basic_2008
18253505,basic_2008
18253504,basic_2008
18253502,basic_2008
18253501,basic_2008
18253500,basic_2008
18253496,basic_2008
18253495,basic_2008
18253492,basic_2008
18253491,basic_2008
18253490,basic_2008
18253488,basic_2008
18253487,basic_2008
18253486,basic_2008
18253485,basic_2008
18253483,basic_2008
18253482,basic_2008
18253481,basic_2008
18253480,basic_2008
18253479,basic_2008
18231612,basic_2008
18231610,basic_2008
18231609,basic_2008
18231606,basic_2008
18231604,basic_2008
18231603,basic_2008
18231602,basic_2008
18231600,basic_2008
18231599,basic_2008
18231598,basic_2008
18231597,basic_2008
18231596,basic_2008
18231595,basic_2008
18231594,basic_2008
18231593,basic_2008
18231592,basic_2008
18231591,basic_2008
18231588,basic_2008
18231587,basic_2008
18231586,basic_2008
18231584,basic_2008
18231583,basic_2008
18231581,basic_2008
18231579,basic_2008
18231578,basic_2008
18231577,basic_2008
18231575,basic_2008
18213396,basic_2008
18213395,basic_2008
18213393,basic_2008
18213392,basic_2008
18213388,basic_2008
18213387,basic_2008
18213385,basic_2008
18213384,basic_2008
18213381,basic_2008
18213380,basic_2008
18213378,basic_2008
18213377,basic_2008
18213376,basic_2008
18213375,basic_2008
18213373,basic_2008
18213372,basic_2008
18213370,basic_2008
18213369,basic_2008
18213365,basic_2008
18197265,basic_2008
18197264,basic_2008
18197263,basic_2008
18197260,basic_2008
18197258,basic_2008
18197257,basic_2008
18197256,basic_2008
18197254,basic_2008
18197253,basic_2008
18197252,basic_2008
18197250,basic_2008
18197248,basic_2008
18197247,basic_2008
18197246,basic_2008
18197245,basic_2008
18197243,basic_2008
18197241,basic_2008
18197240,basic_2008
18188405,basic_2008
18188404,basic_2008
18183308,basic_2008
18183307,basic_2008
18183306,basic_2008
18183305,basic_2008
18183304,basic_2008
18183302,basic_2008
18183301,basic_2008
18183300,basic_2008
18183298,basic_2008
18183297,basic_2008
18183296,basic_2008
18183295,basic_2008
18183294,basic_2008
18183293,basic_2008
18183291,basic_2008
18183290,basic_2008
18183289,basic_2008
18183288,basic_2008
18183287,basic_2008
18183285,basic_2008
18174909,basic_2008
18167562,basic_2008
18167559,basic_2008
18167556,basic_2008
18167555,basic_2008
18167553,basic_2008
18167552,basic_2008
18167551,basic_2008
18167550,basic_2008
18167548,basic_2008
18167546,basic_2008
18167545,basic_2008
18167544,basic_2008
18167543,basic_2008
18167542,basic_2008
18167541,basic_2008
18167539,basic_2008
18167538,basic_2008
18167537,basic_2008
18167536,basic_2008
22423312,basic_2008
22423311,basic_2008
21267054,basic_2008
19890394,basic_2008
19806227,basic_2008
19707292,basic_2008
19390657,basic_2008
18665275,basic_2008
18665274,basic_2008
18665273,basic_2008
18665272,basic_2008
18665271,basic_2008
18665269,basic_2008
18665268,basic_2008
18665267,basic_2008
18665266,basic_2008
18665264,basic_2008
18665263,basic_2008
18665262,basic_2008
18665261,basic_2008
18665260,basic_2008
18665254,basic_2008
18665253,basic_2008
18665252,basic_2008
18665251,basic_2008
18665249,basic_2008
18665248,basic_2008
18665247,basic_2008
18665242,basic_2008
18665241,basic_2008
18665240,basic_2008
18665239,basic_2008
18665238,basic_2008
18665237,basic_2008
18665236,basic_2008
18665235,basic_2008
18665234,basic_2008
18665233,basic_2008
18665232,basic_2008
18665231,basic_2008
18665230,basic_2008
18665229,basic_2008
18665227,basic_2008
18665226,basic_2008
18665225,basic_2008
18665224,basic_2008
18665223,basic_2008
18665222,basic_2008
18665221,basic_2008
18665220,basic_2008
18665215,basic_2008
18665214,basic_2008
18665213,basic_2008
18665212,basic_2008
18665211,basic_2008
18665210,basic_2008
18663385,basic_2008
18648668,basic_2008
18648667,basic_2008
18648662,basic_2008
18648661,basic_2008
18648660,basic_2008
18648652,basic_2008
18648651,basic_2008
18648650,basic_2008
18648645,basic_2008
18648642,basic_2008
18648612,basic_2008
18648549,basic_2008
18648548,basic_2008
18648547,basic_2008
18648546,basic_2008
18648545,basic_2008
18648544,basic_2008
18648542,basic_2008
18648541,basic_2008
18648540,basic_2008
18648538,basic_2008
18648536,basic_2008
18648535,basic_2008
18648534,basic_2008
18648533,basic_2008
18648515,basic_2008
18648512,basic_2008
18648511,basic_2008
18648510,basic_2008
18648507,basic_2008
18648505,basic_2008
18648504,basic_2008
18648502,basic_2008
18648501,basic_2008
18648500,basic_2008
18648499,basic_2008
18648497,basic_2008
18648496,basic_2008
18648495,basic_2008
18648493,basic_2008
18648491,basic_2008
18641792,basic_2008
18629345,basic_2008
18629003,basic_2008
18629002,basic_2008
18629001,basic_2008
18629000,basic_2008
18628998,basic_2008
18628996,basic_2008
18628995,basic_2008
18628994,basic_2008
18628993,basic_2008
18628991,basic_2008
18628990,basic_2008
18628989,basic_2008
18628985,basic_2008
18628984,basic_2008
18628982,basic_2008
18628979,basic_2008
18628978,basic_2008
18628975,basic_2008
18628968,basic_2008
18628966,basic_2008
18628965,basic_2008
18628964,basic_2008
18628963,basic_2008
18628962,basic_2008
18628961,basic_2008
18628960,basic_2008
18628959,basic_2008
18628958,basic_2008
18628957,basic_2008
18628956,basic_2008
18628955,basic_2008
18628952,basic_2008
18628950,basic_2008
18628949,basic_2008
18628945,basic_2008
18628944,basic_2008
18628938,basic_2008
18628832,basic_2008
18628830,basic_2008
18628826,basic_2008
18628825,basic_2008
18628823,basic_2008
18612467,basic_2008
18612465,basic_2008
18612459,basic_2008
18612458,basic_2008
18612435,basic_2008
18612431,basic_2008
18612430,basic_2008
18612424,basic_2008
18612423,basic_2008
18612422,basic_2008
18612421,basic_2008
18612420,basic_2008
18612419,basic_2008
18612417,basic_2008
18612416,basic_2008
18612414,basic_2008
18612413,basic_2008
18612411,basic_2008
18612410,basic_2008
18612393,basic_2008
18612388,basic_2008
18612387,basic_2008
18612385,basic_2008
18612384,basic_2008
18612383,basic_2008
18612382,basic_2008
18612380,basic_2008
18612379,basic_2008
18612377,basic_2008
18596985,basic_2008
18596983,basic_2008
18596982,basic_2008
18596981,basic_2008
18596979,basic_2008
18596978,basic_2008
18596976,basic_2008
18596975,basic_2008
18596974,basic_2008
18596972,basic_2008
18596971,basic_2008
18596968,basic_2008
18596967,basic_2008
18596966,basic_2008
18596965,basic_2008
18596964,basic_2008
18596962,basic_2008
18596960,basic_2008
18596957,basic_2008
18596956,basic_2008
18596941,basic_2008
18596940,basic_2008
18596937,basic_2008
18596936,basic_2008
18596935,basic_2008
18596932,basic_2008
18596931,basic_2008
18596930,basic_2008
18596929,basic_2008
18596928,basic_2008
18596927,basic_2008
18596926,basic_2008
18596916,basic_2008
18596910,basic_2008
18596908,basic_2008
18584054,basic_2008
18584053,basic_2008
18575630,basic_2008
18575627,basic_2008
18575625,basic_2008
18575624,basic_2008
18575620,basic_2008
18575618,basic_2008
18575616,basic_2008
18575615,basic_2008
18575613,basic_2008
18575612,basic_2008
18575611,basic_2008
18575610,basic_2008
