pmid,query_name
30925582,diseases_2019
30925188,diseases_2019
30925187,diseases_2019
30925179,diseases_2019
30925177,diseases_2019
30925176,diseases_2019
30925170,diseases_2019
30925156,diseases_2019
30925155,diseases_2019
30921451,diseases_2019
30921449,diseases_2019
30921441,diseases_2019
30921440,diseases_2019
30921436,diseases_2019
30921431,diseases_2019
30921428,diseases_2019
30921423,diseases_2019
30921422,diseases_2019
30921415,diseases_2019
30921412,diseases_2019
30921411,diseases_2019
30921410,diseases_2019
30921408,diseases_2019
30921407,diseases_2019
30921400,diseases_2019
30921397,diseases_2019
30921394,diseases_2019
30921388,diseases_2019
30921383,diseases_2019
30921378,diseases_2019
30921377,diseases_2019
30921371,diseases_2019
30921370,diseases_2019
30921367,diseases_2019
30921365,diseases_2019
30921361,diseases_2019
30921358,diseases_2019
30921354,diseases_2019
30921352,diseases_2019
30921351,diseases_2019
30921349,diseases_2019
30921348,diseases_2019
30921344,diseases_2019
30921336,diseases_2019
30921335,diseases_2019
30921318,diseases_2019
30917188,diseases_2019
30917185,diseases_2019
30917184,diseases_2019
30917180,diseases_2019
30917177,diseases_2019
30917176,diseases_2019
30917174,diseases_2019
30917165,diseases_2019
30917164,diseases_2019
30917159,diseases_2019
30917156,diseases_2019
30917151,diseases_2019
30917149,diseases_2019
30913278,diseases_2019
30913277,diseases_2019
30913275,diseases_2019
30913263,diseases_2019
30913262,diseases_2019
30913261,diseases_2019
30913251,diseases_2019
30913249,diseases_2019
30913243,diseases_2019
30913241,diseases_2019
30913240,diseases_2019
30913230,diseases_2019
30913224,diseases_2019
30913220,diseases_2019
30913213,diseases_2019
30913212,diseases_2019
30913210,diseases_2019
30913209,diseases_2019
30913206,diseases_2019
30908555,diseases_2019
30908554,diseases_2019
30908548,diseases_2019
30908542,diseases_2019
30908540,diseases_2019
30908539,diseases_2019
30908538,diseases_2019
30908535,diseases_2019
30908533,diseases_2019
30908530,diseases_2019
30908528,diseases_2019
30908525,diseases_2019
30908522,diseases_2019
30908519,diseases_2019
30908516,diseases_2019
30908508,diseases_2019
30908501,diseases_2019
30908498,diseases_2019
30908485,diseases_2019
30908483,diseases_2019
30908480,diseases_2019
30901770,diseases_2019
30901379,diseases_2019
30901378,diseases_2019
30901375,diseases_2019
30901373,diseases_2019
30901372,diseases_2019
30901364,diseases_2019
30901363,diseases_2019
30901362,diseases_2019
30901359,diseases_2019
30901357,diseases_2019
30901349,diseases_2019
