pmid,query_name
17396164,fundamental_2007
17396162,fundamental_2007
17389924,fundamental_2007
17389919,fundamental_2007
17389918,fundamental_2007
17389916,fundamental_2007
17389915,fundamental_2007
17389913,fundamental_2007
17389911,fundamental_2007
17389910,fundamental_2007
17389909,fundamental_2007
17380189,fundamental_2007
17375202,fundamental_2007
17375198,fundamental_2007
17375197,fundamental_2007
17375193,fundamental_2007
17375192,fundamental_2007
17375191,fundamental_2007
17375190,fundamental_2007
17375189,fundamental_2007
17375188,fundamental_2007
17375187,fundamental_2007
17375185,fundamental_2007
17375184,fundamental_2007
17372629,fundamental_2007
17372628,fundamental_2007
17372627,fundamental_2007
17372626,fundamental_2007
17356704,fundamental_2007
17356703,fundamental_2007
17356700,fundamental_2007
17356699,fundamental_2007
17356697,fundamental_2007
17356696,fundamental_2007
17356694,fundamental_2007
17356692,fundamental_2007
17356690,fundamental_2007
17356689,fundamental_2007
17342210,fundamental_2007
17342209,fundamental_2007
17342208,fundamental_2007
17342207,fundamental_2007
17342206,fundamental_2007
17342205,fundamental_2007
17342204,fundamental_2007
17342203,fundamental_2007
17332846,fundamental_2007
17330142,fundamental_2007
17330140,fundamental_2007
17330139,fundamental_2007
17327924,fundamental_2007
17327923,fundamental_2007
17327922,fundamental_2007
17327921,fundamental_2007
17327919,fundamental_2007
17327918,fundamental_2007
17327915,fundamental_2007
17327914,fundamental_2007
17327913,fundamental_2007
17327912,fundamental_2007
17327911,fundamental_2007
17327907,fundamental_2007
17318257,fundamental_2007
17311107,fundamental_2007
17311105,fundamental_2007
17311102,fundamental_2007
17311100,fundamental_2007
17311098,fundamental_2007
17311097,fundamental_2007
17311096,fundamental_2007
17311095,fundamental_2007
17311093,fundamental_2007
17311091,fundamental_2007
17311090,fundamental_2007
17311089,fundamental_2007
17301879,fundamental_2007
17301878,fundamental_2007
17299599,fundamental_2007
17299597,fundamental_2007
17299596,fundamental_2007
17299595,fundamental_2007
17299594,fundamental_2007
17299593,fundamental_2007
17299592,fundamental_2007
17299591,fundamental_2007
17299590,fundamental_2007
17299588,fundamental_2007
17299586,fundamental_2007
17299585,fundamental_2007
17299584,fundamental_2007
17299583,fundamental_2007
17299582,fundamental_2007
17285148,fundamental_2007
17285147,fundamental_2007
17285146,fundamental_2007
17285144,fundamental_2007
17285143,fundamental_2007
17285142,fundamental_2007
17264888,fundamental_2007
17264887,fundamental_2007
