pmid,query_name
17195843,basic_2006
17195842,basic_2006
17187065,basic_2006
17187064,basic_2006
17178412,basic_2006
17178411,basic_2006
17178410,basic_2006
17178409,basic_2006
17178408,basic_2006
17178406,basic_2006
17178405,basic_2006
17178404,basic_2006
17178403,basic_2006
17178402,basic_2006
17178401,basic_2006
17178400,basic_2006
17178398,basic_2006
17178396,basic_2006
17173047,basic_2006
17173046,basic_2006
17173045,basic_2006
17173044,basic_2006
17173043,basic_2006
17159992,basic_2006
17159991,basic_2006
17159990,basic_2006
17159989,basic_2006
17145511,basic_2006
17145510,basic_2006
17145509,basic_2006
17145508,basic_2006
17145507,basic_2006
17145506,basic_2006
17145505,basic_2006
17145504,basic_2006
17145503,basic_2006
17145502,basic_2006
17145501,basic_2006
17145500,basic_2006
17145498,basic_2006
17145497,basic_2006
17145496,basic_2006
17145495,basic_2006
17143272,basic_2006
17143271,basic_2006
17128283,basic_2006
17128280,basic_2006
17128279,basic_2006
17128266,basic_2006
17115045,basic_2006
17115043,basic_2006
17115042,basic_2006
17115039,basic_2006
17115038,basic_2006
17115037,basic_2006
17115036,basic_2006
17114055,basic_2006
17114054,basic_2006
17114053,basic_2006
17114052,basic_2006
17114050,basic_2006
17114049,basic_2006
17114048,basic_2006
17114047,basic_2006
17114046,basic_2006
17114045,basic_2006
17114043,basic_2006
17114042,basic_2006
17114041,basic_2006
17114040,basic_2006
17114039,basic_2006
17114038,basic_2006
17099708,basic_2006
17099707,basic_2006
17099706,basic_2006
17088220,basic_2006
17088219,basic_2006
17088218,basic_2006
17088217,basic_2006
17088216,basic_2006
17088215,basic_2006
17088214,basic_2006
17088213,basic_2006
17088212,basic_2006
17088211,basic_2006
17088210,basic_2006
17088209,basic_2006
17088208,basic_2006
17088207,basic_2006
17088206,basic_2006
17088204,basic_2006
17086178,basic_2006
17057708,basic_2006
17057707,basic_2006
17057706,basic_2006
17046699,basic_2006
17046698,basic_2006
17046696,basic_2006
17046695,basic_2006
17046694,basic_2006
17046693,basic_2006
17046692,basic_2006
17046691,basic_2006
17046690,basic_2006
17046689,basic_2006
17046688,basic_2006
17046687,basic_2006
17046686,basic_2006
17046685,basic_2006
17046684,basic_2006
17046683,basic_2006
17041595,basic_2006
17041594,basic_2006
17041592,basic_2006
17028585,basic_2006
17028583,basic_2006
17015237,basic_2006
17013381,basic_2006
17013380,basic_2006
17013379,basic_2006
17001340,basic_2006
16998482,basic_2006
16998481,basic_2006
16982430,basic_2006
16982429,basic_2006
16982428,basic_2006
16982427,basic_2006
16982426,basic_2006
16982425,basic_2006
16982424,basic_2006
16982423,basic_2006
16982422,basic_2006
16982421,basic_2006
16982420,basic_2006
16982419,basic_2006
16982416,basic_2006
16982415,basic_2006
16982414,basic_2006
16982413,basic_2006
16982412,basic_2006
16982411,basic_2006
16982410,basic_2006
16980967,basic_2006
16980966,basic_2006
16980965,basic_2006
16980964,basic_2006
16980963,basic_2006
16964255,basic_2006
16964254,basic_2006
16964253,basic_2006
16964252,basic_2006
16964251,basic_2006
16964250,basic_2006
16964249,basic_2006
16950163,basic_2006
16950162,basic_2006
16950161,basic_2006
16950160,basic_2006
16950159,basic_2006
16950157,basic_2006
16950156,basic_2006
16950155,basic_2006
16950153,basic_2006
16950152,basic_2006
16950151,basic_2006
16950150,basic_2006
16936723,basic_2006
16936722,basic_2006
16921373,basic_2006
16921372,basic_2006
16921371,basic_2006
16921369,basic_2006
16921368,basic_2006
16908415,basic_2006
16908414,basic_2006
16908413,basic_2006
16908412,basic_2006
16908410,basic_2006
16908409,basic_2006
16908408,basic_2006
16908407,basic_2006
16908406,basic_2006
16908405,basic_2006
16908403,basic_2006
16906153,basic_2006
16906152,basic_2006
16892058,basic_2006
16892057,basic_2006
16892056,basic_2006
16880132,basic_2006
16880131,basic_2006
16880130,basic_2006
16880129,basic_2006
16880128,basic_2006
16880127,basic_2006
16880126,basic_2006
16880125,basic_2006
16880124,basic_2006
16880123,basic_2006
16880122,basic_2006
16880121,basic_2006
16880120,basic_2006
16878129,basic_2006
16862150,basic_2006
16862149,basic_2006
16846860,basic_2006
16846859,basic_2006
16846858,basic_2006
16846857,basic_2006
16846856,basic_2006
16846855,basic_2006
16846853,basic_2006
16846852,basic_2006
16846851,basic_2006
16846850,basic_2006
16846848,basic_2006
16845387,basic_2006
16845386,basic_2006
16845385,basic_2006
16845384,basic_2006
16829957,basic_2006
16829956,basic_2006
16829955,basic_2006
16819524,basic_2006
16819523,basic_2006
16819522,basic_2006
16819521,basic_2006
16819520,basic_2006
16819519,basic_2006
16815338,basic_2006
16815337,basic_2006
16815336,basic_2006
16815335,basic_2006
16815334,basic_2006
16815333,basic_2006
16815332,basic_2006
16815331,basic_2006
16815328,basic_2006
16815327,basic_2006
16815326,basic_2006
16815325,basic_2006
16815324,basic_2006
16783370,basic_2006
16783369,basic_2006
16783368,basic_2006
16783367,basic_2006
16783366,basic_2006
16783365,basic_2006
16772176,basic_2006
16772175,basic_2006
16772174,basic_2006
16772173,basic_2006
16772172,basic_2006
16772171,basic_2006
16772169,basic_2006
16772168,basic_2006
16772167,basic_2006
16772165,basic_2006
16772164,basic_2006
16772163,basic_2006
16772162,basic_2006
16767091,basic_2006
16767090,basic_2006
16767089,basic_2006
16767088,basic_2006
16767087,basic_2006
16751764,basic_2006
16751763,basic_2006
16732277,basic_2006
16732276,basic_2006
16732275,basic_2006
16732274,basic_2006
16732202,basic_2006
16731517,basic_2006
16731516,basic_2006
16731515,basic_2006
16731514,basic_2006
16731513,basic_2006
16731512,basic_2006
16731511,basic_2006
16731510,basic_2006
16731509,basic_2006
16731508,basic_2006
16731507,basic_2006
16731506,basic_2006
16731505,basic_2006
16731504,basic_2006
16715082,basic_2006
16715081,basic_2006
16715080,basic_2006
16715079,basic_2006
16701214,basic_2006
16701213,basic_2006
16701212,basic_2006
16701211,basic_2006
16701210,basic_2006
16701209,basic_2006
16701208,basic_2006
16701207,basic_2006
16701206,basic_2006
16701205,basic_2006
16701204,basic_2006
16701202,basic_2006
16701201,basic_2006
16701200,basic_2006
16699510,basic_2006
16699509,basic_2006
16699508,basic_2006
16699507,basic_2006
16699506,basic_2006
16699505,basic_2006
16680166,basic_2006
16680165,basic_2006
16680164,basic_2006
16680163,basic_2006
16675403,basic_2006
16675402,basic_2006
16675401,basic_2006
16675400,basic_2006
16675399,basic_2006
16675398,basic_2006
16675397,basic_2006
16675396,basic_2006
16675395,basic_2006
16675394,basic_2006
16675392,basic_2006
16675390,basic_2006
16675389,basic_2006
16675388,basic_2006
16675387,basic_2006
16648849,basic_2006
16648848,basic_2006
16648847,basic_2006
16633343,basic_2006
16633342,basic_2006
16630842,basic_2006
16630841,basic_2006
16630840,basic_2006
16630839,basic_2006
16630837,basic_2006
16630836,basic_2006
16630835,basic_2006
16630834,basic_2006
16630833,basic_2006
16630830,basic_2006
16630829,basic_2006
16630828,basic_2006
16630826,basic_2006
16617342,basic_2006
16617341,basic_2006
16617340,basic_2006
16617339,basic_2006
16617338,basic_2006
16604070,basic_2006
16604069,basic_2006
16604068,basic_2006
16604067,basic_2006
16600863,basic_2006
16600862,basic_2006
16600861,basic_2006
16600860,basic_2006
16600859,basic_2006
16600857,basic_2006
16600856,basic_2006
16600855,basic_2006
16600854,basic_2006
16600852,basic_2006
16600849,basic_2006
16600848,basic_2006
16600847,basic_2006
16582906,basic_2006
16582905,basic_2006
16582904,basic_2006
16582903,basic_2006
16582902,basic_2006
16547512,basic_2006
16547511,basic_2006
16547510,basic_2006
16547509,basic_2006
16547508,basic_2006
16543138,basic_2006
16543137,basic_2006
16543136,basic_2006
16543135,basic_2006
16543134,basic_2006
16543133,basic_2006
16543132,basic_2006
16543131,basic_2006
16543130,basic_2006
16543128,basic_2006
16543127,basic_2006
16543126,basic_2006
16543125,basic_2006
16543124,basic_2006
16543123,basic_2006
16543122,basic_2006
16543121,basic_2006
16531999,basic_2006
16531998,basic_2006
16531997,basic_2006
16520737,basic_2006
16520736,basic_2006
16520735,basic_2006
16520734,basic_2006
16504951,basic_2006
16504950,basic_2006
16504949,basic_2006
16504948,basic_2006
16504946,basic_2006
16504945,basic_2006
16504944,basic_2006
16504942,basic_2006
16504941,basic_2006
16504940,basic_2006
16504938,basic_2006
16504937,basic_2006
16504936,basic_2006
16501568,basic_2006
16501567,basic_2006
16501566,basic_2006
16498425,basic_2006
16491082,basic_2006
16491081,basic_2006
16491080,basic_2006
16491079,basic_2006
16491078,basic_2006
16476670,basic_2006
16476669,basic_2006
16476668,basic_2006
16476667,basic_2006
16476666,basic_2006
16476665,basic_2006
16476664,basic_2006
16476663,basic_2006
16476662,basic_2006
16476661,basic_2006
16476659,basic_2006
16476657,basic_2006
16474393,basic_2006
16474391,basic_2006
16474390,basic_2006
16474389,basic_2006
16462738,basic_2006
16462737,basic_2006
16462736,basic_2006
16462735,basic_2006
16462734,basic_2006
16446149,basic_2006
16446148,basic_2006
16446147,basic_2006
16446146,basic_2006
16446145,basic_2006
16446144,basic_2006
16446143,basic_2006
16446142,basic_2006
16446140,basic_2006
16446139,basic_2006
16446137,basic_2006
