pmid,query_name
10677043,fundamental_1999
10677042,fundamental_1999
10677041,fundamental_1999
10677040,fundamental_1999
10677039,fundamental_1999
10677038,fundamental_1999
10677037,fundamental_1999
10677036,fundamental_1999
10677035,fundamental_1999
10677034,fundamental_1999
10677033,fundamental_1999
10677032,fundamental_1999
10677031,fundamental_1999
10677030,fundamental_1999
10677029,fundamental_1999
10677028,fundamental_1999
10677027,fundamental_1999
10677026,fundamental_1999
10677023,fundamental_1999
10677022,fundamental_1999
10677021,fundamental_1999
10677020,fundamental_1999
10677019,fundamental_1999
10624965,fundamental_1999
10624964,fundamental_1999
10624963,fundamental_1999
10624962,fundamental_1999
10624961,fundamental_1999
10624960,fundamental_1999
10624959,fundamental_1999
10624958,fundamental_1999
10624957,fundamental_1999
10624954,fundamental_1999
10624950,fundamental_1999
10624949,fundamental_1999
10624948,fundamental_1999
10624947,fundamental_1999
10624946,fundamental_1999
10624945,fundamental_1999
10624944,fundamental_1999
10624943,fundamental_1999
10624942,fundamental_1999
10624940,fundamental_1999
10624939,fundamental_1999
10624938,fundamental_1999
10624937,fundamental_1999
10624936,fundamental_1999
10595522,fundamental_1999
10595521,fundamental_1999
10595520,fundamental_1999
10595519,fundamental_1999
10595518,fundamental_1999
10595517,fundamental_1999
10595516,fundamental_1999
10595514,fundamental_1999
10595513,fundamental_1999
10595512,fundamental_1999
10595511,fundamental_1999
10595510,fundamental_1999
10595509,fundamental_1999
10595508,fundamental_1999
10595507,fundamental_1999
10595500,fundamental_1999
10595499,fundamental_1999
10595498,fundamental_1999
10595497,fundamental_1999
10571241,fundamental_1999
10571240,fundamental_1999
10571239,fundamental_1999
10571238,fundamental_1999
10571237,fundamental_1999
10571235,fundamental_1999
10571234,fundamental_1999
10571233,fundamental_1999
10571232,fundamental_1999
10571231,fundamental_1999
10571230,fundamental_1999
10571229,fundamental_1999
10571228,fundamental_1999
10571227,fundamental_1999
10571226,fundamental_1999
10571225,fundamental_1999
10571224,fundamental_1999
10571223,fundamental_1999
10571222,fundamental_1999
10571221,fundamental_1999
10571220,fundamental_1999
10570492,fundamental_1999
10570491,fundamental_1999
10570490,fundamental_1999
10570488,fundamental_1999
10570487,fundamental_1999
10570486,fundamental_1999
10570485,fundamental_1999
10570484,fundamental_1999
10570483,fundamental_1999
10570482,fundamental_1999
10570481,fundamental_1999
10526343,fundamental_1999
10526340,fundamental_1999
10526339,fundamental_1999
10526338,fundamental_1999
10526336,fundamental_1999
10526335,fundamental_1999
10526334,fundamental_1999
10526333,fundamental_1999
10526332,fundamental_1999
10526331,fundamental_1999
10526330,fundamental_1999
10526329,fundamental_1999
10526326,fundamental_1999
10526325,fundamental_1999
10526324,fundamental_1999
10526323,fundamental_1999
10491612,fundamental_1999
10491611,fundamental_1999
10491610,fundamental_1999
10491609,fundamental_1999
10491607,fundamental_1999
10491606,fundamental_1999
10491605,fundamental_1999
10491600,fundamental_1999
10491599,fundamental_1999
10491598,fundamental_1999
10491597,fundamental_1999
10482247,fundamental_1999
10482246,fundamental_1999
10482245,fundamental_1999
10482244,fundamental_1999
10482243,fundamental_1999
10482242,fundamental_1999
10482239,fundamental_1999
10482238,fundamental_1999
10482237,fundamental_1999
10482236,fundamental_1999
10482235,fundamental_1999
10482234,fundamental_1999
10482233,fundamental_1999
10482232,fundamental_1999
10482231,fundamental_1999
10482230,fundamental_1999
10482229,fundamental_1999
10482228,fundamental_1999
10482227,fundamental_1999
