pmid,query_name
10196579,translational_1998
10196540,translational_1998
10195129,translational_1998
10195127,translational_1998
10195112,translational_1998
9883725,translational_1998
9883720,translational_1998
9883716,translational_1998
9856453,translational_1998
9808466,translational_1998
9808451,translational_1998
9808445,translational_1998
9768840,translational_1998
9728921,translational_1998
9697856,translational_1998
9655494,translational_1998
9581771,translational_1998
9581758,translational_1998
9581756,translational_1998
9539133,translational_1998
9539132,translational_1998
9539131,translational_1998
9539130,translational_1998
9539113,translational_1998
9459443,translational_1998
