pmid,year
21185252,2010
21167805,2010
21112568,2010
21112567,2010
21112566,2010
21112565,2010
21112564,2010
21112563,2010
21112562,2010
21112561,2010
21112559,2010
21112558,2010
21112557,2010
21112556,2010
21112555,2010
21112554,2010
21040903,2010
21040902,2010
21040901,2010
21040900,2010
21040899,2010
21040898,2010
21040897,2010
21040896,2010
21040895,2010
21040894,2010
21040893,2010
21040892,2010
21040891,2010
20888316,2010
20887958,2010
20887957,2010
20887956,2010
20887955,2010
20887954,2010
20887953,2010
20887952,2010
20887951,2010
20887950,2010
20887949,2010
20887947,2010
20887946,2010
20887945,2010
20887944,2010
20887943,2010
20804975,2010
20804974,2010
20804973,2010
20804972,2010
20804971,2010
20804970,2010
20804969,2010
20804967,2010
20804966,2010
20804965,2010
20804963,2010
20804962,2010
20804961,2010
20804960,2010
20727844,2010
20682452,2010
20682451,2010
20682450,2010
20682449,2010
20682448,2010
20682447,2010
20682446,2010
20682445,2010
20682444,2010
20682443,2010
20682442,2010
20682441,2010
20682440,2010
20682439,2010
20682438,2010
20682437,2010
20621056,2010
20621055,2010
20621054,2010
20621053,2010
20621052,2010
20621051,2010
20621050,2010
20621049,2010
20621048,2010
20621047,2010
20621046,2010
20621045,2010
20621044,2010
20621043,2010
20621042,2010
20621041,2010
20621040,2010
20621039,2010
20621038,2010
20619763,2010
20619762,2010
20578344,2010
20578343,2010
20569697,2010
20569696,2010
20569695,2010
20569694,2010
20569693,2010
20569692,2010
20569691,2010
20569690,2010
20569689,2010
20569688,2010
20569687,2010
20569686,2010
20569685,2010
20569684,2010
20569683,2010
20569682,2010
20569681,2010
20569680,2010
20452322,2010
20452321,2010
20452320,2010
20452319,2010
20452318,2010
20452317,2010
20452315,2010
20452314,2010
20452313,2010
20452312,2010
20452311,2010
20452310,2010
20452309,2010
20452308,2010
20362542,2010
20362541,2010
20362540,2010
20362539,2010
20362538,2010
20362537,2010
20362536,2010
20362535,2010
20362532,2010
20362531,2010
20362530,2010
20362529,2010
20362528,2010
20362527,2010
20207230,2010
20207229,2010
20207228,2010
20207227,2010
20207226,2010
20207225,2010
20207223,2010
20207222,2010
20207221,2010
20207220,2010
20207219,2010
20207218,2010
20207217,2010
20207216,2010
20144789,2010
20144788,2010
20144787,2010
20144786,2010
20144785,2010
20144784,2010
20144783,2010
20144782,2010
20144781,2010
20144780,2010
20144779,2010
20096661,2010
20085741,2010
20085740,2010
20085739,2010
20085738,2010
20085737,2010
20085736,2010
20085735,2010
20085734,2010
20085733,2010
20074536,2010
20074535,2010
20074534,2010
20074533,2010
20036631,2010
