pmid,year
22210834,2011
22207611,2011
22205784,2011
22202676,2011
22202675,2011
22202674,2011
22202673,2011
22198389,2011
22198388,2011
22198387,2011
22198386,2011
22198385,2011
22198384,2011
22198383,2011
22198382,2011
22198381,2011
22186874,2011
22186873,2011
22183778,2011
22179526,2011
22179525,2011
22173972,2011
22171001,2011
22166247,2011
22159149,2011
22159148,2011
22159147,2011
22159146,2011
22159038,2011
22155565,2011
22155564,2011
22155563,2011
22138035,2011
22138034,2011
22131362,2011
22131271,2011
22131270,2011
22131269,2011
22131268,2011
22125316,2011
22125315,2011
22125314,2011
22121051,2011
22121050,2011
22109994,2011
22106368,2011
22106367,2011
22106366,2011
22102632,2011
22094718,2011
22090317,2011
22090316,2011
22090315,2011
22090314,2011
22090313,2011
22085646,2011
22085645,2011
22085644,2011
22085643,2011
22085642,2011
22085641,2011
22084313,2011
22075647,2011
22075646,2011
22075645,2011
22071506,2011
22071505,2011
22067483,2011
22067482,2011
22067481,2011
22051730,2011
22049061,2011
22049060,2011
22049059,2011
22046003,2011
22042224,2011
22042223,2011
22042222,2011
22042221,2011
22038052,2011
22038051,2011
22038050,2011
22038049,2011
22038048,2011
22038047,2011
22038046,2011
22034653,2011
22031716,2011
22024738,2011
22024737,2011
22012123,2011
22012122,2011
22009939,2011
22009938,2011
22009937,2011
22006157,2011
22006156,2011
22002907,2011
22002906,2011
21990378,2011
21990377,2011
21990376,2011
21990375,2011
21990374,2011
21990373,2011
21990372,2011
21990371,2011
21982950,2011
21982949,2011
21982948,2011
21982947,2011
21978940,2011
21974932,2011
21974931,2011
21974930,2011
21974929,2011
21974928,2011
21968070,2011
21968069,2011
21968068,2011
21965605,2011
21965604,2011
21965603,2011
21965602,2011
21965601,2011
21965600,2011
21965599,2011
21965598,2011
21965597,2011
21965596,2011
21965595,2011
21957129,2011
21957128,2011
21957127,2011
21948247,2011
21948246,2011
21940996,2011
21940995,2011
21940994,2011
21940993,2011
21926237,2011
21926236,2011
21917987,2011
21917986,2011
21917985,2011
21914860,2011
21911594,2011
21911593,2011
21911592,2011
21908716,2011
21908715,2011
21908714,2011
21903935,2011
21903934,2011
21900506,2011
21891782,2011
21891781,2011
21885656,2011
21885655,2011
21885654,2011
21885653,2011
21885652,2011
21885651,2011
21880668,2011
21876068,2011
21873556,2011
21873555,2011
21868473,2011
21868472,2011
21865318,2011
21865317,2011
21865316,2011
21865315,2011
21859896,2011
21859895,2011
21859894,2011
21859893,2011
21859892,2011
21856783,2011
21856782,2011
21856781,2011
21852538,2011
21849407,2011
21846838,2011
21846837,2011
21846836,2011
21840941,2011
21840940,2011
21840939,2011
21840938,2011
21836025,2011
21836024,2011
21831887,2011
21828287,2011
21828286,2011
21825036,2011
21825035,2011
21825034,2011
21817126,2011
21810903,2011
21804131,2011
21803859,2011
21798955,2011
21798954,2011
21795505,2011
21795504,2011
21795503,2011
21795502,2011
21788450,2011
21788449,2011
21784784,2011
21778327,2011
21778326,2011
21778325,2011
21768393,2011
21764995,2011
21764994,2011
21757500,2011
21757499,2011
21753082,2011
21753081,2011
21753080,2011
21746868,2011
21746867,2011
21746866,2011
21746865,2011
21746864,2011
21746863,2011
21746862,2011
21746861,2011
21737616,2011
21737615,2011
21737614,2011
21730107,2011
21719514,2011
21719512,2011
21715682,2011
21715681,2011
21715680,2011
21712495,2011
21712494,2011
