pmid,year
30598510,2018
30598509,2018
30598507,2018
30598506,2018
30598505,2018
30598504,2018
30598503,2018
30593535,2018
30593534,2018
30593533,2018
30593532,2018
30593531,2018
30593530,2018
30593529,2018
30593511,2018
30593510,2018
30593509,2018
30593508,2018
30593507,2018
30593506,2018
30593505,2018
30593504,2018
30593503,2018
30593502,2018
30593501,2018
30593500,2018
30593499,2018
30591589,2018
30591588,2018
30591587,2018
30591586,2018
30591585,2018
30591584,2018
30591583,2018
30587577,2018
30587576,2018
30587575,2018
30587574,2018
30587573,2018
30587572,2018
30587571,2018
30578302,2018
30578301,2018
30578300,2018
30578299,2018
30578298,2018
30578297,2018
30578296,2018
30573686,2018
30573685,2018
30573684,2018
30573683,2018
30573682,2018
30573681,2018
30573680,2018
30573679,2018
30573678,2018
30567741,2018
30567740,2018
30567739,2018
30567738,2018
30567737,2018
30567736,2018
30567735,2018
30567734,2018
30563844,2018
30563843,2018
30563842,2018
30563841,2018
30563840,2018
30563839,2018
30563838,2018
30563837,2018
30563836,2018
30559296,2018
30559295,2018
30559294,2018
30559293,2018
30559292,2018
30559291,2018
30559290,2018
30559289,2018
30559288,2018
30559287,2018
30554144,2018
30552118,2018
30552117,2018
30552116,2018
30552115,2018
30552114,2018
30545943,2018
30545942,2018
30545941,2018
30545940,2018
30545939,2018
30545938,2018
30545937,2018
30541925,2018
30541924,2018
30541923,2018
30541922,2018
30541921,2018
30541920,2018
30523159,2018
30523158,2018
30523157,2018
30523156,2018
30523155,2018
30523154,2018
30523153,2018
30523152,2018
30523151,2018
30523150,2018
30538133,2018
30538132,2018
30538131,2018
30538130,2018
30538129,2018
30538128,2018
30530855,2018
30530853,2018
30530852,2018
30530783,2018
30530497,2018
30530496,2018
30530495,2018
30530494,2018
30530493,2018
30530492,2018
30530491,2018
30530490,2018
30530489,2018
30518551,2018
30518550,2018
30518549,2018
30504455,2018
30504283,2018
30504228,2018
30504227,2018
30504226,2018
30504225,2018
30504224,2018
30504223,2018
30504222,2018
30504221,2018
30504220,2018
30504219,2018
30504218,2018
30514764,2018
30514763,2018
30514762,2018
30514761,2018
30514760,2018
30514759,2018
30514758,2018
30514757,2018
30510139,2018
30510138,2018
30510137,2018
30510136,2018
30510135,2018
30498089,2018
30498088,2018
30498087,2018
30487289,2018
30487288,2018
30487287,2018
30482844,2018
30482843,2018
30482842,2018
30482841,2018
30482840,2018
30482839,2018
30478176,2018
30478175,2018
30478174,2018
30478173,2018
30478172,2018
30478171,2018
30478170,2018
30470729,2018
30470728,2018
30470727,2018
30470726,2018
30463941,2018
30463940,2018
30463939,2018
30463938,2018
30459235,2018
30459234,2018
30459233,2018
30459232,2018
30459231,2018
30455357,2018
30455356,2018
30455355,2018
30455354,2018
30455353,2018
30455352,2018
30455351,2018
30455350,2018
30455349,2018
30455348,2018
30455347,2018
30455346,2018
30446623,2018
30446622,2018
30446621,2018
30446620,2018
30446605,2018
30446604,2018
30446603,2018
30446602,2018
30446601,2018
30442713,2018
30442712,2018
30429222,2018
30429221,2018
30429220,2018
30429219,2018
30429218,2018
30429217,2018
30429216,2018
30425102,2018
30425101,2018
30425100,2018
30425099,2018
30425098,2018
30425097,2018
30425096,2018
30420431,2018
30420430,2018
30420429,2018
30420428,2018
30420427,2018
30420426,2018
30420425,2018
30420424,2018
30413537,2018
30413536,2018
30413535,2018
30413534,2018
30413533,2018
30413532,2018
30413528,2018
30409912,2018
30409911,2018
30409910,2018
30409909,2018
30409908,2018
30409907,2018
30409906,2018
30409905,2018
30409904,2018
30409903,2018
30409902,2018
30409901,2018
30409900,2018
30404921,2018
30404920,2018
30404919,2018
30401750,2018
30401749,2018
30401748,2018
30401747,2018
30401746,2018
30401745,2018
30401744,2018
30397184,2018
30397183,2018
30397182,2018
30389791,2018
30389790,2018
30389789,2018
30389788,2018
30389787,2018
30389786,2018
30389785,2018
30385512,2018
30385511,2018
30385510,2018
30385509,2018
30385508,2018
30385507,2018
30385506,2018
30385505,2018
30385504,2018
30385503,2018
30385502,2018
30381397,2018
30381396,2018
30381395,2018
30381394,2018
30381393,2018
30377256,2018
30377255,2018
30377254,2018
30377253,2018
30377252,2018
30377251,2018
30377250,2018
30373774,2018
30373773,2018
30373772,2018
30373771,2018
30366986,2018
30366985,2018
30366984,2018
30366983,2018
30366982,2018
30366972,2018
30361442,2018
30361441,2018
30361440,2018
30361439,2018
30361438,2018
30361437,2018
30361436,2018
30361435,2018
30355739,2018
30355738,2018
30355737,2018
30355736,2018
30355735,2018
30355734,2018
30355733,2018
30355732,2018
30355731,2018
30355730,2018
30352875,2018
30352874,2018
30352873,2018
30352872,2018
30348902,2018
30348901,2018
30348900,2018
30348899,2018
30348898,2018
30341216,2018
30341215,2018
30341174,2018
30341173,2018
30341172,2018
30341171,2018
30337371,2018
30337370,2018
30337369,2018
30337368,2018
30337367,2018
30337366,2018
30337365,2018
30333234,2018
30333233,2018
30333232,2018
30333231,2018
30333230,2018
30333229,2018
30333228,2018
30333227,2018
30333226,2018
30333225,2018
30327435,2018
30327434,2018
30327433,2018
30327432,2018
30327431,2018
30327430,2018
30327429,2018
