pmid,year
17285696,2006
17195841,2006
17195840,2006
17187059,2006
17187058,2006
17173035,2006
17162751,2006
17160064,2006
17160063,2006
17160062,2006
17160061,2006
17160060,2006
17160059,2006
17160058,2006
17160057,2006
17160056,2006
17160053,2006
17160052,2006
17160051,2006
17160050,2006
17160049,2006
17160040,2006
17160033,2006
17143278,2006
17128273,2006
17115055,2006
17115054,2006
17111560,2006
17093492,2006
17093488,2006
17093487,2006
17093486,2006
17093478,2006
17093477,2006
17093476,2006
17093475,2006
17093474,2006
17093473,2006
17086173,2006
17086172,2006
17072302,2006
17061323,2006
17061321,2006
17057704,2006
17057703,2006
17057702,2006
17053790,2006
17033669,2006
17033665,2006
17033664,2006
17033656,2006
17033655,2006
17033654,2006
17033652,2006
17033651,2006
17013375,2006
17013374,2006
16998473,2006
16998472,2006
16980975,2006
16980974,2006
16964243,2006
16964242,2006
16964236,2006
16964229,2006
16964228,2006
16964227,2006
16964226,2006
16964225,2006
16964224,2006
16964223,2006
16964222,2006
16964221,2006
16964216,2006
16964215,2006
16964214,2006
16964213,2006
16964212,2006
16964211,2006
16964201,2006
16964200,2006
16924774,2006
16900147,2006
16900146,2006
16900145,2006
16900144,2006
16900142,2006
16900141,2006
16900140,2006
16900139,2006
16900138,2006
16900137,2006
16900136,2006
16900135,2006
16900134,2006
16900133,2006
16900132,2006
16900131,2006
16900130,2006
16900129,2006
16900128,2006
16900127,2006
16900126,2006
16900115,2006
16878127,2006
16878126,2006
16862639,2006
16845378,2006
16845377,2006
16841069,2006
16841068,2006
16841067,2006
16841060,2006
16841059,2006
16841058,2006
16841057,2006
16841056,2006
16841055,2006
16841054,2006
16841053,2006
16823376,2006
16823375,2006
16823374,2006
16823373,2006
16823372,2006
16823371,2006
16823370,2006
16823369,2006
16767078,2006
16763605,2006
16763599,2006
16763592,2006
16763591,2006
16763590,2006
16763589,2006
16763588,2006
16763586,2006
16763585,2006
16751769,2006
16732271,2006
16732270,2006
16715074,2006
16710903,2006
16699501,2006
16699500,2006
16699499,2006
16680810,2006
16680141,2006
16680139,2006
16680138,2006
16680137,2006
16680131,2006
16680130,2006
16680129,2006
16680127,2006
16680126,2006
16648842,2006
16648841,2006
16648840,2006
16633350,2006
16617336,2006
16604060,2006
16601734,2006
16601728,2006
16601727,2006
16601721,2006
16601720,2006
16601719,2006
16601718,2006
16601717,2006
16565728,2006
16565727,2006
16550175,2006
16550174,2006
16531992,2006
16531991,2006
16526102,2006
16525411,2006
16525410,2006
16525405,2006
16525404,2006
16525403,2006
16525394,2006
16525392,2006
16525391,2006
16525390,2006
16525389,2006
16525388,2006
16525386,2006
16525385,2006
16525384,2006
16525383,2006
16525381,2006
16525380,2006
16525378,2006
16525376,2006
16525375,2006
16525374,2006
16525373,2006
16525372,2006
16525371,2006
16525368,2006
16501578,2006
16501577,2006
16475248,2006
16474383,2006
16465169,2006
16465163,2006
16465162,2006
16465155,2006
16465154,2006
16465153,2006
16465152,2006
16465151,2006
16465145,2006
16465144,2006
16444269,2006
16444268,2006
16429149,2006
16429148,2006
16429147,2006
16415855,2006
16415854,2006
16404400,2006
16404399,2006
16404398,2006
16404397,2006
16404392,2006
16404391,2006
16404390,2006
16404388,2006
16404387,2006
16404380,2006
16388305,2006
16378095,2006
16369541,2006
16369540,2006
16369539,2006
16369538,2006
16327811,2006
16327810,2006
