pmid,year
20081830,2009
20081828,2009
20081826,2009
20081824,2009
20081823,2009
20016495,2009
19966789,2009
19966788,2009
26190951,2009
19946275,2009
19946274,2009
19935661,2009
19935660,2009
19935659,2009
19935658,2009
19915542,2009
19915541,2009
19915540,2009
19915539,2009
19915538,2009
19915537,2009
19915536,2009
19915535,2009
19841631,2009
19841630,2009
19841629,2009
19841628,2009
19841623,2009
19841622,2009
19838204,2009
19838203,2009
19820715,2009
19801994,2009
19801993,2009
19783991,2009
19767736,2009
19767735,2009
19763097,2009
19749743,2009
19734912,2009
19734911,2009
19734910,2009
19718043,2009
19718042,2009
19718041,2009
19701186,2009
19701185,2009
19690537,2009
19690535,2009
19690534,2009
19690533,2009
19690532,2009
19690531,2009
19690530,2009
19684594,2009
19668195,2009
19668194,2009
19648934,2009
19648933,2009
19648932,2009
19648931,2009
19633659,2009
19620998,2009
19620997,2009
19620996,2009
19620995,2009
19620990,2009
19620988,2009
19620987,2009
19620986,2009
19620985,2009
19620981,2009
19597508,2009
19597507,2009
19578333,2009
19578332,2009
19561621,2009
19561620,2009
19561619,2009
19536101,2009
19536100,2009
19536099,2009
19525968,2009
19525967,2009
19483698,2009
19483697,2009
19483696,2009
19465933,2009
19465932,2009
19465931,2009
19448639,2009
19448638,2009
19448607,2009
19448600,2009
19430488,2009
19430487,2009
19430486,2009
19430485,2009
19430484,2009
19396179,2009
19396178,2009
19396177,2009
19396176,2009
19377460,2009
19377459,2009
19377458,2009
19377457,2009
19377456,2009
19377455,2009
19377454,2009
19377447,2009
19377446,2009
19349968,2009
19330013,2009
19330012,2009
19330011,2009
19305397,2009
19295526,2009
19295519,2009
19287398,2009
19270684,2009
19252499,2009
19234453,2009
19234452,2009
19219049,2009
19219011,2009
19202543,2009
19182784,2009
19182783,2009
19182782,2009
19172146,2009
19151732,2009
19151731,2009
19148176,2009
19148167,2009
19136976,2009
19136975,2009
19125157,2009
19125156,2009
19109595,2009
19109594,2009
19088715,2009
19088708,2009
19088707,2009
19079268,2009
19060912,2009
19029917,2009
19029916,2009
19011639,2009
19011638,2009
