pmid,year
31873299,2019
31873298,2019
31873297,2019
31844324,2019
31844323,2019
31844322,2019
31844321,2019
31784732,2019
31784730,2019
31784729,2019
31784728,2019
31784727,2019
31768072,2019
31768071,2019
31768069,2019
31740837,2019
31740836,2019
31740835,2019
31676868,2019
31676867,2019
31676866,2019
31676865,2019
31676864,2019
31676863,2019
31676862,2019
31676860,2019
31676859,2019
31659325,2019
31659324,2019
31659323,2019
31636452,2019
31578528,2019
31570896,2019
31570895,2019
31570894,2019
31570892,2019
31570891,2019
31570889,2019
31570888,2019
31548722,2019
31548721,2019
31548720,2019
31548717,2019
31548716,2019
31501517,2019
31477934,2019
31477933,2019
31477931,2019
31477930,2019
31477929,2019
31477927,2019
31427792,2019
31427791,2019
31427789,2019
31406348,2019
31406347,2019
31406346,2019
31367016,2019
31367015,2019
31358995,2019
31358994,2019
31358993,2019
31332381,2019
31332380,2019
31332379,2019
31308546,2019
31308545,2019
31253982,2019
31253980,2019
31253979,2019
31253978,2019
31253977,2019
31253976,2019
31253975,2019
31253974,2019
31253973,2019
31209396,2019
31209395,2019
31209394,2019
31209393,2019
31209392,2019
31182810,2019
31182809,2019
31152164,2019
31152163,2019
31152161,2019
31152159,2019
31133750,2019
31133749,2019
31133748,2019
31133746,2019
31133745,2019
31110352,2019
31110351,2019
31086351,2019
31043760,2019
31043759,2019
31043758,2019
31043757,2019
31043756,2019
31043755,2019
31043753,2019
31040401,2019
31036964,2019
31036963,2019
31028356,2019
31011212,2019
30992544,2019
30988516,2019
30988514,2019
30988513,2019
30988512,2019
30962619,2019
30962618,2019
30948796,2019
30926973,2019
30926972,2019
30926971,2019
30926970,2019
30926969,2019
30926968,2019
30926966,2019
30926965,2019
30926964,2019
30911162,2019
30911161,2019
30886426,2019
30886425,2019
30886424,2019
30858614,2019
30858613,2019
30846878,2019
30842601,2019
30833796,2019
30833795,2019
30820047,2019
30820045,2019
30816350,2019
30814726,2019
30804566,2019
30804565,2019
30804563,2019
30804562,2019
30804561,2019
30804560,2019
30804559,2019
30804558,2019
30804557,2019
30787474,2019
30778226,2019
30778225,2019
30778224,2019
30778223,2019
30742113,2019
30742112,2019
30718927,2019
30718926,2019
30696931,2019
30692682,2019
30692681,2019
30692680,2019
30664746,2019
30664745,2019
30647471,2019
30647470,2019
30643258,2019
30643257,2019
30643256,2019
30643255,2019
30643254,2019
30643253,2019
30643252,2019
30643251,2019
30643250,2019
30643249,2019
30643248,2019
30622367,2019
30617256,2019
30617255,2019
30598549,2019
30578418,2019
30578417,2019
30559491,2019
30559490,2019
30559489,2019
30559488,2019
30542102,2019
30542101,2019
30531872,2019
30531871,2019
30531870,2019
30514910,2019
30510241,2019
30510240,2019
30510239,2019
30510238,2019
30510237,2019
30510236,2019
30478444,2019
30478443,2019
30478442,2019
30478441,2019
30478440,2019
30478436,2019
30455415,2019
30455414,2019
30429576,2019
30420649,2019
30420647,2019
30397333,2019
