pmid,year
26691834,2015
26691833,2015
26691832,2015
26691831,2015
26691830,2015
26691829,2015
26691828,2015
26656646,2015
26656645,2015
26656644,2015
26656643,2015
26642092,2015
26642091,2015
26642090,2015
26642089,2015
26642088,2015
26642087,2015
26619358,2015
26619357,2015
26605882,2015
26605881,2015
26605880,2015
26605879,2015
26605878,2015
26605877,2015
26595656,2015
26595655,2015
26595654,2015
26595653,2015
26595652,2015
26595651,2015
26571461,2015
26571460,2015
26571459,2015
26551546,2015
26551545,2015
26551544,2015
26551543,2015
26551542,2015
26551541,2015
26523646,2015
26523645,2015
26523644,2015
26523643,2015
26523642,2015
26505566,2015
26505565,2015
26505564,2015
26505563,2015
26505562,2015
26505561,2015
26505560,2015
26505559,2015
26502263,2015
26502262,2015
26502261,2015
26502260,2015
26479590,2015
26479589,2015
26479588,2015
26479587,2015
26457555,2015
26457554,2015
26457553,2015
26457552,2015
26457551,2015
26436904,2015
26436903,2015
26436902,2015
26436901,2015
26436900,2015
26414616,2015
26414615,2015
26414614,2015
26404720,2015
26404719,2015
26404718,2015
26404717,2015
26404716,2015
26404715,2015
26404714,2015
26404713,2015
26404712,2015
26404711,2015
26404710,2015
26404709,2015
26404708,2015
26404707,2015
26389842,2015
26389841,2015
26389840,2015
26368944,2015
26368943,2015
26352792,2015
26343249,2015
26322928,2015
26322927,2015
26322926,2015
26322925,2015
26308983,2015
26308982,2015
26308981,2015
26308980,2015
26308979,2015
26308978,2015
26308977,2015
26308976,2015
26301327,2015
26301326,2015
26301325,2015
26280760,2015
26258683,2015
26258682,2015
26237367,2015
26237366,2015
26237365,2015
26237364,2015
26237363,2015
26237362,2015
26216462,2015
26216461,2015
26216460,2015
26216459,2015
26216458,2015
26214373,2015
26214372,2015
26214371,2015
26214370,2015
26214369,2015
26192748,2015
26192747,2015
26192746,2015
26192745,2015
26167906,2015
26167905,2015
26167904,2015
26147533,2015
26147532,2015
26120965,2015
26120964,2015
26120963,2015
26120962,2015
26120961,2015
26108722,2015
26108721,2015
26108720,2015
26108719,2015
26108718,2015
26108717,2015
26098758,2015
26098757,2015
26075643,2015
26053403,2015
26053402,2015
26030851,2015
26030850,2015
26030849,2015
26030848,2015
26030847,2015
26030846,2015
26007213,2015
26007212,2015
26007211,2015
26007210,2015
26007209,2015
26007208,2015
26005852,2015
26005851,2015
26005850,2015
26005849,2015
26005848,2015
25984890,2015
25984889,2015
25961792,2015
25961791,2015
25961790,2015
25938885,2015
25938884,2015
25938883,2015
25919962,2015
25919961,2015
25919960,2015
25919959,2015
25919958,2015
25919957,2015
25919956,2015
25915477,2015
25915476,2015
25915475,2015
25915474,2015
25915473,2015
25894291,2015
25894290,2015
25867122,2015
25867121,2015
25867120,2015
25849989,2015
25849988,2015
25849987,2015
25849986,2015
25849985,2015
25821914,2015
25821913,2015
25821912,2015
25821911,2015
25821910,2015
25821909,2015
25811478,2015
25811477,2015
25811476,2015
25811475,2015
25811474,2015
25803835,2015
25799041,2015
25799040,2015
25774451,2015
25774450,2015
25751534,2015
25751533,2015
25751532,2015
25751531,2015
25734491,2015
25730673,2015
25730672,2015
25730671,2015
25730670,2015
25730669,2015
25730668,2015
25714049,2015
25710839,2015
25710838,2015
25710837,2015
25710836,2015
25710835,2015
25710834,2015
25710833,2015
25710832,2015
25710831,2015
25710830,2015
25710827,2015
25706476,2015
25706475,2015
25706474,2015
25706473,2015
25706472,2015
25706471,2015
25686477,2015
25664914,2015
25664913,2015
25664912,2015
25664911,2015
25643299,2015
25643298,2015
25643297,2015
25643296,2015
25643295,2015
25643294,2015
25622573,2015
25622572,2015
25622571,2015
25622570,2015
25622569,2015
25622146,2015
25622145,2015
25622144,2015
25622143,2015
25599224,2015
25599223,2015
25599222,2015
25599221,2015
25581364,2015
25581363,2015
25581362,2015
25581361,2015
25581360,2015
25581359,2015
25559082,2015
25559081,2015
25531573,2015
25531572,2015
25531571,2015
25531570,2015
25531569,2015
25501037,2015
25501036,2015
25501035,2015
25485759,2015
25485758,2015
25485757,2015
25485756,2015
25485755,2015
25469543,2015
25436667,2015
25436666,2015
25420070,2015
25420069,2015
25420068,2015
25420067,2015
25420066,2015
25420065,2015
