pmid,year
7493036,1995
7493035,1995
7493034,1995
7493033,1995
7493032,1995
7493031,1995
7493030,1995
7493029,1995
7493028,1995
7493027,1995
7493026,1995
7493025,1995
7493024,1995
7493023,1995
7493022,1995
7493021,1995
7493020,1995
7493019,1995
7493018,1995
7493017,1995
7493016,1995
7493015,1995
7493014,1995
7489417,1995
7489416,1995
7489415,1995
7489414,1995
7489413,1995
7489412,1995
7489411,1995
7489410,1995
7489409,1995
7489408,1995
7489407,1995
7489406,1995
7489405,1995
7489404,1995
7489403,1995
7489402,1995
7489401,1995
7489400,1995
7489399,1995
7489398,1995
7489397,1995
7489396,1995
7489395,1995
7584999,1995
7584998,1995
7584997,1995
7584996,1995
7584995,1995
7584994,1995
7584993,1995
7584992,1995
7584991,1995
7584990,1995
7584989,1995
7584988,1995
7584987,1995
7584985,1995
7584984,1995
7584983,1995
7584982,1995
7584981,1995
7584980,1995
7584979,1995
7584978,1995
7584977,1995
7584976,1995
7584975,1995
7584974,1995
7581465,1995
7581464,1995
7581463,1995
7581462,1995
7581461,1995
7581460,1995
7581459,1995
7581458,1995
7581457,1995
7581456,1995
7581455,1995
7581454,1995
7581453,1995
7581452,1995
7581451,1995
7581450,1995
7581449,1995
7581448,1995
7581447,1995
7581446,1995
7550356,1995
7550355,1995
7550354,1995
7550353,1995
7550352,1995
7550351,1995
7550350,1995
7550349,1995
7550348,1995
7550347,1995
7550346,1995
7550345,1995
7550344,1995
7550343,1995
7550342,1995
7550341,1995
7550340,1995
7550339,1995
7550338,1995
7550337,1995
7489384,1995
7489383,1995
7489382,1995
7489381,1995
7489380,1995
7489369,1995
7489368,1995
7489367,1995
7489366,1995
7489365,1995
7489364,1995
7489363,1995
7489362,1995
7489361,1995
7489360,1995
7489359,1995
7489358,1995
7489357,1995
7489356,1995
7489355,1995
7489354,1995
7489353,1995
7489352,1995
7489351,1995
7585229,1995
7585228,1995
7585227,1995
7585226,1995
7585225,1995
7585224,1995
7585223,1995
7585222,1995
7585221,1995
7585220,1995
7585219,1995
7585218,1995
7585217,1995
7585216,1995
7585215,1995
