pmid,year
10680021,1999
10637515,1999
10637514,1999
10637513,1999
10637512,1999
10637511,1999
10637510,1999
10637509,1999
10637508,1999
10637507,1999
10637506,1999
10637505,1999
10637504,1999
10637503,1999
10630644,1999
10630643,1999
10630642,1999
10630641,1999
10630640,1999
10630639,1999
10630638,1999
10630637,1999
10618726,1999
10618725,1999
10618724,1999
10618723,1999
10618722,1999
10618721,1999
10618720,1999
10618719,1999
10618718,1999
10618717,1999
10618716,1999
10618715,1999
10618714,1999
10618713,1999
10618712,1999
10618711,1999
10618710,1999
10618709,1999
10618708,1999
10618707,1999
10618706,1999
10618705,1999
10618704,1999
10618703,1999
10618702,1999
10602522,1999
10602521,1999
10602520,1999
10602519,1999
10602518,1999
10602517,1999
10602516,1999
10602515,1999
10602514,1999
10602513,1999
10602512,1999
10602511,1999
10602510,1999
10602509,1999
10602508,1999
10602507,1999
10602506,1999
10602505,1999
10602504,1999
10602503,1999
10602502,1999
10602501,1999
10602500,1999
10602499,1999
10602498,1999
10602497,1999
10602496,1999
10602495,1999
10602494,1999
10602493,1999
10602492,1999
10602491,1999
10602490,1999
10602489,1999
10602488,1999
10602487,1999
10602486,1999
10602485,1999
10602484,1999
10602483,1999
10602482,1999
10602481,1999
10602480,1999
10602479,1999
10602478,1999
10602477,1999
10602476,1999
10602475,1999
10602474,1999
10602473,1999
10602472,1999
10602471,1999
10602470,1999
10602469,1999
10602468,1999
10602467,1999
10602466,1999
10602465,1999
10602464,1999
10602463,1999
10602462,1999
10602461,1999
10602460,1999
10602459,1999
10597320,1999
10597319,1999
10597318,1999
10597317,1999
10597316,1999
10597315,1999
10597314,1999
10597313,1999
10597312,1999
10597311,1999
10597310,1999
10597309,1999
10597308,1999
10597307,1999
10597306,1999
10597305,1999
10597304,1999
10597303,1999
10597302,1999
10597301,1999
10597300,1999
10597299,1999
10597298,1999
10597297,1999
10597296,1999
10597295,1999
10597294,1999
10597293,1999
10597292,1999
10597291,1999
10597290,1999
10597289,1999
10597288,1999
10597287,1999
10597286,1999
10597285,1999
10597284,1999
10597283,1999
10597282,1999
10597281,1999
10597280,1999
10597279,1999
10597278,1999
10597277,1999
10597276,1999
10597275,1999
10597274,1999
10597273,1999
10597272,1999
10597271,1999
10597270,1999
10597269,1999
10597268,1999
10597267,1999
10597266,1999
10597265,1999
10597264,1999
10597263,1999
10597262,1999
10597261,1999
10597260,1999
10597259,1999
10597258,1999
10597257,1999
10597256,1999
10597255,1999
10597254,1999
10597253,1999
10597252,1999
10597251,1999
10597250,1999
10597249,1999
10597248,1999
10597247,1999
10597246,1999
10597245,1999
10597244,1999
10597243,1999
10597242,1999
10597241,1999
10597240,1999
10597239,1999
10597238,1999
10597237,1999
10597236,1999
10597235,1999
10597234,1999
10597233,1999
10597232,1999
10597231,1999
10597230,1999
10597229,1999
10597228,1999
10597227,1999
10597226,1999
10597225,1999
10597224,1999
10597223,1999
10597222,1999
10597221,1999
10597220,1999
10597219,1999
10597218,1999
10597217,1999
10597216,1999
10577141,1999
10557109,1999
10557108,1999
10557107,1999
10557106,1999
10557105,1999
10557104,1999
10557103,1999
10557102,1999
10557101,1999
10557100,1999
10557099,1999
10557097,1999
10557096,1999
10557095,1999
10557094,1999
10557093,1999
10557092,1999
10557091,1999
10557090,1999
10557089,1999
10557088,1999
10557087,1999
10557086,1999
10557085,1999
10557084,1999
10557083,1999
10557082,1999
10557081,1999
10557080,1999
10557079,1999
10557078,1999
10557077,1999
10557076,1999
10557075,1999
10557074,1999
10557073,1999
10557072,1999
10557071,1999
10523865,1999
10523864,1999
10523863,1999
10523862,1999
10523861,1999
10523860,1999
10523859,1999
10523858,1999
10523857,1999
10523856,1999
10523855,1999
10523854,1999
10523853,1999
10523852,1999
10523851,1999
10523850,1999
10523849,1999
10523848,1999
10523847,1999
10523846,1999
10523845,1999
10523844,1999
10523843,1999
10523842,1999
10523841,1999
10523840,1999
10523839,1999
10523838,1999
10523837,1999
10523836,1999
10523835,1999
10523834,1999
10523833,1999
10523832,1999
10523831,1999
10523830,1999
10523829,1999
10523828,1999
10523827,1999
10523826,1999
10523825,1999
10498903,1999
10498902,1999
10498901,1999
10498900,1999
10498899,1999
10498898,1999
10498897,1999
10498896,1999
10498895,1999
10498894,1999
10498893,1999
10498892,1999
10498891,1999
10498890,1999
10498889,1999
10498888,1999
10498887,1999
10498886,1999
10498885,1999
10498884,1999
10498883,1999
10498882,1999
10498881,1999
10498880,1999
10498879,1999
10498878,1999
10498877,1999
10498876,1999
10498874,1999
10498873,1999
10498872,1999
10498871,1999
10498870,1999
