pmid,year
24475471,2013
24373884,2013
24373883,2013
24369373,2013
24369372,2013
24367811,2013
24362763,2013
24362762,2013
24362761,2013
24362760,2013
24362759,2013
24361078,2013
24361077,2013
24361076,2013
24360884,2013
24360883,2013
24360551,2013
24360550,2013
24360549,2013
24360548,2013
24360547,2013
24360546,2013
24360545,2013
24360544,2013
24360543,2013
24360542,2013
24360541,2013
24360540,2013
24360539,2013
24360538,2013
24360537,2013
24360536,2013
24336151,2013
24336150,2013
24333055,2013
24333053,2013
24332837,2013
24332836,2013
24316890,2013
24316889,2013
24316888,2013
24316296,2013
24315444,2013
24315443,2013
24315442,2013
24315441,2013
24315440,2013
24315439,2013
24315438,2013
24315437,2013
24315436,2013
24315435,2013
24315434,2013
24315433,2013
24314733,2013
24314732,2013
24314731,2013
24314730,2013
24314729,2013
24314728,2013
24314727,2013
24314726,2013
24314725,2013
24314724,2013
24314723,2013
24314722,2013
24314721,2013
24292233,2013
24292232,2013
24290205,2013
24290204,2013
24270272,2013
24270271,2013
24270270,2013
24270269,2013
24270268,2013
24270188,2013
24270187,2013
24270186,2013
24270185,2013
24270184,2013
24268696,2013
24268695,2013
24268694,2013
24268419,2013
24268418,2013
24267657,2013
24267656,2013
24267655,2013
24267654,2013
24267653,2013
24267652,2013
24267651,2013
24267650,2013
24267649,2013
24267648,2013
24267647,2013
24267646,2013
24267645,2013
24267644,2013
24267643,2013
24241397,2013
24241396,2013
24241395,2013
24241394,2013
24239285,2013
24239284,2013
24239126,2013
24239125,2013
24239124,2013
24239123,2013
24212674,2013
24212673,2013
24212672,2013
24212671,2013
24212670,2013
24210908,2013
24210907,2013
24210906,2013
24210905,2013
24210904,2013
24209762,2013
24209761,2013
24209760,2013
24209759,2013
24209758,2013
24209757,2013
24209756,2013
24209755,2013
24209754,2013
24206670,2013
24206669,2013
24185428,2013
24185427,2013
24185426,2013
24185425,2013
24185424,2013
24185423,2013
24183705,2013
24183704,2013
24183031,2013
24183030,2013
24183029,2013
24183028,2013
24183027,2013
24183026,2013
24183025,2013
24183024,2013
24183023,2013
24183022,2013
24183021,2013
24183020,2013
24183019,2013
24183018,2013
24183017,2013
24183016,2013
24183015,2013
24183014,2013
24183013,2013
24183012,2013
24183011,2013
24183010,2013
24183009,2013
24183008,2013
24183007,2013
24165681,2013
24165680,2013
24165679,2013
24165678,2013
24165673,2013
24162656,2013
24162655,2013
24162654,2013
24162653,2013
24162652,2013
24162651,2013
24162650,2013
24141314,2013
24141313,2013
24141312,2013
24141311,2013
24141310,2013
24141309,2013
24139818,2013
24139817,2013
24139759,2013
24139758,2013
24139757,2013
24139050,2013
24139049,2013
24139048,2013
24139047,2013
24139046,2013
24139045,2013
24139044,2013
24139043,2013
24139042,2013
24139041,2013
24139040,2013
24139039,2013
24139038,2013
24139037,2013
24139036,2013
24139035,2013
24139034,2013
24139033,2013
24139032,2013
24139031,2013
24139030,2013
24139029,2013
24139028,2013
24139027,2013
24139026,2013
