pmid,query_name
12511566,basic_2002
12509442,basic_2002
12509441,basic_2002
12509440,basic_2002
12509439,basic_2002
12509438,basic_2002
12509437,basic_2002
12509436,basic_2002
12509435,basic_2002
12509434,basic_2002
12509433,basic_2002
12509432,basic_2002
12509431,basic_2002
12509430,basic_2002
12509429,basic_2002
12509428,basic_2002
12509427,basic_2002
12509426,basic_2002
12509425,basic_2002
12509424,basic_2002
12509423,basic_2002
12509422,basic_2002
12509419,basic_2002
12509418,basic_2002
12509417,basic_2002
12509416,basic_2002
12509415,basic_2002
12509414,basic_2002
12509413,basic_2002
12509412,basic_2002
12509351,basic_2002
12506124,basic_2002
12506123,basic_2002
12506122,basic_2002
12506121,basic_2002
12506120,basic_2002
12506119,basic_2002
12506118,basic_2002
12506117,basic_2002
12506116,basic_2002
12506115,basic_2002
12506114,basic_2002
12506113,basic_2002
12506111,basic_2002
12506109,basic_2002
12506108,basic_2002
12502719,basic_2002
12502718,basic_2002
12502717,basic_2002
12502716,basic_2002
12502715,basic_2002
12502714,basic_2002
12502713,basic_2002
12502712,basic_2002
12502711,basic_2002
12502710,basic_2002
12502709,basic_2002
12502708,basic_2002
12502707,basic_2002
12501252,basic_2002
12501250,basic_2002
12501249,basic_2002
12501248,basic_2002
12501247,basic_2002
12501246,basic_2002
12501245,basic_2002
12501243,basic_2002
12501242,basic_2002
12501241,basic_2002
12501240,basic_2002
12501239,basic_2002
12501238,basic_2002
12500977,basic_2002
12500976,basic_2002
12500975,basic_2002
12500974,basic_2002
12500973,basic_2002
12500972,basic_2002
12500971,basic_2002
12499389,basic_2002
12499388,basic_2002
12499387,basic_2002
12499386,basic_2002
12499385,basic_2002
12499384,basic_2002
12499383,basic_2002
12499382,basic_2002
12499381,basic_2002
12499380,basic_2002
12499379,basic_2002
12499376,basic_2002
12499375,basic_2002
12499374,basic_2002
12499373,basic_2002
12499372,basic_2002
12499371,basic_2002
12499370,basic_2002
12499369,basic_2002
12499368,basic_2002
12499367,basic_2002
12499366,basic_2002
12499365,basic_2002
12499364,basic_2002
12499363,basic_2002
12499362,basic_2002
12496312,basic_2002
12496311,basic_2002
12496310,basic_2002
12496295,basic_2002
12496294,basic_2002
12496293,basic_2002
12496292,basic_2002
12496291,basic_2002
12496290,basic_2002
12496289,basic_2002
12496288,basic_2002
12496287,basic_2002
12496286,basic_2002
12496284,basic_2002
12496283,basic_2002
12496282,basic_2002
12496281,basic_2002
12496280,basic_2002
12496279,basic_2002
12496278,basic_2002
12496277,basic_2002
12496276,basic_2002
12496275,basic_2002
12496274,basic_2002
12496273,basic_2002
12496272,basic_2002
12496271,basic_2002
12496269,basic_2002
12496268,basic_2002
12496267,basic_2002
12496266,basic_2002
12496265,basic_2002
12496264,basic_2002
12496263,basic_2002
12496262,basic_2002
12496261,basic_2002
12496260,basic_2002
12496259,basic_2002
12496258,basic_2002
12496257,basic_2002
12496256,basic_2002
12496255,basic_2002
12496253,basic_2002
12496252,basic_2002
12496251,basic_2002
12496250,basic_2002
12496249,basic_2002
12496247,basic_2002
12496246,basic_2002
12496245,basic_2002
12496244,basic_2002
12496243,basic_2002
12496242,basic_2002
12496241,basic_2002
12496240,basic_2002
12493778,basic_2002
12493777,basic_2002
12493776,basic_2002
12493775,basic_2002
12493774,basic_2002
12493772,basic_2002
12493771,basic_2002
12493770,basic_2002
12493769,basic_2002
12493768,basic_2002
12493766,basic_2002
12493765,basic_2002
12493764,basic_2002
12493762,basic_2002
12493761,basic_2002
12493760,basic_2002
12493759,basic_2002
12493758,basic_2002
12493757,basic_2002
12493756,basic_2002
12493755,basic_2002
12493754,basic_2002
12493753,basic_2002
12493752,basic_2002
12493751,basic_2002
12493749,basic_2002
12493748,basic_2002
12493747,basic_2002
12493746,basic_2002
12493745,basic_2002
12493744,basic_2002
12493743,basic_2002
12493742,basic_2002
12493740,basic_2002
12493739,basic_2002
12493738,basic_2002
12493736,basic_2002
12493735,basic_2002
12493734,basic_2002
12493733,basic_2002
12493732,basic_2002
12493731,basic_2002
12490549,basic_2002
12490546,basic_2002
12490544,basic_2002
12490543,basic_2002
12490542,basic_2002
12490540,basic_2002
12490536,basic_2002
12488460,basic_2002
12488459,basic_2002
12488458,basic_2002
12488457,basic_2002
12488456,basic_2002
12488455,basic_2002
12488454,basic_2002
12488453,basic_2002
12488452,basic_2002
12488451,basic_2002
12488450,basic_2002
12488449,basic_2002
12488448,basic_2002
12488447,basic_2002
12488446,basic_2002
12488445,basic_2002
12488444,basic_2002
12488443,basic_2002
12488442,basic_2002
12488441,basic_2002
12488440,basic_2002
12488439,basic_2002
12488438,basic_2002
12488320,basic_2002
12488319,basic_2002
12488318,basic_2002
12488317,basic_2002
12488316,basic_2002
12488315,basic_2002
12488314,basic_2002
12486139,basic_2002
12486138,basic_2002
