pmid,query_name
29373866,fundamental_2017
29288241,fundamental_2017
29288197,fundamental_2017
29284678,fundamental_2017
29284676,fundamental_2017
29282295,fundamental_2017
29282294,fundamental_2017
29282293,fundamental_2017
29282292,fundamental_2017
29282290,fundamental_2017
29282289,fundamental_2017
29282288,fundamental_2017
29282286,fundamental_2017
29279331,fundamental_2017
29279330,fundamental_2017
29279329,fundamental_2017
29276178,fundamental_2017
29276177,fundamental_2017
29275330,fundamental_2017
29273634,fundamental_2017
29273633,fundamental_2017
29273584,fundamental_2017
29269415,fundamental_2017
29269414,fundamental_2017
29269412,fundamental_2017
29269411,fundamental_2017
29263092,fundamental_2017
29263091,fundamental_2017
29263090,fundamental_2017
29259136,fundamental_2017
29259135,fundamental_2017
29259132,fundamental_2017
29259131,fundamental_2017
29259130,fundamental_2017
29259129,fundamental_2017
29259128,fundamental_2017
29259127,fundamental_2017
29259126,fundamental_2017
29259125,fundamental_2017
29255093,fundamental_2017
29255092,fundamental_2017
29255091,fundamental_2017
29255090,fundamental_2017
29255089,fundamental_2017
29247130,fundamental_2017
29247010,fundamental_2017
29247009,fundamental_2017
29247008,fundamental_2017
29247007,fundamental_2017
29247006,fundamental_2017
29247005,fundamental_2017
29242193,fundamental_2017
29242192,fundamental_2017
29242190,fundamental_2017
29242189,fundamental_2017
29237734,fundamental_2017
29237733,fundamental_2017
29237732,fundamental_2017
29237731,fundamental_2017
29237730,fundamental_2017
29237729,fundamental_2017
29233891,fundamental_2017
29233890,fundamental_2017
29233889,fundamental_2017
29229781,fundamental_2017
29229779,fundamental_2017
29229778,fundamental_2017
29229777,fundamental_2017
29229776,fundamental_2017
29229775,fundamental_2017
29222335,fundamental_2017
29222334,fundamental_2017
29222333,fundamental_2017
29222332,fundamental_2017
29222330,fundamental_2017
29222329,fundamental_2017
29222328,fundamental_2017
29222194,fundamental_2017
29222193,fundamental_2017
29217773,fundamental_2017
29217772,fundamental_2017
29217771,fundamental_2017
29217769,fundamental_2017
29212708,fundamental_2017
29212707,fundamental_2017
29212706,fundamental_2017
29208657,fundamental_2017
29208656,fundamental_2017
29203529,fundamental_2017
29203528,fundamental_2017
29203527,fundamental_2017
29203526,fundamental_2017
29196608,fundamental_2017
29196607,fundamental_2017
29196606,fundamental_2017
29196605,fundamental_2017
29196604,fundamental_2017
29196602,fundamental_2017
29196569,fundamental_2017
29191937,fundamental_2017
29191836,fundamental_2017
29191835,fundamental_2017
29191834,fundamental_2017
29191833,fundamental_2017
29191832,fundamental_2017
29191831,fundamental_2017
29191830,fundamental_2017
29191828,fundamental_2017
29187603,fundamental_2017
29187602,fundamental_2017
29187601,fundamental_2017
29187599,fundamental_2017
29187598,fundamental_2017
29187597,fundamental_2017
29187596,fundamental_2017
29187595,fundamental_2017
29184004,fundamental_2017
29184003,fundamental_2017
29184002,fundamental_2017
29184000,fundamental_2017
29183999,fundamental_2017
29183996,fundamental_2017
29183994,fundamental_2017
29183993,fundamental_2017
29183992,fundamental_2017
29180452,fundamental_2017
29180451,fundamental_2017
29180450,fundamental_2017
29180449,fundamental_2017
29180448,fundamental_2017
29180446,fundamental_2017
29175904,fundamental_2017
29175817,fundamental_2017
29167270,fundamental_2017
29167269,fundamental_2017
29167268,fundamental_2017
29162725,fundamental_2017
29162723,fundamental_2017
29162722,fundamental_2017
29162721,fundamental_2017
29162720,fundamental_2017
29158266,fundamental_2017
29158265,fundamental_2017
29158264,fundamental_2017
29158263,fundamental_2017
29158262,fundamental_2017
29158261,fundamental_2017
29158260,fundamental_2017
29158259,fundamental_2017
29158258,fundamental_2017
29158257,fundamental_2017
29150447,fundamental_2017
29150446,fundamental_2017
29150445,fundamental_2017
29150443,fundamental_2017
29150441,fundamental_2017
29146598,fundamental_2017
29146597,fundamental_2017
29146596,fundamental_2017
29146595,fundamental_2017
29146594,fundamental_2017
29141910,fundamental_2017
29138240,fundamental_2017
29138239,fundamental_2017
29133527,fundamental_2017
29133526,fundamental_2017
29133525,fundamental_2017
29127205,fundamental_2017
29127203,fundamental_2017
29127202,fundamental_2017
29127201,fundamental_2017
