pmid,query_name
33411401,therapeutics_2020
33277360,therapeutics_2020
33243834,therapeutics_2020
33200449,therapeutics_2020
33172893,therapeutics_2020
33051208,therapeutics_2020
32788213,therapeutics_2020
32738178,therapeutics_2020
32727846,therapeutics_2020
32614469,therapeutics_2020
32501606,therapeutics_2020
32421247,therapeutics_2020
32333610,therapeutics_2020
32293073,therapeutics_2020
32027421,therapeutics_2020
32005661,therapeutics_2020
31914675,therapeutics_2020
31811088,therapeutics_2020
