pmid,query_name
9395540,translational_1997
9395516,translational_1997
9395486,translational_1997
9395482,translational_1997
9349506,translational_1997
9349504,translational_1997
9349503,translational_1997
9349500,translational_1997
9349498,translational_1997
9349497,translational_1997
9349505,translational_1997
9407138,translational_1997
9407118,translational_1997
9407097,translational_1997
9407061,translational_1997
9407054,translational_1997
9444960,translational_1997
9444956,translational_1997
9444955,translational_1997
9444954,translational_1997
9444953,translational_1997
9444952,translational_1997
9444950,translational_1997
9444949,translational_1997
9405482,translational_1997
9405466,translational_1997
9405459,translational_1997
9405456,translational_1997
9405449,translational_1997
9405445,translational_1997
9405444,translational_1997
9405430,translational_1997
9405411,translational_1997
9405391,translational_1997
9405387,translational_1997
9405382,translational_1997
9388270,translational_1997
9388259,translational_1997
9388247,translational_1997
9388225,translational_1997
9388203,translational_1997
9388193,translational_1997
9388191,translational_1997
9419979,translational_1997
9419978,translational_1997
9419974,translational_1997
9419972,translational_1997
9419970,translational_1997
9419969,translational_1997
9419968,translational_1997
9416844,translational_1997
9416842,translational_1997
9416841,translational_1997
9416838,translational_1997
9416837,translational_1997
9416836,translational_1997
9409551,translational_1997
9409546,translational_1997
9374552,translational_1997
9374479,translational_1997
9368067,translational_1997
9368050,translational_1997
9368029,translational_1997
9368008,translational_1997
9368001,translational_1997
9401000,translational_1997
9400999,translational_1997
9400997,translational_1997
9400995,translational_1997
9399650,translational_1997
9399649,translational_1997
9399648,translational_1997
9399646,translational_1997
9399643,translational_1997
9395246,translational_1997
9395242,translational_1997
9395241,translational_1997
9395239,translational_1997
9393981,translational_1997
9393974,translational_1997
9393973,translational_1997
9393972,translational_1997
9393971,translational_1997
9393881,translational_1997
9393878,translational_1997
9393871,translational_1997
9367351,translational_1997
9367343,translational_1997
9367339,translational_1997
9366529,translational_1997
9366528,translational_1997
9366527,translational_1997
9366524,translational_1997
9366521,translational_1997
9366520,translational_1997
9366518,translational_1997
9361021,translational_1997
9361019,translational_1997
9361012,translational_1997
9361010,translational_1997
9361003,translational_1997
9360997,translational_1997
9365246,translational_1997
9365245,translational_1997
9365240,translational_1997
9365237,translational_1997
9365233,translational_1997
9362453,translational_1997
9362450,translational_1997
9362448,translational_1997
9362447,translational_1997
9353349,translational_1997
9353324,translational_1997
9353320,translational_1997
9346950,translational_1997
9346940,translational_1997
9346882,translational_1997
9346879,translational_1997
9325299,translational_1997
9325287,translational_1997
9325280,translational_1997
9380415,translational_1997
9380414,translational_1997
9380412,translational_1997
9380409,translational_1997
9380406,translational_1997
9380403,translational_1997
9341162,translational_1997
9341152,translational_1997
9341140,translational_1997
9337156,translational_1997
9337149,translational_1997
9337148,translational_1997
9337147,translational_1997
9337146,translational_1997
9337145,translational_1997
9334262,translational_1997
9334259,translational_1997
9334253,translational_1997
9334239,translational_1997
9334234,translational_1997
9334228,translational_1997
9334224,translational_1997
9334223,translational_1997
9334205,translational_1997
9333024,translational_1997
9333020,translational_1997
9333017,translational_1997
9333016,translational_1997
9333013,translational_1997
9315104,translational_1997
9315101,translational_1997
9315100,translational_1997
9315099,translational_1997
9315096,translational_1997
9315094,translational_1997
9315093,translational_1997
9312550,translational_1997
9312157,translational_1997
9312146,translational_1997
9312124,translational_1997
9312066,translational_1997
9305942,translational_1997
9305941,translational_1997
9305908,translational_1997
9305907,translational_1997
9305871,translational_1997
9305854,translational_1997
9295289,translational_1997
9294615,translational_1997
9294614,translational_1997
9294613,translational_1997
9294612,translational_1997
9294610,translational_1997
9294606,translational_1997
9287344,translational_1997
9287299,translational_1997
9287290,translational_1997
9278453,translational_1997
9278395,translational_1997
9285483,translational_1997
9268365,translational_1997
9268345,translational_1997
9268294,translational_1997
9285567,translational_1997
9285565,translational_1997
9285563,translational_1997
9285560,translational_1997
9285559,translational_1997
9261166,translational_1997
9261162,translational_1997
9261157,translational_1997
9261103,translational_1997
9261098,translational_1997
9261091,translational_1997
9285695,translational_1997
9285694,translational_1997
9285690,translational_1997
9285688,translational_1997
9285685,translational_1997
9252398,translational_1997
9252397,translational_1997
9252386,translational_1997
9252368,translational_1997
9252346,translational_1997
9266974,translational_1997
9266972,translational_1997
9266966,translational_1997
9266964,translational_1997
9266963,translational_1997
9242692,translational_1997
9242662,translational_1997
9271364,translational_1997
9271359,translational_1997
9235968,translational_1997
9247310,translational_1997
9247307,translational_1997
9247305,translational_1997
9247304,translational_1997
9228077,translational_1997
9228073,translational_1997
9228072,translational_1997
9228047,translational_1997
9228032,translational_1997
9228031,translational_1997
9228025,translational_1997
9242383,translational_1997
9242382,translational_1997
9242380,translational_1997
9242379,translational_1997
9242377,translational_1997
9242376,translational_1997
9242375,translational_1997
9218487,translational_1997
9218431,translational_1997
9218423,translational_1997
9218412,translational_1997
9233771,translational_1997
9233770,translational_1997
9233767,translational_1997
9233765,translational_1997
9233762,translational_1997
9233761,translational_1997
9233760,translational_1997
9211894,translational_1997
9211887,translational_1997
9211868,translational_1997
9244358,translational_1997
9244357,translational_1997
9244353,translational_1997
9244352,translational_1997
9202046,translational_1997
9202045,translational_1997
9202030,translational_1997
