pmid,query_name
33349707,basic_2020
33349701,basic_2020
33349699,basic_2020
33328654,basic_2020
33318687,basic_2020
33318652,basic_2020
33288957,basic_2020
33288918,basic_2020
33288906,basic_2020
33288905,basic_2020
33288904,basic_2020
33288888,basic_2020
33273741,basic_2020
33273733,basic_2020
33257899,basic_2020
33257873,basic_2020
33257861,basic_2020
33257808,basic_2020
33257807,basic_2020
33257806,basic_2020
33230303,basic_2020
33230301,basic_2020
33230299,basic_2020
33230297,basic_2020
33230293,basic_2020
33230292,basic_2020
33199916,basic_2020
33199915,basic_2020
33199914,basic_2020
33199912,basic_2020
33199910,basic_2020
33199909,basic_2020
33199908,basic_2020
33199907,basic_2020
33199906,basic_2020
33199905,basic_2020
33199904,basic_2020
33199903,basic_2020
33199876,basic_2020
33199845,basic_2020
33199844,basic_2020
33169036,basic_2020
33169035,basic_2020
33169034,basic_2020
33169017,basic_2020
33168978,basic_2020
33144720,basic_2020
33139952,basic_2020
33139950,basic_2020
33139939,basic_2020
33139938,basic_2020
33128047,basic_2020
33106685,basic_2020
33106681,basic_2020
33106663,basic_2020
33106662,basic_2020
33106661,basic_2020
33106660,basic_2020
33106654,basic_2020
33106631,basic_2020
33082574,basic_2020
33077978,basic_2020
33077962,basic_2020
33077960,basic_2020
33077916,basic_2020
33077915,basic_2020
33077914,basic_2020
33077913,basic_2020
33067603,basic_2020
33067602,basic_2020
33067596,basic_2020
33067595,basic_2020
33046883,basic_2020
33046875,basic_2020
33046851,basic_2020
33020665,basic_2020
33020664,basic_2020
33020633,basic_2020
33020626,basic_2020
33020604,basic_2020
32999490,basic_2020
32989325,basic_2020
32989322,basic_2020
32989320,basic_2020
32989302,basic_2020
32989301,basic_2020
32989300,basic_2020
32989299,basic_2020
32989298,basic_2020
32989297,basic_2020
32989249,basic_2020
32989248,basic_2020
32989247,basic_2020
32989246,basic_2020
32968235,basic_2020
32958957,basic_2020
32958953,basic_2020
32958950,basic_2020
32958856,basic_2020
32958855,basic_2020
32943790,basic_2020
32943788,basic_2020
32929285,basic_2020
32929279,basic_2020
32929278,basic_2020
32929277,basic_2020
32929267,basic_2020
32929266,basic_2020
32929264,basic_2020
32929202,basic_2020
32908284,basic_2020
32908283,basic_2020
32908274,basic_2020
32908273,basic_2020
32908258,basic_2020
32908257,basic_2020
32908256,basic_2020
32895550,basic_2020
32895548,basic_2020
32895498,basic_2020
32895497,basic_2020
32895492,basic_2020
32884148,basic_2020
32884147,basic_2020
32879511,basic_2020
32879510,basic_2020
32879467,basic_2020
32868914,basic_2020
32868913,basic_2020
32868908,basic_2020
32868903,basic_2020
32868901,basic_2020
32868900,basic_2020
32868899,basic_2020
32868895,basic_2020
32839623,basic_2020
32839619,basic_2020
32839605,basic_2020
32839604,basic_2020
32839564,basic_2020
32839551,basic_2020
32839550,basic_2020
32812007,basic_2020
32807988,basic_2020
32807969,basic_2020
32807968,basic_2020
32807967,basic_2020
32807966,basic_2020
32807965,basic_2020
32807963,basic_2020
32807933,basic_2020
32807932,basic_2020
32807930,basic_2020
32807903,basic_2020
32807902,basic_2020
32807901,basic_2020
32778846,basic_2020
32778845,basic_2020
32778844,basic_2020
32778843,basic_2020
32778842,basic_2020
32778840,basic_2020
32778823,basic_2020
32760020,basic_2020
32753672,basic_2020
32753669,basic_2020
32753668,basic_2020
32747822,basic_2020
32747821,basic_2020
32747811,basic_2020
32747810,basic_2020
32747809,basic_2020
32747759,basic_2020
32719558,basic_2020
32719557,basic_2020
32719556,basic_2020
32719555,basic_2020
32719553,basic_2020
32719552,basic_2020
32719517,basic_2020
32719516,basic_2020
32719479,basic_2020
32719478,basic_2020
32704180,basic_2020
32694636,basic_2020
32690973,basic_2020
32690972,basic_2020
32690971,basic_2020
32690970,basic_2020
32690947,basic_2020
32690945,basic_2020
32690944,basic_2020
32690942,basic_2020
32690941,basic_2020
32690888,basic_2020
32686750,basic_2020
32665660,basic_2020
32665639,basic_2020
32661440,basic_2020
32661439,basic_2020
32661438,basic_2020
32661379,basic_2020
32661378,basic_2020
32661377,basic_2020
32651577,basic_2020
32641851,basic_2020
32641843,basic_2020
32641767,basic_2020
32632336,basic_2020
32632303,basic_2020
32632302,basic_2020
32632301,basic_2020
32632300,basic_2020
32632294,basic_2020
32632293,basic_2020
32632191,basic_2020
32606475,basic_2020
32601486,basic_2020
32601485,basic_2020
32601484,basic_2020
32601478,basic_2020
32601474,basic_2020
32601472,basic_2020
32601434,basic_2020
32601433,basic_2020
32601432,basic_2020
32601431,basic_2020
32601430,basic_2020
32601373,basic_2020
32601371,basic_2020
32591745,basic_2020
32572278,basic_2020
32572276,basic_2020
32572275,basic_2020
32572269,basic_2020
32572258,basic_2020
32572257,basic_2020
32572210,basic_2020
32555381,basic_2020
32541967,basic_2020
32541966,basic_2020
32541965,basic_2020
32541958,basic_2020
32541957,basic_2020
32541955,basic_2020
32541877,basic_2020
32528152,basic_2020
32528151,basic_2020
32518404,basic_2020
32518401,basic_2020
32514184,basic_2020
32514183,basic_2020
32514182,basic_2020
32514170,basic_2020
32514125,basic_2020
32514124,basic_2020
32514123,basic_2020
32514071,basic_2020
32504054,basic_2020
32483386,basic_2020
32483380,basic_2020
32483379,basic_2020
32483378,basic_2020
32483377,basic_2020
32483376,basic_2020
32483365,basic_2020
32483364,basic_2020
32483363,basic_2020
32483358,basic_2020
32483291,basic_2020
32461697,basic_2020
32451509,basic_2020
32451508,basic_2020
32451507,basic_2020
32451506,basic_2020
32451505,basic_2020
32451458,basic_2020
32451441,basic_2020
32444838,basic_2020
32444837,basic_2020
32444835,basic_2020
32444834,basic_2020
32440005,basic_2020
32433547,basic_2020
32427983,basic_2020
32424355,basic_2020
32424354,basic_2020
32424351,basic_2020
32424350,basic_2020
32424305,basic_2020
32424304,basic_2020
32424303,basic_2020
32424274,basic_2020
32393905,basic_2020
32393904,basic_2020
32393901,basic_2020
32393900,basic_2020
32393899,basic_2020
32393898,basic_2020
32393889,basic_2020
32393886,basic_2020
32393885,basic_2020
32393884,basic_2020
32393859,basic_2020
32393822,basic_2020
32393799,basic_2020
32377019,basic_2020
32367048,basic_2020
32367047,basic_2020
32367046,basic_2020
32367045,basic_2020
32367019,basic_2020
32367018,basic_2020
32367017,basic_2020
32367016,basic_2020
32341565,basic_2020
32341564,basic_2020
32341563,basic_2020
32341562,basic_2020
32341561,basic_2020
32341550,basic_2020
32341549,basic_2020
32341548,basic_2020
32341547,basic_2020
32341546,basic_2020
32341525,basic_2020
32341503,basic_2020
32341502,basic_2020
32317762,basic_2020
32313247,basic_2020
32300245,basic_2020
32300239,basic_2020
32284603,basic_2020
32284602,basic_2020
32284601,basic_2020
32284589,basic_2020
32284587,basic_2020
32284586,basic_2020
32284585,basic_2020
32284579,basic_2020
32284578,basic_2020
32273607,basic_2020
32265562,basic_2020
32265561,basic_2020
32251411,basic_2020
32251409,basic_2020
32251407,basic_2020
32251405,basic_2020
32251404,basic_2020
32251399,basic_2020
32251373,basic_2020
32249828,basic_2020
32231343,basic_2020
32231341,basic_2020
32231336,basic_2020
32231335,basic_2020
32231334,basic_2020
32231312,basic_2020
32231311,basic_2020
32231309,basic_2020
32231308,basic_2020
32231307,basic_2020
32231306,basic_2020
32231305,basic_2020
32231277,basic_2020
32203469,basic_2020
32203468,basic_2020
32203466,basic_2020
32203464,basic_2020
32203463,basic_2020
32203420,basic_2020
32203419,basic_2020
32203418,basic_2020
32203417,basic_2020
32203414,basic_2020
32203413,basic_2020
32203412,basic_2020
32203411,basic_2020
32198494,basic_2020
32198493,basic_2020
32198492,basic_2020
32198491,basic_2020
32198490,basic_2020
32161411,basic_2020
32152598,basic_2020
32152597,basic_2020
32152582,basic_2020
32152581,basic_2020
32152546,basic_2020
32152545,basic_2020
32152544,basic_2020
32152543,basic_2020
32152542,basic_2020
32152541,basic_2020
32152540,basic_2020
32152539,basic_2020
32152538,basic_2020
32139906,basic_2020
32123387,basic_2020
32123383,basic_2020
32123336,basic_2020
32123335,basic_2020
32123334,basic_2020
32103187,basic_2020
32094926,basic_2020
32094923,basic_2020
32094922,basic_2020
32094912,basic_2020
32094911,basic_2020
32094910,basic_2020
32094691,basic_2020
32094659,basic_2020
32094658,basic_2020
32080631,basic_2020
32080630,basic_2020
32080625,basic_2020
32080624,basic_2020
32080623,basic_2020
32080622,basic_2020
32080621,basic_2020
32066977,basic_2020
32066969,basic_2020
32066968,basic_2020
32066967,basic_2020
32066966,basic_2020
32066956,basic_2020
32066938,basic_2020
32066907,basic_2020
32066905,basic_2020
32060488,basic_2020
32055030,basic_2020
32042200,basic_2020
32042199,basic_2020
32042198,basic_2020
32042197,basic_2020
32042179,basic_2020
32042170,basic_2020
32042169,basic_2020
32042167,basic_2020
32042166,basic_2020
32042165,basic_2020
32034383,basic_2020
32029894,basic_2020
32015549,basic_2020
32015521,basic_2020
32015439,basic_2020
32015438,basic_2020
32015437,basic_2020
32015436,basic_2020
32015435,basic_2020
32015434,basic_2020
31992866,basic_2020
31988382,basic_2020
31974527,basic_2020
31974525,basic_2020
31974524,basic_2020
31959994,basic_2020
31959988,basic_2020
31959966,basic_2020
31959965,basic_2020
31959964,basic_2020
31959954,basic_2020
31937973,basic_2020
31932806,basic_2020
31932804,basic_2020
31932799,basic_2020
31932798,basic_2020
31932789,basic_2020
31932788,basic_2020
31932785,basic_2020
31932779,basic_2020
31932739,basic_2020
31932738,basic_2020
31932729,basic_2020
31932727,basic_2020
31932726,basic_2020
31932724,basic_2020
31932723,basic_2020
31932722,basic_2020
31932721,basic_2020
31932720,basic_2020
31932719,basic_2020
31932718,basic_2020
31932717,basic_2020
31925403,basic_2020
31915374,basic_2020
31907489,basic_2020
31907458,basic_2020
31907414,basic_2020
31907413,basic_2020
31907412,basic_2020
31907410,basic_2020
31907409,basic_2020
31907405,basic_2020
31907374,basic_2020
31907373,basic_2020
31873313,basic_2020
31873299,basic_2020
31873295,basic_2020
31873224,basic_2020
31873223,basic_2020
31873221,basic_2020
31873217,basic_2020
31873216,basic_2020
31873215,basic_2020
31873214,basic_2020
31871321,basic_2020
31871320,basic_2020
31871319,basic_2020
31871318,basic_2020
31871317,basic_2020
31871316,basic_2020
31853050,basic_2020
31844322,basic_2020
31844305,basic_2020
31844304,basic_2020
31844303,basic_2020
31844302,basic_2020
31844301,basic_2020
31844295,basic_2020
31844294,basic_2020
31844293,basic_2020
31844292,basic_2020
31844291,basic_2020
31844290,basic_2020
31819274,basic_2020
31819273,basic_2020
31819272,basic_2020
31819271,basic_2020
31819270,basic_2020
31819269,basic_2020
31819261,basic_2020
31819260,basic_2020
31819259,basic_2020
31819258,basic_2020
31792445,basic_2020
31792443,basic_2020
31792407,basic_2020
31768070,basic_2020
31768044,basic_2020
31768035,basic_2020
31768034,basic_2020
31768033,basic_2020
31768032,basic_2020
31740838,basic_2020
31740807,basic_2020
31712774,basic_2020
31686031,basic_2020
31686030,basic_2020
31636432,basic_2020
31636431,basic_2020
31591551,basic_2020
