pmid,query_name
11781586,fundamental_2001
11781582,fundamental_2001
11781580,fundamental_2001
11781576,fundamental_2001
11781575,fundamental_2001
11781574,fundamental_2001
11781573,fundamental_2001
11781572,fundamental_2001
11781571,fundamental_2001
11781570,fundamental_2001
11781569,fundamental_2001
11781568,fundamental_2001
11781567,fundamental_2001
11781566,fundamental_2001
11781565,fundamental_2001
11781564,fundamental_2001
11753388,fundamental_2001
11753386,fundamental_2001
11753385,fundamental_2001
11753384,fundamental_2001
11743582,fundamental_2001
11743576,fundamental_2001
11740497,fundamental_2001
11740496,fundamental_2001
11740495,fundamental_2001
11731797,fundamental_2001
11731789,fundamental_2001
11731788,fundamental_2001
11731787,fundamental_2001
11731786,fundamental_2001
11731785,fundamental_2001
11731784,fundamental_2001
11731783,fundamental_2001
11731782,fundamental_2001
11731781,fundamental_2001
11731774,fundamental_2001
11731773,fundamental_2001
11726978,fundamental_2001
11726976,fundamental_2001
11726974,fundamental_2001
11726971,fundamental_2001
11726970,fundamental_2001
11726933,fundamental_2001
11726932,fundamental_2001
11726931,fundamental_2001
11726930,fundamental_2001
11726929,fundamental_2001
11726928,fundamental_2001
11726925,fundamental_2001
11726924,fundamental_2001
11726922,fundamental_2001
11715037,fundamental_2001
11715026,fundamental_2001
11715025,fundamental_2001
11715024,fundamental_2001
11715021,fundamental_2001
11715020,fundamental_2001
11715019,fundamental_2001
11715018,fundamental_2001
11715017,fundamental_2001
11715016,fundamental_2001
11715015,fundamental_2001
11715014,fundamental_2001
11704760,fundamental_2001
11694880,fundamental_2001
11694879,fundamental_2001
11689892,fundamental_2001
11689891,fundamental_2001
11689890,fundamental_2001
11689888,fundamental_2001
11689886,fundamental_2001
11689885,fundamental_2001
11689852,fundamental_2001
11689851,fundamental_2001
11689850,fundamental_2001
11689849,fundamental_2001
11689847,fundamental_2001
11687799,fundamental_2001
11685209,fundamental_2001
11685208,fundamental_2001
11590441,fundamental_2001
11590437,fundamental_2001
11590436,fundamental_2001
11590435,fundamental_2001
11590433,fundamental_2001
11590420,fundamental_2001
11590419,fundamental_2001
11590418,fundamental_2001
11590416,fundamental_2001
11590414,fundamental_2001
11586305,fundamental_2001
11586303,fundamental_2001
11586302,fundamental_2001
11586301,fundamental_2001
11586294,fundamental_2001
11584289,fundamental_2001
11584282,fundamental_2001
11584278,fundamental_2001
11584277,fundamental_2001
11584276,fundamental_2001
11584275,fundamental_2001
11584274,fundamental_2001
11584273,fundamental_2001
11584272,fundamental_2001
11584271,fundamental_2001
