pmid,query_name
11781578,translational_2001
11753383,translational_2001
11743583,translational_2001
11743581,translational_2001
11743580,translational_2001
11743579,translational_2001
11743578,translational_2001
11731796,translational_2001
11731795,translational_2001
11726975,translational_2001
11726973,translational_2001
11726972,translational_2001
11726969,translational_2001
11726968,translational_2001
11726927,translational_2001
11726926,translational_2001
11726923,translational_2001
11715023,translational_2001
11715022,translational_2001
11704759,translational_2001
11704758,translational_2001
11694877,translational_2001
11694876,translational_2001
11689889,translational_2001
11689887,translational_2001
11689884,translational_2001
11689882,translational_2001
11689848,translational_2001
11687802,translational_2001
11687801,translational_2001
11687800,translational_2001
11687798,translational_2001
11687797,translational_2001
11687796,translational_2001
11687794,translational_2001
11685207,translational_2001
11685205,translational_2001
11600884,translational_2001
11600883,translational_2001
11590440,translational_2001
11590439,translational_2001
11590438,translational_2001
11586306,translational_2001
11586304,translational_2001
11586300,translational_2001
11586299,translational_2001
11586298,translational_2001
11586297,translational_2001
11586296,translational_2001
11586295,translational_2001
11586292,translational_2001
11584280,translational_2001
11559849,translational_2001
11559848,translational_2001
11548742,translational_2001
11544479,translational_2001
11544478,translational_2001
11544477,translational_2001
11544476,translational_2001
11533711,translational_2001
11533710,translational_2001
11533709,translational_2001
11533705,translational_2001
11533703,translational_2001
11533702,translational_2001
11533692,translational_2001
11533658,translational_2001
11528401,translational_2001
11528398,translational_2001
11528397,translational_2001
11528396,translational_2001
11528395,translational_2001
11528394,translational_2001
11528393,translational_2001
11528392,translational_2001
11528389,translational_2001
11528388,translational_2001
11528387,translational_2001
11528386,translational_2001
11528384,translational_2001
11528383,translational_2001
11483960,translational_2001
11479629,translational_2001
11479627,translational_2001
11479610,translational_2001
11479594,translational_2001
11479593,translational_2001
11479570,translational_2001
11479539,translational_2001
11455389,translational_2001
11455388,translational_2001
11443298,translational_2001
11433353,translational_2001
11433351,translational_2001
11433350,translational_2001
11433349,translational_2001
11433348,translational_2001
11433347,translational_2001
11433341,translational_2001
11433337,translational_2001
11433334,translational_2001
11431704,translational_2001
11431699,translational_2001
11431698,translational_2001
11431697,translational_2001
11431695,translational_2001
11431693,translational_2001
11431692,translational_2001
11431691,translational_2001
11431690,translational_2001
11431689,translational_2001
11431688,translational_2001
11431687,translational_2001
11431686,translational_2001
11385512,translational_2001
11385511,translational_2001
11385510,translational_2001
11385507,translational_2001
11385504,translational_2001
11385492,translational_2001
11385459,translational_2001
11381270,translational_2001
11381269,translational_2001
11381268,translational_2001
11381263,translational_2001
11381262,translational_2001
11381259,translational_2001
11381256,translational_2001
11381255,translational_2001
11381254,translational_2001
11381253,translational_2001
11329062,translational_2001
11329061,translational_2001
11329058,translational_2001
11329057,translational_2001
11329054,translational_2001
11326283,translational_2001
11326282,translational_2001
11326280,translational_2001
11326279,translational_2001
11326276,translational_2001
11326275,translational_2001
11326274,translational_2001
11326273,translational_2001
11326272,translational_2001
11326271,translational_2001
11326269,translational_2001
11283678,translational_2001
11283677,translational_2001
11283676,translational_2001
11283675,translational_2001
11283674,translational_2001
11283673,translational_2001
11283671,translational_2001
11283668,translational_2001
11283667,translational_2001
11283620,translational_2001
11283611,translational_2001
11279529,translational_2001
11279527,translational_2001
11279526,translational_2001
11279524,translational_2001
11279517,translational_2001
11279515,translational_2001
11242118,translational_2001
11242117,translational_2001
11242115,translational_2001
11242114,translational_2001
11242112,translational_2001
11242111,translational_2001
11242110,translational_2001
11242109,translational_2001
11242107,translational_2001
11242106,translational_2001
11242102,translational_2001
11231641,translational_2001
11231638,translational_2001
11231635,translational_2001
11231633,translational_2001
11231632,translational_2001
11231631,translational_2001
11231628,translational_2001
11231613,translational_2001
11231578,translational_2001
11175854,translational_2001
11175853,translational_2001
11175852,translational_2001
11175851,translational_2001
11175850,translational_2001
11175849,translational_2001
11175848,translational_2001
11175847,translational_2001
11175846,translational_2001
11175832,translational_2001
11175795,translational_2001
11175794,translational_2001
11175793,translational_2001
11175792,translational_2001
11175791,translational_2001
11175790,translational_2001
11175788,translational_2001
11175786,translational_2001
11175785,translational_2001
11175783,translational_2001
11175782,translational_2001
11175779,translational_2001
11175778,translational_2001
11175774,translational_2001
11175773,translational_2001
11175772,translational_2001
11175771,translational_2001
11175770,translational_2001
11175753,translational_2001
11146624,translational_2001
11146623,translational_2001
11146619,translational_2001
11138012,translational_2001
11138011,translational_2001
11138009,translational_2001
11138008,translational_2001
11138007,translational_2001
11138005,translational_2001
11138003,translational_2001
11138001,translational_2001
11137993,translational_2001
11137992,translational_2001
11137991,translational_2001
11135623,translational_2001
11135622,translational_2001
11135621,translational_2001
11135615,translational_2001
11135610,translational_2001
11135609,translational_2001
11135606,translational_2001
11135604,translational_2001
11135603,translational_2001
11135558,translational_2001
11135555,translational_2001
11135549,translational_2001
11135548,translational_2001
11135547,translational_2001
