pmid,query_name
17183727,diseases_2006
17183725,diseases_2006
17183724,diseases_2006
17183723,diseases_2006
17183718,diseases_2006
17183717,diseases_2006
17183715,diseases_2006
17183699,diseases_2006
17183695,diseases_2006
17183688,diseases_2006
17183687,diseases_2006
17183686,diseases_2006
17183682,diseases_2006
17183677,diseases_2006
17183672,diseases_2006
17183669,diseases_2006
17183660,diseases_2006
17183654,diseases_2006
17183651,diseases_2006
17183650,diseases_2006
17183648,diseases_2006
17183647,diseases_2006
17183645,diseases_2006
17183644,diseases_2006
17183638,diseases_2006
17183635,diseases_2006
17183634,diseases_2006
17183632,diseases_2006
17183631,diseases_2006
