pmid,query_name
21448465,fundamental_2011
21448464,fundamental_2011
21448463,fundamental_2011
21448461,fundamental_2011
21448458,fundamental_2011
21448455,fundamental_2011
21448454,fundamental_2011
21448453,fundamental_2011
21448436,fundamental_2011
21448434,fundamental_2011
21448432,fundamental_2011
21448294,fundamental_2011
21448293,fundamental_2011
21448292,fundamental_2011
21448290,fundamental_2011
21448289,fundamental_2011
21448287,fundamental_2011
21448286,fundamental_2011
21448281,fundamental_2011
21448280,fundamental_2011
21448279,fundamental_2011
21448276,fundamental_2011
21448275,fundamental_2011
21448274,fundamental_2011
21448272,fundamental_2011
21448271,fundamental_2011
21448270,fundamental_2011
21448269,fundamental_2011
21448268,fundamental_2011
21448266,fundamental_2011
21448240,fundamental_2011
21445368,fundamental_2011
21445367,fundamental_2011
21445366,fundamental_2011
21445363,fundamental_2011
21445361,fundamental_2011
21445360,fundamental_2011
21445353,fundamental_2011
21445352,fundamental_2011
21445351,fundamental_2011
21445349,fundamental_2011
21445347,fundamental_2011
21445346,fundamental_2011
21445345,fundamental_2011
21445344,fundamental_2011
21445343,fundamental_2011
21445342,fundamental_2011
21445340,fundamental_2011
21445339,fundamental_2011
21445337,fundamental_2011
21445336,fundamental_2011
21445318,fundamental_2011
21445317,fundamental_2011
21445316,fundamental_2011
21445315,fundamental_2011
21445314,fundamental_2011
21445312,fundamental_2011
21445311,fundamental_2011
21445309,fundamental_2011
21445307,fundamental_2011
21445306,fundamental_2011
21445305,fundamental_2011
21445303,fundamental_2011
21445300,fundamental_2011
21445296,fundamental_2011
21445293,fundamental_2011
21445291,fundamental_2011
21445290,fundamental_2011
21445285,fundamental_2011
21445274,fundamental_2011
21445272,fundamental_2011
21445268,fundamental_2011
21445267,fundamental_2011
21445266,fundamental_2011
21445265,fundamental_2011
21445264,fundamental_2011
21445262,fundamental_2011
21445260,fundamental_2011
21445259,fundamental_2011
21445258,fundamental_2011
21445257,fundamental_2011
21445255,fundamental_2011
21445253,fundamental_2011
21445252,fundamental_2011
21445250,fundamental_2011
21445249,fundamental_2011
21445245,fundamental_2011
21445244,fundamental_2011
21445243,fundamental_2011
21445240,fundamental_2011
21437292,fundamental_2011
21437290,fundamental_2011
21437286,fundamental_2011
21437284,fundamental_2011
21437283,fundamental_2011
21437281,fundamental_2011
21437280,fundamental_2011
21437279,fundamental_2011
21437278,fundamental_2011
21437277,fundamental_2011
21437262,fundamental_2011
21437261,fundamental_2011
21437259,fundamental_2011
21437257,fundamental_2011
21437254,fundamental_2011
21437253,fundamental_2011
21437252,fundamental_2011
21437250,fundamental_2011
21437248,fundamental_2011
21437246,fundamental_2011
21437243,fundamental_2011
21437241,fundamental_2011
21437237,fundamental_2011
21437236,fundamental_2011
21437234,fundamental_2011
21437209,fundamental_2011
21437208,fundamental_2011
21437203,fundamental_2011
21436893,fundamental_2011
21436889,fundamental_2011
21436887,fundamental_2011
21436886,fundamental_2011
21436885,fundamental_2011
21436882,fundamental_2011
21436881,fundamental_2011
21436880,fundamental_2011
21436878,fundamental_2011
21423812,fundamental_2011
21423811,fundamental_2011
21423810,fundamental_2011
21423809,fundamental_2011
21423806,fundamental_2011
21423804,fundamental_2011
21423803,fundamental_2011
21423800,fundamental_2011
21423799,fundamental_2011
21423796,fundamental_2011
21423777,fundamental_2011
21423776,fundamental_2011
21423774,fundamental_2011
21423773,fundamental_2011
21423772,fundamental_2011
21423770,fundamental_2011
21423769,fundamental_2011
21423768,fundamental_2011
21423767,fundamental_2011
21423766,fundamental_2011
21423765,fundamental_2011
21423761,fundamental_2011
21423760,fundamental_2011
21423759,fundamental_2011
21423757,fundamental_2011
21423756,fundamental_2011
21423755,fundamental_2011
21423754,fundamental_2011
21423752,fundamental_2011
21423751,fundamental_2011
21423750,fundamental_2011
21423749,fundamental_2011
21423748,fundamental_2011
21423747,fundamental_2011
21423746,fundamental_2011
21423744,fundamental_2011
21423743,fundamental_2011
21423742,fundamental_2011
21423740,fundamental_2011
21423739,fundamental_2011
21423738,fundamental_2011
21423735,fundamental_2011
21423734,fundamental_2011
21423731,fundamental_2011
21423730,fundamental_2011
21423729,fundamental_2011
21423725,fundamental_2011
21423724,fundamental_2011
21423706,fundamental_2011
21423704,fundamental_2011
21423703,fundamental_2011
21423701,fundamental_2011
21423700,fundamental_2011
21423698,fundamental_2011
21423697,fundamental_2011
21423696,fundamental_2011
21423695,fundamental_2011
21423694,fundamental_2011
21423662,fundamental_2011
21423659,fundamental_2011
21423658,fundamental_2011
21423657,fundamental_2011
21423655,fundamental_2011
21423631,fundamental_2011
21423630,fundamental_2011
21423628,fundamental_2011
21423627,fundamental_2011
21423626,fundamental_2011
21423623,fundamental_2011
21423622,fundamental_2011
21423621,fundamental_2011
21423620,fundamental_2011
21423618,fundamental_2011
21423617,fundamental_2011
21423616,fundamental_2011
21423613,fundamental_2011
21423611,fundamental_2011
21423610,fundamental_2011
21423609,fundamental_2011
21423606,fundamental_2011
21423604,fundamental_2011
21423576,fundamental_2011
21423575,fundamental_2011
21423574,fundamental_2011
21423573,fundamental_2011
21423341,fundamental_2011
21423340,fundamental_2011
21415927,fundamental_2011
21412440,fundamental_2011
21412437,fundamental_2011
21412435,fundamental_2011
21412434,fundamental_2011
21412430,fundamental_2011
21412429,fundamental_2011
21412427,fundamental_2011
21412426,fundamental_2011
21412425,fundamental_2011
21412421,fundamental_2011
21412417,fundamental_2011
21412416,fundamental_2011
21412412,fundamental_2011
21412407,fundamental_2011
21408617,fundamental_2011
21408616,fundamental_2011
21408612,fundamental_2011
21408611,fundamental_2011
21408609,fundamental_2011
21408608,fundamental_2011
21408606,fundamental_2011
21408230,fundamental_2011
21408229,fundamental_2011
21408228,fundamental_2011
21408227,fundamental_2011
21408226,fundamental_2011
21408225,fundamental_2011
21408223,fundamental_2011
21408221,fundamental_2011
21408219,fundamental_2011
21408218,fundamental_2011
21408217,fundamental_2011
21408216,fundamental_2011
21408215,fundamental_2011
21408200,fundamental_2011
21408199,fundamental_2011
21408198,fundamental_2011
21408197,fundamental_2011
21408193,fundamental_2011
21408192,fundamental_2011
21408188,fundamental_2011
21408186,fundamental_2011
21408184,fundamental_2011
21408183,fundamental_2011
21408181,fundamental_2011
21408180,fundamental_2011
21408179,fundamental_2011
21408178,fundamental_2011
21408177,fundamental_2011
21408176,fundamental_2011
21408175,fundamental_2011
21408174,fundamental_2011
21408173,fundamental_2011
21408172,fundamental_2011
21408171,fundamental_2011
21408170,fundamental_2011
21408169,fundamental_2011
21408168,fundamental_2011
21408167,fundamental_2011
21408166,fundamental_2011
21408165,fundamental_2011
21408162,fundamental_2011
21408160,fundamental_2011
21408159,fundamental_2011
21408158,fundamental_2011
21408156,fundamental_2011
21408155,fundamental_2011
21408153,fundamental_2011
21408151,fundamental_2011
21408148,fundamental_2011
21408147,fundamental_2011
21408145,fundamental_2011
21408144,fundamental_2011
21408142,fundamental_2011
21408141,fundamental_2011
21408140,fundamental_2011
21408139,fundamental_2011
21408135,fundamental_2011
21408133,fundamental_2011
21408131,fundamental_2011
21408122,fundamental_2011
21408114,fundamental_2011
21408113,fundamental_2011
21408110,fundamental_2011
21408106,fundamental_2011
21408090,fundamental_2011
21408086,fundamental_2011
21408082,fundamental_2011
21408079,fundamental_2011
21408078,fundamental_2011
21408075,fundamental_2011
21408073,fundamental_2011
21408072,fundamental_2011
21408068,fundamental_2011
21408067,fundamental_2011
21408066,fundamental_2011
21408065,fundamental_2011
21408064,fundamental_2011
21408063,fundamental_2011
21408062,fundamental_2011
21408061,fundamental_2011
21408059,fundamental_2011
21408056,fundamental_2011
21408051,fundamental_2011
21408025,fundamental_2011
21408023,fundamental_2011
21408022,fundamental_2011
21408021,fundamental_2011
21408019,fundamental_2011
21408018,fundamental_2011
21408016,fundamental_2011
21408015,fundamental_2011
21408014,fundamental_2011
21408013,fundamental_2011
21408012,fundamental_2011
21408011,fundamental_2011
21408009,fundamental_2011
21408008,fundamental_2011
21408006,fundamental_2011
21408005,fundamental_2011
21408004,fundamental_2011
21407828,fundamental_2011
21407826,fundamental_2011
21407817,fundamental_2011
21407816,fundamental_2011
21407815,fundamental_2011
21407814,fundamental_2011
21407813,fundamental_2011
21407812,fundamental_2011
21407811,fundamental_2011
21407810,fundamental_2011
21407809,fundamental_2011
21407807,fundamental_2011
21407804,fundamental_2011
21407800,fundamental_2011
21399698,fundamental_2011
21399697,fundamental_2011
21399696,fundamental_2011
21399695,fundamental_2011
21399694,fundamental_2011
21399691,fundamental_2011
21399690,fundamental_2011
21399689,fundamental_2011
21399688,fundamental_2011
21399684,fundamental_2011
21399680,fundamental_2011
21399679,fundamental_2011
21399677,fundamental_2011
21399676,fundamental_2011
21399673,fundamental_2011
21394213,fundamental_2011
21394211,fundamental_2011
21394209,fundamental_2011
21394206,fundamental_2011
21394205,fundamental_2011
21394204,fundamental_2011
21394203,fundamental_2011
21394202,fundamental_2011
21394201,fundamental_2011
21394200,fundamental_2011
21394199,fundamental_2011
21394197,fundamental_2011
21394196,fundamental_2011
21390332,fundamental_2011
21390328,fundamental_2011
21390327,fundamental_2011
21390323,fundamental_2011
21390322,fundamental_2011
21390321,fundamental_2011
21390320,fundamental_2011
21390315,fundamental_2011
21390314,fundamental_2011
21390313,fundamental_2011
21390312,fundamental_2011
21390310,fundamental_2011
21390309,fundamental_2011
21390305,fundamental_2011
21390304,fundamental_2011
21390303,fundamental_2011
21390302,fundamental_2011
21390299,fundamental_2011
21390296,fundamental_2011
21390294,fundamental_2011
21390283,fundamental_2011
21390274,fundamental_2011
21390267,fundamental_2011
21390261,fundamental_2011
21390260,fundamental_2011
21390259,fundamental_2011
21390258,fundamental_2011
21390257,fundamental_2011
21390256,fundamental_2011
21390254,fundamental_2011
21390253,fundamental_2011
21390252,fundamental_2011
21390251,fundamental_2011
21390246,fundamental_2011
21390245,fundamental_2011
21390242,fundamental_2011
21390239,fundamental_2011
21390234,fundamental_2011
21390233,fundamental_2011
21390231,fundamental_2011
21390229,fundamental_2011
21390227,fundamental_2011
21390223,fundamental_2011
21390222,fundamental_2011
21390221,fundamental_2011
21390217,fundamental_2011
21390216,fundamental_2011
21390213,fundamental_2011
21390211,fundamental_2011
21390210,fundamental_2011
21390208,fundamental_2011
21390203,fundamental_2011
21390202,fundamental_2011
21390200,fundamental_2011
21387015,fundamental_2011
21387013,fundamental_2011
21387012,fundamental_2011
21387010,fundamental_2011
21387009,fundamental_2011
21387007,fundamental_2011
21387006,fundamental_2011
21387005,fundamental_2011
21387004,fundamental_2011
21387000,fundamental_2011
21386997,fundamental_2011
21386996,fundamental_2011
21386994,fundamental_2011
21386990,fundamental_2011
21386989,fundamental_2011
21386988,fundamental_2011
21386983,fundamental_2011
21386982,fundamental_2011
21386981,fundamental_2011
21386980,fundamental_2011
21386979,fundamental_2011
21386978,fundamental_2011
21386972,fundamental_2011
21386971,fundamental_2011
21386970,fundamental_2011
21386969,fundamental_2011
21386968,fundamental_2011
21386965,fundamental_2011
21386964,fundamental_2011
21386963,fundamental_2011
21386962,fundamental_2011
21386961,fundamental_2011
21386911,fundamental_2011
21386909,fundamental_2011
21386908,fundamental_2011
21386906,fundamental_2011
21386905,fundamental_2011
21386904,fundamental_2011
