pmid,query_name
22457758,therapeutics_2012
22457723,therapeutics_2012
22431985,therapeutics_2012
22403731,therapeutics_2012
22403727,therapeutics_2012
22403622,therapeutics_2012
22403606,therapeutics_2012
22396752,therapeutics_2012
22389674,therapeutics_2012
22384063,therapeutics_2012
22384012,therapeutics_2012
22384007,therapeutics_2012
22363770,therapeutics_2012
22359669,therapeutics_2012
22359623,therapeutics_2012
22319612,therapeutics_2012
22319580,therapeutics_2012
22303440,therapeutics_2012
22292072,therapeutics_2012
22292052,therapeutics_2012
22292015,therapeutics_2012
22279562,therapeutics_2012
22272282,therapeutics_2012
22272238,therapeutics_2012
22253842,therapeutics_2012
22242169,therapeutics_2012
22238631,therapeutics_2012
22238589,therapeutics_2012
22238574,therapeutics_2012
22235318,therapeutics_2012
22235251,therapeutics_2012
22220213,therapeutics_2012
22216271,therapeutics_2012
22844468,therapeutics_2012
22844446,therapeutics_2012
22844415,therapeutics_2012
22829905,therapeutics_2012
22815914,therapeutics_2012
22815839,therapeutics_2012
22815757,therapeutics_2012
22808118,therapeutics_2012
22808064,therapeutics_2012
22808011,therapeutics_2012
22792398,therapeutics_2012
22792324,therapeutics_2012
22792212,therapeutics_2012
22792140,therapeutics_2012
22768218,therapeutics_2012
22768068,therapeutics_2012
22761766,therapeutics_2012
22761658,therapeutics_2012
22745757,therapeutics_2012
22724021,therapeutics_2012
22720091,therapeutics_2012
22720089,therapeutics_2012
22719896,therapeutics_2012
22719875,therapeutics_2012
22719822,therapeutics_2012
22701721,therapeutics_2012
22701691,therapeutics_2012
22693608,therapeutics_2012
22693566,therapeutics_2012
22685528,therapeutics_2012
22675508,therapeutics_2012
22675494,therapeutics_2012
22675435,therapeutics_2012
22666476,therapeutics_2012
22666439,therapeutics_2012
22666371,therapeutics_2012
22655060,therapeutics_2012
22649489,therapeutics_2012
22629341,therapeutics_2012
22629306,therapeutics_2012
22624037,therapeutics_2012
22623976,therapeutics_2012
22615909,therapeutics_2012
22615841,therapeutics_2012
22606337,therapeutics_2012
22563488,therapeutics_2012
22563485,therapeutics_2012
22563458,therapeutics_2012
22558414,therapeutics_2012
22558370,therapeutics_2012
22558341,therapeutics_2012
22558319,therapeutics_2012
22558262,therapeutics_2012
22558246,therapeutics_2012
22545133,therapeutics_2012
22545124,therapeutics_2012
22540011,therapeutics_2012
22539965,therapeutics_2012
22539941,therapeutics_2012
22536331,therapeutics_2012
22529923,therapeutics_2012
22523540,therapeutics_2012
22514724,therapeutics_2012
22509318,therapeutics_2012
22509296,therapeutics_2012
22509278,therapeutics_2012
22496893,therapeutics_2012
22496867,therapeutics_2012
22496771,therapeutics_2012
22485126,therapeutics_2012
22479450,therapeutics_2012
22479438,therapeutics_2012
22479428,therapeutics_2012
22470545,therapeutics_2012
22470483,therapeutics_2012
22470466,therapeutics_2012
22470447,therapeutics_2012
22470431,therapeutics_2012
23272109,therapeutics_2012
23272064,therapeutics_2012
23251704,therapeutics_2012
23251643,therapeutics_2012
23227141,therapeutics_2012
23226487,therapeutics_2012
23226440,therapeutics_2012
23226403,therapeutics_2012
23226386,therapeutics_2012
23226378,therapeutics_2012
23226365,therapeutics_2012
23209691,therapeutics_2012
23209648,therapeutics_2012
23209601,therapeutics_2012
23185632,therapeutics_2012
23185588,therapeutics_2012
23185563,therapeutics_2012
23185537,therapeutics_2012
23185462,therapeutics_2012
23185422,therapeutics_2012
23185233,therapeutics_2012
23173055,therapeutics_2012
23173036,therapeutics_2012
23166699,therapeutics_2012
23166632,therapeutics_2012
23152927,therapeutics_2012
23145012,therapeutics_2012
23133658,therapeutics_2012
23133624,therapeutics_2012
23118981,therapeutics_2012
23118968,therapeutics_2012
23118950,therapeutics_2012
23118938,therapeutics_2012
23118903,therapeutics_2012
23118879,therapeutics_2012
23110150,therapeutics_2012
23110061,therapeutics_2012
23110040,therapeutics_2012
23082229,therapeutics_2012
23082209,therapeutics_2012
23082174,therapeutics_2012
23082169,therapeutics_2012
23077650,therapeutics_2012
23077622,therapeutics_2012
23077506,therapeutics_2012
23077487,therapeutics_2012
23077474,therapeutics_2012
23071711,therapeutics_2012
23071625,therapeutics_2012
23056542,therapeutics_2012
23056281,therapeutics_2012
23056277,therapeutics_2012
23056241,therapeutics_2012
23056228,therapeutics_2012
23050018,therapeutics_2012
23050015,therapeutics_2012
23049992,therapeutics_2012
23049918,therapeutics_2012
23049822,therapeutics_2012
23049790,therapeutics_2012
23049701,therapeutics_2012
23029389,therapeutics_2012
23029065,therapeutics_2012
23028772,therapeutics_2012
23028712,therapeutics_2012
23028688,therapeutics_2012
23028625,therapeutics_2012
23028601,therapeutics_2012
23028572,therapeutics_2012
23028490,therapeutics_2012
23028469,therapeutics_2012
22970152,therapeutics_2012
22957078,therapeutics_2012
22952964,therapeutics_2012
22952840,therapeutics_2012
22952831,therapeutics_2012
22952737,therapeutics_2012
22952720,therapeutics_2012
22952691,therapeutics_2012
22952623,therapeutics_2012
22937122,therapeutics_2012
22936976,therapeutics_2012
22928032,therapeutics_2012
22928004,therapeutics_2012
22916281,therapeutics_2012
22912866,therapeutics_2012
22912853,therapeutics_2012
22912791,therapeutics_2012
22911779,therapeutics_2012
22900002,therapeutics_2012
22880095,therapeutics_2012
22880086,therapeutics_2012
22879942,therapeutics_2012
22870313,therapeutics_2012
22870246,therapeutics_2012
22870215,therapeutics_2012
22860100,therapeutics_2012
22860015,therapeutics_2012
22859942,therapeutics_2012
22848577,therapeutics_2012
22848447,therapeutics_2012
22848340,therapeutics_2012
