pmid,query_name
24475471,basic_2013
24373884,basic_2013
24373883,basic_2013
24369372,basic_2013
24362763,basic_2013
24362762,basic_2013
24362761,basic_2013
24361078,basic_2013
24361077,basic_2013
24361076,basic_2013
24360884,basic_2013
24360551,basic_2013
24360550,basic_2013
24360549,basic_2013
24360548,basic_2013
24360547,basic_2013
24360546,basic_2013
24360545,basic_2013
24360544,basic_2013
24360543,basic_2013
24360542,basic_2013
24360541,basic_2013
24360539,basic_2013
24360538,basic_2013
24360537,basic_2013
24360536,basic_2013
24336151,basic_2013
24336150,basic_2013
24333055,basic_2013
24333053,basic_2013
24332837,basic_2013
24332836,basic_2013
24316890,basic_2013
24316888,basic_2013
24316296,basic_2013
24315444,basic_2013
24315443,basic_2013
24315442,basic_2013
24315441,basic_2013
24315438,basic_2013
24315437,basic_2013
24315433,basic_2013
24314733,basic_2013
24314732,basic_2013
24314731,basic_2013
24314730,basic_2013
24314729,basic_2013
24314728,basic_2013
24314727,basic_2013
24314726,basic_2013
24314725,basic_2013
24314724,basic_2013
24314723,basic_2013
24314722,basic_2013
24314721,basic_2013
24292233,basic_2013
24292232,basic_2013
24290204,basic_2013
24270272,basic_2013
24270271,basic_2013
24270270,basic_2013
24270269,basic_2013
24270188,basic_2013
24270185,basic_2013
24270184,basic_2013
24268696,basic_2013
24268695,basic_2013
24268694,basic_2013
24268419,basic_2013
24268418,basic_2013
24267657,basic_2013
24267656,basic_2013
24267655,basic_2013
24267654,basic_2013
24267653,basic_2013
24267652,basic_2013
24267651,basic_2013
24267650,basic_2013
24267649,basic_2013
24267648,basic_2013
24267646,basic_2013
24267645,basic_2013
24267644,basic_2013
24267643,basic_2013
24241397,basic_2013
24241396,basic_2013
24241395,basic_2013
24241394,basic_2013
24239285,basic_2013
24239284,basic_2013
24239126,basic_2013
24239125,basic_2013
24239124,basic_2013
24239123,basic_2013
24212674,basic_2013
24212673,basic_2013
24212672,basic_2013
24212671,basic_2013
24212670,basic_2013
24210908,basic_2013
24210907,basic_2013
24210905,basic_2013
24210904,basic_2013
24209762,basic_2013
24209760,basic_2013
24209759,basic_2013
24209758,basic_2013
24209756,basic_2013
24209755,basic_2013
24209754,basic_2013
24206670,basic_2013
24206669,basic_2013
24185428,basic_2013
24185427,basic_2013
24185426,basic_2013
24185424,basic_2013
24185423,basic_2013
24183705,basic_2013
24183704,basic_2013
24183031,basic_2013
24183030,basic_2013
24183029,basic_2013
24183027,basic_2013
24183026,basic_2013
24183025,basic_2013
24183024,basic_2013
24183023,basic_2013
24183022,basic_2013
24183021,basic_2013
24183020,basic_2013
24183019,basic_2013
24183018,basic_2013
24183017,basic_2013
24183016,basic_2013
24183015,basic_2013
24183014,basic_2013
24183013,basic_2013
24183010,basic_2013
24183008,basic_2013
24165681,basic_2013
24165678,basic_2013
24165673,basic_2013
24162656,basic_2013
24162655,basic_2013
24162654,basic_2013
24162652,basic_2013
24162651,basic_2013
24162650,basic_2013
24141314,basic_2013
24141313,basic_2013
24141312,basic_2013
24141311,basic_2013
24141310,basic_2013
24139818,basic_2013
24139817,basic_2013
24139759,basic_2013
24139758,basic_2013
24139757,basic_2013
24139050,basic_2013
24139048,basic_2013
24139047,basic_2013
24139046,basic_2013
24139045,basic_2013
24139044,basic_2013
24139041,basic_2013
24139040,basic_2013
24139039,basic_2013
24139038,basic_2013
24139037,basic_2013
24139036,basic_2013
24139034,basic_2013
24139031,basic_2013
24139030,basic_2013
24139029,basic_2013
24139025,basic_2013
24121738,basic_2013
24120845,basic_2013
24120744,basic_2013
24120743,basic_2013
24097044,basic_2013
24097043,basic_2013
24097042,basic_2013
24097041,basic_2013
24097040,basic_2013
24097039,basic_2013
24097038,basic_2013
24094326,basic_2013
24094323,basic_2013
24094321,basic_2013
24094320,basic_2013
24094319,basic_2013
24094318,basic_2013
24094316,basic_2013
24094315,basic_2013
