pmid,query_name
22197831,diseases_2011
22196341,diseases_2011
22193251,diseases_2011
22179112,diseases_2011
22158511,diseases_2011
22158510,diseases_2011
22153373,diseases_2011
22153371,diseases_2011
22153366,diseases_2011
22138643,diseases_2011
22101641,diseases_2011
22056143,diseases_2011
22056141,diseases_2011
22056140,diseases_2011
22056139,diseases_2011
22037500,diseases_2011
22037497,diseases_2011
22030551,diseases_2011
22030550,diseases_2011
22030548,diseases_2011
22030547,diseases_2011
22030546,diseases_2011
22019732,diseases_2011
22017996,diseases_2011
22017995,diseases_2011
22017994,diseases_2011
22017983,diseases_2011
22017980,diseases_2011
21982236,diseases_2011
21982235,diseases_2011
21952260,diseases_2011
21946327,diseases_2011
21944779,diseases_2011
21944778,diseases_2011
21903077,diseases_2011
21885017,diseases_2011
21885015,diseases_2011
21857658,diseases_2011
21835346,diseases_2011
21835339,diseases_2011
21816364,diseases_2011
21816361,diseases_2011
21816360,diseases_2011
21804537,diseases_2011
21792191,diseases_2011
21792189,diseases_2011
21745644,diseases_2011
21745637,diseases_2011
21745636,diseases_2011
21726833,diseases_2011
21725314,diseases_2011
21725313,diseases_2011
21706018,diseases_2011
21689606,diseases_2011
21689593,diseases_2011
21658583,diseases_2011
21658582,diseases_2011
21658581,diseases_2011
21642975,diseases_2011
21609821,diseases_2011
21609819,diseases_2011
21572432,diseases_2011
21555074,diseases_2011
21555070,diseases_2011
21549326,diseases_2011
21549324,diseases_2011
21549323,diseases_2011
21549322,diseases_2011
21549321,diseases_2011
21521612,diseases_2011
21499254,diseases_2011
21482359,diseases_2011
21478887,diseases_2011
21474104,diseases_2011
21474103,diseases_2011
21460834,diseases_2011
21460831,diseases_2011
21441925,diseases_2011
21441924,diseases_2011
21441919,diseases_2011
21419747,diseases_2011
21378970,diseases_2011
21358643,diseases_2011
21346746,diseases_2011
21338880,diseases_2011
21338878,diseases_2011
21338877,diseases_2011
21338875,diseases_2011
21338874,diseases_2011
21338873,diseases_2011
21338871,diseases_2011
21336273,diseases_2011
21336271,diseases_2011
21336270,diseases_2011
21315262,diseases_2011
21315257,diseases_2011
21315254,diseases_2011
21295272,diseases_2011
21278728,diseases_2011
21270784,diseases_2011
21262461,diseases_2011
21220097,diseases_2011
21220096,diseases_2011
21211780,diseases_2011
21170055,diseases_2011
21151119,diseases_2011
21131953,diseases_2011
21076425,diseases_2011
