pmid,query_name
8274283,fundamental_1993
8274282,fundamental_1993
8274281,fundamental_1993
8274280,fundamental_1993
8274279,fundamental_1993
8274278,fundamental_1993
8274277,fundamental_1993
8274276,fundamental_1993
8274275,fundamental_1993
8274274,fundamental_1993
8274273,fundamental_1993
8274272,fundamental_1993
7903859,fundamental_1993
7903858,fundamental_1993
7506046,fundamental_1993
7506045,fundamental_1993
7506044,fundamental_1993
7506043,fundamental_1993
8240818,fundamental_1993
8240817,fundamental_1993
8240816,fundamental_1993
8240815,fundamental_1993
8240814,fundamental_1993
8240813,fundamental_1993
8240812,fundamental_1993
8240811,fundamental_1993
8240810,fundamental_1993
8240809,fundamental_1993
8240808,fundamental_1993
8240807,fundamental_1993
8240806,fundamental_1993
8240805,fundamental_1993
8240804,fundamental_1993
7902110,fundamental_1993
7902109,fundamental_1993
7694601,fundamental_1993
8398158,fundamental_1993
8398157,fundamental_1993
8398156,fundamental_1993
8398155,fundamental_1993
8398154,fundamental_1993
8398152,fundamental_1993
8398151,fundamental_1993
8398149,fundamental_1993
8398147,fundamental_1993
8398146,fundamental_1993
8104433,fundamental_1993
8104432,fundamental_1993
8104431,fundamental_1993
7691107,fundamental_1993
7691106,fundamental_1993
7691105,fundamental_1993
8398145,fundamental_1993
8398144,fundamental_1993
8398143,fundamental_1993
8398142,fundamental_1993
8398141,fundamental_1993
8398140,fundamental_1993
8398139,fundamental_1993
8398138,fundamental_1993
8398137,fundamental_1993
8398136,fundamental_1993
8104430,fundamental_1993
7691104,fundamental_1993
7691103,fundamental_1993
7691102,fundamental_1993
8394723,fundamental_1993
8394721,fundamental_1993
8394720,fundamental_1993
8394719,fundamental_1993
8352946,fundamental_1993
8352945,fundamental_1993
8352944,fundamental_1993
8352943,fundamental_1993
8352942,fundamental_1993
8352941,fundamental_1993
8352940,fundamental_1993
8352939,fundamental_1993
8102534,fundamental_1993
8102533,fundamental_1993
7688973,fundamental_1993
8393324,fundamental_1993
8393323,fundamental_1993
8393322,fundamental_1993
8338670,fundamental_1993
8338669,fundamental_1993
8338668,fundamental_1993
8338667,fundamental_1993
8338666,fundamental_1993
8338665,fundamental_1993
8338664,fundamental_1993
8338663,fundamental_1993
8338662,fundamental_1993
8338661,fundamental_1993
8101712,fundamental_1993
8101711,fundamental_1993
7687849,fundamental_1993
8391280,fundamental_1993
8391279,fundamental_1993
8318235,fundamental_1993
8318234,fundamental_1993
8318233,fundamental_1993
8318232,fundamental_1993
8318231,fundamental_1993
8318229,fundamental_1993
8318228,fundamental_1993
8318227,fundamental_1993
8318226,fundamental_1993
8100427,fundamental_1993
7686382,fundamental_1993
7686381,fundamental_1993
7686380,fundamental_1993
7686379,fundamental_1993
7686378,fundamental_1993
8494648,fundamental_1993
8494647,fundamental_1993
8494646,fundamental_1993
8494645,fundamental_1993
8494643,fundamental_1993
8388226,fundamental_1993
8388225,fundamental_1993
8388224,fundamental_1993
8098611,fundamental_1993
8098610,fundamental_1993
8098609,fundamental_1993
8098608,fundamental_1993
7684237,fundamental_1993
7684236,fundamental_1993
7684235,fundamental_1993
7684234,fundamental_1993
7684233,fundamental_1993
7684232,fundamental_1993
8476614,fundamental_1993
8476613,fundamental_1993
8476612,fundamental_1993
8476610,fundamental_1993
8476609,fundamental_1993
8386532,fundamental_1993
8386531,fundamental_1993
8386530,fundamental_1993
8386529,fundamental_1993
8386528,fundamental_1993
8386526,fundamental_1993
8386525,fundamental_1993
8386524,fundamental_1993
8097399,fundamental_1993
7682821,fundamental_1993
7682820,fundamental_1993
8461142,fundamental_1993
8461141,fundamental_1993
8461140,fundamental_1993
8461139,fundamental_1993
8461138,fundamental_1993
8461137,fundamental_1993
8461136,fundamental_1993
8461135,fundamental_1993
8461134,fundamental_1993
8461132,fundamental_1993
8461131,fundamental_1993
8384859,fundamental_1993
8384858,fundamental_1993
8384857,fundamental_1993
8096385,fundamental_1993
8080464,fundamental_1993
7681676,fundamental_1993
8439414,fundamental_1993
8439413,fundamental_1993
8439412,fundamental_1993
8439411,fundamental_1993
8439410,fundamental_1993
8439409,fundamental_1993
8382501,fundamental_1993
8382497,fundamental_1993
8382496,fundamental_1993
8094963,fundamental_1993
8094962,fundamental_1993
7679915,fundamental_1993
7679914,fundamental_1993
7679913,fundamental_1993
7679912,fundamental_1993
8427702,fundamental_1993
8427701,fundamental_1993
8427700,fundamental_1993
8427699,fundamental_1993
8427698,fundamental_1993
8381290,fundamental_1993
8381289,fundamental_1993
7678967,fundamental_1993
7678966,fundamental_1993
7678964,fundamental_1993
