pmid,query_name
9427256,translational_1997
9427255,translational_1997
9427238,translational_1997
9427237,translational_1997
9354338,translational_1997
9292723,translational_1997
9247276,translational_1997
9247275,translational_1997
9247269,translational_1997
9247268,translational_1997
9247267,translational_1997
9182797,translational_1997
9182794,translational_1997
9115743,translational_1997
9115732,translational_1997
9052802,translational_1997
9010205,translational_1997
9010203,translational_1997
9010201,translational_1997
9010199,translational_1997
