pmid,year
19896435,2009
19896433,2009
19896432,2009
20036631,2009
19951693,2009
19951692,2009
19951691,2009
19951690,2009
19951689,2009
19951688,2009
19951687,2009
19951686,2009
19951685,2009
19951684,2009
19951683,2009
19951682,2009
19896445,2009
19896444,2009
19896443,2009
19896442,2009
19896441,2009
19896439,2009
19896434,2009
19896431,2009
19818703,2009
19796624,2009
19796623,2009
19796622,2009
19796621,2009
19796620,2009
19796619,2009
19796617,2009
19796616,2009
19796613,2009
19796612,2009
19796611,2009
19796610,2009
19796609,2009
19733544,2009
19733543,2009
19733542,2009
19733541,2009
19733540,2009
19733533,2009
19733531,2009
19733530,2009
19733529,2009
19733528,2009
19733527,2009
19716359,2009
19699165,2009
19664995,2009
19664994,2009
19664993,2009
19664992,2009
19664991,2009
19664990,2009
19664988,2009
19664987,2009
19664985,2009
19664984,2009
19664983,2009
19664982,2009
19664981,2009
19664980,2009
19631602,2009
19570518,2009
19570517,2009
19570516,2009
19570515,2009
19570514,2009
19570513,2009
19570512,2009
19570511,2009
19570510,2009
19570509,2009
19570508,2009
19570507,2009
19570506,2009
19570505,2009
19570504,2009
19540188,2009
19497285,2009
19497284,2009
19497283,2009
19497282,2009
19497281,2009
19497280,2009
19497279,2009
19497278,2009
19497277,2009
19497276,2009
19497275,2009
19497274,2009
19497273,2009
19497272,2009
19497271,2009
19497270,2009
19481515,2009
19446517,2009
19437609,2009
19427294,2009
19427293,2009
19427292,2009
19427291,2009
19427290,2009
19427289,2009
19427288,2009
19427287,2009
19427286,2009
19427285,2009
19427284,2009
19427283,2009
19398399,2009
19345177,2009
19341625,2009
19341624,2009
19341623,2009
19341622,2009
19341621,2009
19341620,2009
19341619,2009
19341618,2009
19341617,2009
19341616,2009
19341615,2009
19341614,2009
19265665,2009
19265664,2009
19265663,2009
19265662,2009
19265661,2009
19265660,2009
19265659,2009
19265655,2009
19265654,2009
19265653,2009
19265652,2009
19265651,2009
19265650,2009
19209466,2009
19200805,2009
19200804,2009
19200803,2009
19200802,2009
19200801,2009
19200800,2009
19200797,2009
19200796,2009
19200795,2009
19200794,2009
19128795,2009
19128794,2009
19128793,2009
19128792,2009
19128791,2009
19128790,2009
19128789,2009
19128788,2009
19128787,2009
19128786,2009
19119091,2009
19097957,2009
19058776,2009
