pmid,year
33853759,2020
33839686,2020
33839685,2020
33839684,2020
33839683,2020
33839680,2020
33839679,2020
33835030,2020
33779563,2020
33759784,2020
33685622,2020
33509595,2020
33503319,2020
33485192,2020
33482595,2020
33478938,2020
33478937,2020
33465708,2020
33465707,2020
33454022,2020
33454021,2020
33454020,2020
33454019,2020
33454018,2020
33454017,2020
33454016,2020
33454015,2020
33454014,2020
33454013,2020
33454012,2020
33454011,2020
33454010,2020
33454009,2020
33454008,2020
33454007,2020
33454006,2020
33454005,2020
33454004,2020
33454003,2020
33454002,2020
33454001,2020
33454000,2020
33453999,2020
33453998,2020
33453997,2020
33453996,2020
33453995,2020
33453994,2020
33453993,2020
33453992,2020
33453991,2020
33453990,2020
33453989,2020
33453988,2020
33453986,2020
33453985,2020
33449875,2020
33434745,2020
33434575,2020
33434574,2020
33428929,2020
33411409,2020
33411401,2020
33411380,2020
33411367,2020
33411355,2020
33410410,2020
33410401,2020
33410399,2020
33410398,2020
33373164,2020
33372898,2020
33361198,2020
33361197,2020
33361160,2020
33361159,2020
33361158,2020
33361157,2020
33335306,2020
33334895,2020
33334893,2020
33334891,2020
33334890,2020
33334889,2020
33334887,2020
33334885,2020
33334884,2020
33334883,2020
33334881,2020
33334878,2020
33334876,2020
33323976,2020
33323975,2020
33323974,2020
33323973,2020
33323972,2020
33323971,2020
33323970,2020
33323969,2020
33323968,2020
33323967,2020
33323966,2020
33323965,2020
33319407,2020
33311552,2020
33310747,2020
33310746,2020
33310745,2020
33310705,2020
33310704,2020
33310703,2020
33310702,2020
33303633,2020
33303632,2020
33303631,2020
33303630,2020
33303629,2020
33303628,2020
33303627,2020
33303626,2020
33303625,2020
33299122,2020
33298526,2020
33298525,2020
33298524,2020
33298523,2020
33298522,2020
33293695,2020
33293694,2020
33293370,2020
33293369,2020
33288886,2020
33288885,2020
33288884,2020
33288883,2020
33288882,2020
33288679,2020
33288678,2020
33288677,2020
33288676,2020
33288675,2020
33288674,2020
33277404,2020
33277403,2020
33277363,2020
33277362,2020
33277361,2020
33277360,2020
33277359,2020
33277358,2020
33277357,2020
33273726,2020
33273725,2020
33273017,2020
33273016,2020
33273015,2020
33273014,2020
33273013,2020
33273012,2020
33273011,2020
33268384,2020
33268383,2020
33268382,2020
33268381,2020
33268380,2020
33268379,2020
33268378,2020
33268377,2020
33268376,2020
33262464,2020
33262463,2020
33262462,2020
33262461,2020
33262460,2020
33262459,2020
33262218,2020
33262217,2020
33262216,2020
33262215,2020
33257321,2020
33257320,2020
33257319,2020
33249427,2020
33247500,2020
33247204,2020
33246943,2020
33246942,2020
33246941,2020
33246940,2020
33243834,2020
33241587,2020
33241563,2020
33239755,2020
33239754,2020
33239361,2020
33239360,2020
33239359,2020
33236473,2020
33236467,2020
33236397,2020
33236396,2020
33235291,2020
33234597,2020
33234595,2020
33234594,2020
33234593,2020
33234592,2020
33234591,2020
33234590,2020
33231340,2020
33230951,2020
33230899,2020
33230896,2020
33230889,2020
33230881,2020
33230244,2020
33230243,2020
33229438,2020
33229435,2020
33225523,2020
33225507,2020
33225469,2020
33222288,2020
33222276,2020
33220007,2020
33219317,2020
33219316,2020
33219166,2020
33219165,2020
33219130,2020
33219129,2020
33219128,2020
33219127,2020
33219126,2020
33214225,2020
33214224,2020
33214223,2020
33210360,2020
33210326,2020
33208912,2020
33208911,2020
33208465,2020
33208464,2020
33208463,2020
33208462,2020
33208461,2020
33208460,2020
33205555,2020
33205517,2020
33205514,2020
33205488,2020
33205477,2020
33203990,2020
33203705,2020
33201521,2020
33200492,2020
33200466,2020
33200454,2020
33200449,2020
33199827,2020
33199826,2020
33199825,2020
33199376,2020
33199375,2020
33199374,2020
33199373,2020
33199372,2020
33199371,2020
33199370,2020
33199369,2020
33199368,2020
33199367,2020
33199366,2020
33199365,2020
33197074,2020
33197070,2020
33196122,2020
33191543,2020
33191406,2020
33191405,2020
33191271,2020
33190300,2020
33188297,2020
33188296,2020
33188295,2020
33188084,2020
33188083,2020
33188082,2020
33188081,2020
33187989,2020
33187988,2020
33187987,2020
33187986,2020
33187985,2020
33187984,2020
33187983,2020
33187982,2020
33187981,2020
33187980,2020
33184978,2020
33184968,2020
33184932,2020
33184929,2020
33184921,2020
33184917,2020
33184899,2020
33184472,2020
33184061,2020
33184059,2020
33177649,2020
33177648,2020
33177064,2020
33174326,2020
33172893,2020
33172892,2020
33172891,2020
33172890,2020
33172889,2020
33172888,2020
33168930,2020
33168632,2020
33168631,2020
33168630,2020
33168629,2020
33168628,2020
33168626,2020
33168625,2020
33168624,2020
33165997,2020
33164260,2020
33162395,2020
33162394,2020
33161580,2020
33159392,2020
33159168,2020
33158991,2020
33158990,2020
33158989,2020
33158988,2020
33158922,2020
33158921,2020
33158920,2020
33158919,2020
33158918,2020
33158917,2020
33156577,2020
33155736,2020
33154169,2020
33154168,2020
33154167,2020
33154166,2020
33154165,2020
33154164,2020
33154162,2020
33151577,2020
33151576,2020
33150686,2020
33150680,2020
33150667,2020
33149280,2020
33148698,2020
33148697,2020
33148696,2020
33144684,2020
33144683,2020
33144328,2020
33144327,2020
33144326,2020
33144324,2020
33144323,2020
33140469,2020
33140449,2020
33139832,2020
33139328,2020
33136328,2020
33135824,2020
33131132,2020
33131100,2020
33131093,2020
33131091,2020
33131090,2020
33128043,2020
33128042,2020
33127869,2020
33127867,2020
