pmid,year
8262336,1993
8262335,1993
8262334,1993
8262333,1993
8262332,1993
8262331,1993
8262330,1993
8262329,1993
8262328,1993
8262327,1993
8262326,1993
7903263,1993
7903262,1993
7903261,1993
8224614,1993
8224613,1993
8224612,1993
8224611,1993
8224610,1993
8224609,1993
8224608,1993
8224607,1993
8224606,1993
8224605,1993
8224604,1993
7901104,1993
7693536,1993
7693535,1993
7693534,1993
8405816,1993
8405815,1993
8405814,1993
8405813,1993
8405812,1993
8405811,1993
8405810,1993
8405809,1993
8405808,1993
8405807,1993
8405806,1993
7691671,1993
7691670,1993
8397130,1993
8375619,1993
8375618,1993
8375617,1993
8375616,1993
8375615,1993
8375614,1993
8375613,1993
8375612,1993
8375611,1993
8375610,1993
8375609,1993
7690724,1993
8396540,1993
8370483,1993
8370480,1993
8370479,1993
8370478,1993
8370477,1993
8370476,1993
8370475,1993
8370474,1993
8370473,1993
8370472,1993
8370471,1993
8370470,1993
8370469,1993
8393821,1993
8393820,1993
8393819,1993
8393818,1993
8393817,1993
8344496,1993
8344495,1993
8344494,1993
8344493,1993
8344492,1993
8344491,1993
8344490,1993
8344489,1993
8344488,1993
8344487,1993
8344486,1993
8344485,1993
8344484,1993
8344483,1993
8344482,1993
8344481,1993
8102106,1993
8102105,1993
8392474,1993
8330687,1993
8330686,1993
8330685,1993
8330684,1993
8330683,1993
8330682,1993
8330681,1993
8330680,1993
8330679,1993
8330678,1993
7687226,1993
8500695,1993
8500694,1993
8500693,1993
8500692,1993
8500691,1993
8500690,1993
8500689,1993
8500688,1993
8500687,1993
8500686,1993
7684713,1993
8472897,1993
8472896,1993
8472895,1993
8472894,1993
8472893,1993
8472892,1993
8472891,1993
8472890,1993
8386120,1993
8386119,1993
8097173,1993
7682524,1993
7682523,1993
8462790,1993
8462789,1993
8462788,1993
8462787,1993
8462786,1993
8462785,1993
8462784,1993
8462783,1993
8462782,1993
8462781,1993
8462780,1993
8385039,1993
7681790,1993
8440415,1993
8440414,1993
8440413,1993
8440412,1993
8440411,1993
8440410,1993
8440409,1993
8440408,1993
8440407,1993
8382638,1993
7680013,1993
7680012,1993
8422979,1993
8422978,1993
8422977,1993
8422976,1993
8422975,1993
8422974,1993
8422973,1993
8422972,1993
8422971,1993
8422969,1993
8422968,1993
8422967,1993
8422966,1993
8422965,1993
8422964,1993
8422963,1993
8422962,1993
8422961,1993
8422960,1993
8422959,1993
8422958,1993
8422957,1993
8422956,1993
7916700,1993
7916699,1993
7916698,1993
7678567,1993
7678566,1993
7678565,1993
7678564,1993
7678563,1993
7678562,1993
7678561,1993
7678560,1993
7678559,1993
