pmid,year
14966110,2003
14703520,2003
14703519,2003
14703518,2003
14703517,2003
14703516,2003
14703514,2003
14703513,2003
14703512,2003
14702352,2003
14702351,2003
14702350,2003
14702349,2003
14702348,2003
14702347,2003
14702346,2003
14702345,2003
14702344,2003
14702343,2003
14702342,2003
14702341,2003
14702340,2003
14702339,2003
14701869,2003
14701868,2003
14701867,2003
14701866,2003
14701865,2003
14701864,2003
14701863,2003
14701862,2003
14701861,2003
14701860,2003
14701859,2003
14701858,2003
14701857,2003
14701856,2003
14701855,2003
14701854,2003
14701853,2003
14701852,2003
14701851,2003
14701850,2003
14701849,2003
14701848,2003
14701847,2003
14701846,2003
14701845,2003
14701844,2003
14701843,2003
14701842,2003
14701841,2003
14701840,2003
14701839,2003
14701838,2003
14701837,2003
14701836,2003
14701835,2003
14701834,2003
14701833,2003
14701832,2003
14701831,2003
14701830,2003
14701829,2003
14701828,2003
14701827,2003
14701826,2003
14701825,2003
14701824,2003
14701823,2003
14701822,2003
14701821,2003
14701820,2003
14701819,2003
14701818,2003
14701817,2003
14701816,2003
14701815,2003
14701814,2003
14701813,2003
14701812,2003
14701811,2003
14701810,2003
14701809,2003
14701808,2003
14701807,2003
14701806,2003
14701805,2003
14701804,2003
14701803,2003
14701802,2003
14701801,2003
14701800,2003
14701799,2003
14701798,2003
14701797,2003
14701796,2003
14701795,2003
14699168,2003
14699167,2003
14699166,2003
14699165,2003
14699164,2003
14699163,2003
14699162,2003
14699161,2003
14699160,2003
14699159,2003
14699158,2003
14699157,2003
14699156,2003
14699155,2003
14699154,2003
14699153,2003
14699152,2003
14699151,2003
14699150,2003
14699149,2003
14699148,2003
14699147,2003
14699146,2003
14699145,2003
14699144,2003
14699143,2003
14699142,2003
14699141,2003
14699140,2003
14699139,2003
14699138,2003
14699137,2003
14699136,2003
14699135,2003
14699134,2003
14699133,2003
14699132,2003
14699131,2003
14699130,2003
14699129,2003
14699128,2003
14699127,2003
14699126,2003
14699125,2003
14699124,2003
14699123,2003
14699122,2003
14699121,2003
14699120,2003
14699119,2003
14699118,2003
14699117,2003
14699116,2003
14699115,2003
14699114,2003
14699113,2003
14699112,2003
14699111,2003
14699110,2003
14699109,2003
14699108,2003
14699107,2003
14699106,2003
14699105,2003
14699104,2003
14699103,2003
14699102,2003
14699101,2003
14699100,2003
14699099,2003
14699098,2003
14699097,2003
14699096,2003
14699095,2003
14699094,2003
14699093,2003
14699092,2003
14699091,2003
14688288,2003
14688287,2003
14688286,2003
14688285,2003
14688284,2003
14688283,2003
14688282,2003
14688281,2003
14688280,2003
14688279,2003
14688278,2003
14688277,2003
14688276,2003
14688275,2003
14688274,2003
14688273,2003
14688272,2003
14688271,2003
14688270,2003
14688269,2003
14688268,2003
14688267,2003
14688266,2003
14688265,2003
14688264,2003
14688263,2003
14688262,2003
14688261,2003
14688260,2003
14688259,2003
14688258,2003
14688257,2003
14688256,2003
14688255,2003
14688254,2003
14688253,2003
14688252,2003
14688251,2003
14688250,2003
14688249,2003
14688248,2003
14688247,2003
14688246,2003
14688245,2003
14684752,2003
14684751,2003
14684750,2003
14684749,2003
14684748,2003
14684747,2003
14684746,2003
14684745,2003
14684744,2003
14684743,2003
14684742,2003
14684741,2003
14684740,2003
14684739,2003
14684738,2003
14684737,2003
14684736,2003
14684735,2003
14684734,2003
14684733,2003
14684732,2003
14681238,2003
14681237,2003
14681236,2003
14681235,2003
14681234,2003
14681233,2003
14681232,2003
14681231,2003
14681230,2003
14681229,2003
14681228,2003
14681227,2003
14681226,2003
14681225,2003
14681224,2003
14681223,2003
14681222,2003
14681221,2003
14681220,2003
14681219,2003
14681218,2003
14681217,2003
14681216,2003
14679216,2003
14679215,2003
14679214,2003
14679213,2003
14679212,2003
14679211,2003
14679210,2003
14679209,2003
14679208,2003
14679207,2003
14679206,2003
14679205,2003
14679204,2003
14679203,2003
14679202,2003
14679201,2003
14679200,2003
14679199,2003
14679198,2003
14679197,2003
14679196,2003
14679195,2003
14679194,2003
14679193,2003
14679192,2003
14679191,2003
14679190,2003
14679189,2003
14679188,2003
14679187,2003
14676218,2003
14676217,2003
14676216,2003
14676215,2003
14676214,2003
14676213,2003
14676212,2003
14676211,2003
14676210,2003
14676209,2003
14676208,2003
14676207,2003
14676206,2003
14676205,2003
14676204,2003
14676203,2003
14676202,2003
14676201,2003
14676200,2003
14676199,2003
14676198,2003
14676197,2003
14676196,2003
14676195,2003
14676194,2003
14676193,2003
14676192,2003
14676191,2003
14676190,2003
14676189,2003
14676188,2003
14676187,2003
14676186,2003
14676185,2003
14676184,2003
14672957,2003
14672956,2003
14672955,2003
14672954,2003
14672953,2003
14672952,2003
14672951,2003
14672950,2003
14672949,2003
14672948,2003
14672947,2003
14672946,2003
14672945,2003
14672944,2003
14672943,2003
14672942,2003
14672941,2003
14672940,2003
14672939,2003
14672938,2003
14672937,2003
14672936,2003
14672935,2003
14672934,2003
14672933,2003
14672932,2003
14672931,2003
14672930,2003
14672929,2003
14672928,2003
14672927,2003
14672926,2003
14670978,2003
14670977,2003
14670976,2003
14670975,2003
14670974,2003
14670973,2003
14670972,2003
14670971,2003
14670970,2003
14670969,2003
14670968,2003
14670967,2003
14670966,2003
14670965,2003
14670964,2003
14670963,2003
14670962,2003
14670961,2003
14670960,2003
14670959,2003
14670958,2003
14670957,2003
14670956,2003
14670955,2003
14670954,2003
14670953,2003
14670952,2003
14670951,2003
14670950,2003
14670949,2003
14670948,2003
14670947,2003
14670946,2003
14668353,2003
14668352,2003
14668351,2003
14668350,2003
14668349,2003
14668348,2003
14668347,2003
14668346,2003
14668345,2003
14668344,2003
14668343,2003
14668342,2003
14668341,2003
14668340,2003
14668339,2003
14668338,2003
14668337,2003
14668336,2003
14668335,2003
14668334,2003
14668333,2003
14668332,2003
14668331,2003
14668330,2003
14668329,2003
14668328,2003
14668327,2003
14668326,2003
14668325,2003
14668324,2003
14668323,2003
14668322,2003
14665640,2003
14665639,2003
14665638,2003
14665637,2003
14665636,2003
14665635,2003
14665634,2003
14665633,2003
14665632,2003
14665631,2003
14665630,2003
14665629,2003
14665628,2003
14665627,2003
14665626,2003
14665625,2003
14665624,2003
14665623,2003
14665622,2003
14665621,2003
14665620,2003
14665619,2003
14665618,2003
14662776,2003
14662775,2003
14662774,2003
14662773,2003
14662772,2003
14662771,2003
14662770,2003
14662769,2003
14662768,2003
14662767,2003
14662766,2003
14662765,2003
14662764,2003
14662763,2003
14662762,2003
14662761,2003
14662760,2003
14662759,2003
14662758,2003
14662757,2003
14662756,2003
14662755,2003
14660681,2003
14660680,2003
14660679,2003
14660678,2003
14660677,2003
14660676,2003
14660675,2003
14660674,2003
14660673,2003
14660672,2003
14660671,2003
14660670,2003
14660669,2003
14660668,2003
14660667,2003
14660666,2003
14660665,2003
14660664,2003
14660663,2003
14660662,2003
14660661,2003
14660660,2003
14660659,2003
14660658,2003
14660657,2003
14660656,2003
14660655,2003
14660654,2003
14660653,2003
14660652,2003
14660651,2003
14660650,2003
14660649,2003
14660648,2003
14660647,2003
14660646,2003
14660645,2003
14660644,2003
14660643,2003
14660642,2003
14660641,2003
14660640,2003
14660639,2003
14660638,2003
14660637,2003
14660636,2003
14660635,2003
14660634,2003
14660633,2003
14660632,2003
14660631,2003
14660630,2003
14660629,2003
14660628,2003
14660627,2003
14660626,2003
14660625,2003
14660624,2003
14660623,2003
14660622,2003
14660621,2003
14660620,2003
14660619,2003
14660618,2003
14660617,2003
14660616,2003
14660615,2003
14660614,2003
14660613,2003
14660612,2003
14660611,2003
14660610,2003
14660609,2003
14660608,2003
14660607,2003
14660606,2003
14660605,2003
14660604,2003
14660603,2003
14660602,2003
14660601,2003
14660600,2003
14660599,2003
14660598,2003
14660597,2003
14660596,2003
14660595,2003
14660594,2003
14660593,2003
14660592,2003
14660591,2003
14660590,2003
14660589,2003
14660588,2003
14660587,2003
14660586,2003
14660585,2003
14660584,2003
14660583,2003
14660582,2003
14660581,2003
14660580,2003
14660579,2003
14660578,2003
14660577,2003
14660576,2003
14660575,2003
14660574,2003
14660573,2003
14660572,2003
14660571,2003
14660570,2003
14660569,2003
14660568,2003
14660567,2003
14660566,2003
14660565,2003
14660564,2003
14660563,2003
14660562,2003
14660561,2003
14660560,2003
14660559,2003
14660558,2003
14660557,2003
14660556,2003
14660555,2003
14660554,2003
14660553,2003
14660552,2003
14645373,2003
14645372,2003
14645371,2003
14645370,2003
14645369,2003
14645368,2003
14645367,2003
14645260,2003
14645259,2003
14645258,2003
14645257,2003
14645256,2003
14645255,2003
14645254,2003
14645253,2003
14645252,2003
14645251,2003
14645250,2003
14645249,2003
14645248,2003
14645247,2003
14645246,2003
14645245,2003
14645244,2003
14645243,2003
14645242,2003
14645241,2003
14645240,2003
14645239,2003
14645238,2003
14645237,2003
14645236,2003
14645235,2003
14645234,2003
14645233,2003
14645232,2003
14645231,2003
14645230,2003
14645229,2003
14645228,2003
14645227,2003
14645226,2003
14645225,2003
14645224,2003
14645223,2003
14645222,2003
14645221,2003
14645220,2003
14645219,2003
14645218,2003
14645217,2003
