pmid,year
12496764,2002
12483224,2002
12483223,2002
12483222,2002
12483221,2002
12469134,2002
12459736,2002
12459735,2002
12454679,2002
12454675,2002
12454669,2002
12454663,2002
12454662,2002
12454661,2002
12447396,2002
12434157,2002
12426579,2002
12426578,2002
12426577,2002
12426576,2002
12426575,2002
12415288,2002
12410261,2002
12410257,2002
12410249,2002
12410245,2002
12410244,2002
12410243,2002
12389035,2002
12379870,2002
12379869,2002
12379868,2002
12379867,2002
12368813,2002
12368812,2002
12368811,2002
12355121,2002
12355117,2002
12355116,2002
12355115,2002
12355109,2002
12355106,2002
12355105,2002
12355097,2002
12355096,2002
12244329,2002
12244328,2002
12244327,2002
12219079,2002
12219078,2002
12219077,2002
12219076,2002
12205515,2002
12205511,2002
12205510,2002
12205509,2002
12205508,2002
12205502,2002
12205498,2002
12205497,2002
12205496,2002
12172557,2002
12172556,2002
12161759,2002
12148015,2002
12148012,2002
12148011,2002
12148001,2002
12148000,2002
12147992,2002
12147991,2002
12134169,2002
12134168,2002
12134167,2002
12134166,2002
12118241,2002
12101405,2002
12101404,2002
12091916,2002
12091915,2002
12091914,2002
12091913,2002
12089594,2002
12089593,2002
12089592,2002
12089591,2002
12089590,2002
12089589,2002
12089588,2002
12089587,2002
12089586,2002
12089585,2002
12089584,2002
12089583,2002
12089582,2002
12089581,2002
12089580,2002
12089572,2002
12089571,2002
12089570,2002
12089569,2002
12089568,2002
12089567,2002
12089563,2002
12089560,2002
12089559,2002
12089558,2002
12089557,2002
12089556,2002
12089555,2002
12089554,2002
12089553,2002
12089552,2002
12089551,2002
12089545,2002
12089540,2002
12089539,2002
12089538,2002
12042874,2002
12042870,2002
12042869,2002
12042868,2002
12042867,2002
12042866,2002
12042865,2002
12042864,2002
12042863,2002
12042862,2002
12042861,2002
12042860,2002
12042859,2002
12042853,2002
12042846,2002
12042845,2002
12042844,2002
11981573,2002
11981569,2002
11981568,2002
11981567,2002
11981566,2002
11981565,2002
11981564,2002
11981563,2002
11981562,2002
11981561,2002
11981560,2002
11981559,2002
11981558,2002
11981557,2002
11981551,2002
11981550,2002
11981549,2002
11981545,2002
11981544,2002
11981543,2002
11923853,2002
11923849,2002
11923848,2002
11923847,2002
11923846,2002
11923845,2002
11923844,2002
11923843,2002
11923842,2002
11923841,2002
11923840,2002
11923834,2002
11923828,2002
11923827,2002
11923826,2002
11875439,2002
11875436,2002
11875435,2002
11875433,2002
11875432,2002
11875431,2002
11875430,2002
11875429,2002
11875428,2002
11875427,2002
11875426,2002
11875425,2002
11875424,2002
11875416,2002
11875410,2002
11875409,2002
11875408,2002
11821871,2002
11821867,2002
11821866,2002
11821865,2002
11821864,2002
11821863,2002
11821862,2002
11821861,2002
11821860,2002
11821859,2002
11821858,2002
11821852,2002
11821846,2002
11821845,2002
11753374,2002
11753369,2002
11753368,2002
11753367,2002
11753366,2002
11753365,2002
11753364,2002
11753363,2002
11753362,2002
11753361,2002
11753360,2002
11753354,2002
11753347,2002
11753346,2002
