pmid,year
21170036,2010
21170035,2010
21170034,2010
21170033,2010
21170032,2010
21170031,2010
21170030,2010
21151134,2010
21151132,2010
21151131,2010
21131960,2010
21131959,2010
21102442,2010
21102441,2010
21102440,2010
21102439,2010
21102438,2010
21102437,2010
21076414,2010
21076413,2010
21076412,2010
21076411,2010
21076410,2010
21057505,2010
21037565,2010
20972427,2010
20972425,2010
20972424,2010
20972423,2010
20953199,2010
20935639,2010
20935638,2010
20935637,2010
20935636,2010
20935635,2010
20890297,2010
20885417,2010
20885416,2010
20871601,2010
20852630,2010
20852629,2010
20852628,2010
20852627,2010
20835244,2010
20835243,2010
20818389,2010
20818388,2010
20818387,2010
20811357,2010
20811356,2010
20811355,2010
20811354,2010
20811353,2010
20811352,2010
20729838,2010
20729837,2010
20729836,2010
20711182,2010
20711181,2010
20694000,2010
20680000,2010
20676102,2010
20657594,2010
20657593,2010
20639872,2010
20639871,2010
20639870,2010
20622870,2010
20622869,2010
20622868,2010
20596043,2010
20581839,2010
20581838,2010
20562865,2010
20562864,2010
20543840,2010
20543839,2010
20526330,2010
20526329,2010
20526328,2010
20517301,2010
20517300,2010
20495555,2010
20495554,2010
20473298,2010
20473297,2010
20473296,2010
20473295,2010
20473294,2010
20453849,2010
20453848,2010
20453847,2010
20453846,2010
20442699,2010
20436477,2010
20418872,2010
20418871,2010
20418870,2010
20418869,2010
20400958,2010
20400957,2010
20383141,2010
20383140,2010
20383139,2010
20364142,2010
20364141,2010
20360747,2010
20360746,2010
20305651,2010
20305650,2010
20305649,2010
20228811,2010
20228810,2010
20228809,2010
20228808,2010
20228807,2010
20208530,2010
20190829,2010
20190828,2010
20190827,2010
20190826,2010
20190741,2010
20190740,2010
20173743,2010
20173742,2010
20173741,2010
20173740,2010
20154681,2010
20154680,2010
20154679,2010
20139972,2010
20139971,2010
20118997,2010
20118996,2010
20118923,2010
20118922,2010
20118921,2010
20098417,2010
20098416,2010
20098415,2010
20081844,2010
20081843,2010
20081842,2010
20081841,2010
20081840,2010
20081839,2010
20081838,2010
20081837,2010
20027196,2010
20023649,2010
20023648,2010
20010817,2010
20010816,2010
20010815,2010
20010814,2010
20010813,2010
20010812,2010
20010811,2010
19966785,2010
19966784,2010
19966783,2010
