pmid,year
21186349,2010
21186348,2010
21186347,2010
21186346,2010
21170021,2010
21151122,2010
21131971,2010
21113170,2010
21113169,2010
21102470,2010
21102469,2010
21079602,2010
21079601,2010
21079596,2010
21079595,2010
21079594,2010
21079593,2010
21079592,2010
21079591,2010
21079590,2010
21079589,2010
21079588,2010
21079587,2010
21079586,2010
21076398,2010
20976870,2010
20972431,2010
20953192,2010
20953191,2010
20924370,2010
20890288,2010
20890287,2010
20871600,2010
20871599,2010
20852637,2010
20852636,2010
20852610,2010
20852609,2010
20852608,2010
20852603,2010
20852602,2010
20835228,2010
20818397,2010
20802492,2010
20802491,2010
20729856,2010
20729855,2010
20711197,2010
20711196,2010
20693992,2010
20693991,2010
20676085,2010
20676084,2010
20657584,2010
20644544,2010
20644538,2010
20622858,2010
20622857,2010
20601941,2010
20581822,2010
20581821,2010
20562877,2010
20562876,2010
20559318,2010
20559317,2010
20559316,2010
20559310,2010
20559309,2010
20543850,2010
20526342,2010
20512140,2010
20512139,2010
20512138,2010
20495572,2010
20479744,2010
20473303,2010
20453864,2010
20453863,2010
20453862,2010
20436488,2010
20436487,2010
20436486,2010
20418879,2010
20418878,2010
20418877,2010
20383153,2010
20383152,2010
20383151,2010
20364129,2010
20364128,2010
20364127,2010
20364126,2010
20348921,2010
20305658,2010
20305657,2010
20228795,2010
20228794,2010
20228793,2010
20208522,2010
20208521,2010
20190765,2010
20190764,2010
20190763,2010
20190762,2010
20173751,2010
20154670,2010
20154669,2010
20154668,2010
20154667,2010
20154666,2010
20154665,2010
20154664,2010
20154663,2010
20154662,2010
20154661,2010
20154660,2010
20154659,2010
20154658,2010
20139990,2010
20139989,2010
20118940,2010
20118939,2010
20098428,2010
20098427,2010
20081855,2010
20081854,2010
20081853,2010
20081830,2010
20081829,2010
20081828,2010
20081827,2010
20081826,2010
20081825,2010
20081824,2010
20081823,2010
20081822,2010
20081815,2010
20016495,2010
20016494,2010
20016493,2010
19966789,2010
19966788,2010
19946275,2010
19946274,2010
19935661,2010
19935660,2010
19935659,2010
19935658,2010
