pmid,year
19174838,2008
19165928,2008
19165927,2008
19165926,2008
19165925,2008
19165924,2008
19165923,2008
19165922,2008
19165921,2008
19165920,2008
19165919,2008
19165918,2008
19098914,2008
19098913,2008
19098912,2008
19098911,2008
19098910,2008
19079262,2008
19079261,2008
19079260,2008
19079259,2008
19079258,2008
19079066,2008
19060911,2008
19060910,2008
19060909,2008
19060908,2008
19060907,2008
19060906,2008
19043417,2008
19043416,2008
19029901,2008
19029900,2008
19029899,2008
19029898,2008
19011632,2008
19011631,2008
19011630,2008
19011629,2008
18997786,2008
18997785,2008
18997784,2008
18997783,2008
18978792,2008
18978791,2008
18978790,2008
18978789,2008
18978788,2008
18978787,2008
18953341,2008
18953340,2008
18953339,2008
18931682,2008
18931681,2008
18849994,2008
18849993,2008
18849992,2008
18849991,2008
18836448,2008
18836447,2008
18836446,2008
18836445,2008
18836444,2008
18820699,2008
18820698,2008
18820697,2008
18820696,2008
18820647,2008
18818712,2008
18806796,2008
18806795,2008
18806794,2008
18794858,2008
18794857,2008
18794856,2008
18794855,2008
18794854,2008
18794853,2008
18776912,2008
18776911,2008
18776910,2008
18776909,2008
18776908,2008
18758464,2008
18758463,2008
18758462,2008
18758461,2008
24409082,2008
18728691,2008
18724368,2008
18711368,2008
18711367,2008
18711366,2008
18711365,2008
18677313,2008
18677311,2008
18665132,2008
18660810,2008
18660809,2008
18641652,2008
18641651,2008
18641648,2008
18622395,2008
18622394,2008
18622393,2008
18604208,2008
18604207,2008
18604206,2008
18587397,2008
18587396,2008
18587395,2008
18587394,2008
18583979,2008
18583963,2008
18568024,2008
18568023,2008
18552847,2008
18552846,2008
18552845,2008
18536717,2008
18536716,2008
18536715,2008
18511948,2008
18511947,2008
18511946,2008
18509313,2008
18500343,2008
18500342,2008
18500341,2008
18500340,2008
18488030,2008
18488029,2008
18488028,2008
18488027,2008
18488026,2008
18469815,2008
18469814,2008
18469813,2008
18469812,2008
18454149,2008
18454148,2008
18454147,2008
18454146,2008
18443594,2008
18443593,2008
18443592,2008
18443591,2008
18443590,2008
18443589,2008
18443588,2008
18443585,2008
18438408,2008
18438407,2008
18438406,2008
18438405,2008
18425128,2008
18425127,2008
18425126,2008
18408721,2008
18408720,2008
18408719,2008
18408718,2008
18391953,2008
18391952,2008
18391951,2008
18391950,2008
18385676,2008
18372905,2008
18372904,2008
18372903,2008
18372902,2008
18372901,2008
18368128,2008
18362885,2008
18362884,2008
18362883,2008
18362882,2008
18345000,2008
18344999,2008
18344998,2008
18327258,2008
18327257,2008
18327256,2008
18327255,2008
18311141,2008
18311140,2008
18311139,2008
18311138,2008
18311137,2008
18305478,2008
18297072,2008
18297071,2008
18297070,2008
18297069,2008
18278047,2008
18278046,2008
18278045,2008
18278044,2008
18264100,2008
18264099,2008
18264098,2008
18264097,2008
18264096,2008
18246068,2008
18246067,2008
18246066,2008
18227874,2008
18227864,2008
18223651,2008
18223650,2008
18204449,2008
18204448,2008
18204447,2008
18204446,2008
18193047,2008
18193046,2008
18193045,2008
18193044,2008
18193043,2008
18176565,2008
18176564,2008
18176563,2008
18176562,2008
18176561,2008
18163131,2008
18157130,2008
18157129,2008
18157128,2008
18157127,2008
18084293,2008
18084292,2008
18084291,2008
18084290,2008
18066065,2008
18066064,2008
18066063,2008
18066062,2008
18059269,2008
18059268,2008
18059267,2008
18059266,2008
17994017,2008
